#CO2 emission (Mt)	#CHP Capacity(MW)	#HP Capacity(MW)
-0.569	80	0
-0.569	80	0
-0.568	95	0
-0.568	95	0
-0.567	97	0
-0.567	97	0
-0.566	94	0
-0.565	52	0
-0.564	76	0
-0.564	76	0
-0.562	57	0
-0.561	98	0
-0.56	75	0
-0.559	62	0
-0.557	52	0
-0.555	54	0
-0.554	58	0
-0.553	62	0
-0.552	62	0
-0.55	58	0
-0.548	58	0
-0.545	62	0
-0.543	99	0
-0.54	63	0
-0.538	56	0
-0.532	1	5
-0.529	57	0
-0.525	57	0
-0.518	56	9
-0.516	55	3
-0.511	54	4
-0.502	54	4
-0.496	40	47
-0.491	22	0
-0.491	22	0
-0.48	22	0
-0.472	22	0
-0.464	10	0
-0.457	1	3
-0.452	1	2
-0.437	1	4
-0.424	1	56
-0.407	1	64
-0.402	2	39
-0.39	2	12
-0.379	2	63
-0.36	1	65
-0.349	2	50
-0.337	0	27
-0.324	1	65
-0.32	1	43
-0.307	1	57
-0.303	1	57
-0.277	5	52
-0.265	1	55
-0.256	1	55
-0.243	1	46
-0.224	0	52
-0.223	1	52
-0.196	0	40
-0.185	1	46
-0.159	1	35
-0.157	1	55
-0.132	0	40
-0.115	1	47
-0.105	1	47
-0.092	1	46
-0.075	0	45
-0.051	0	46
-0.044	0	46
-0.001	0	55
0.01	0	45
0.021	0	45
0.059	0	54
0.068	0	57
0.091	0	57
0.11	0	57
0.153	0	55
0.184	0	39
0.221	0	55
0.232	0	55
0.281	0	39
0.292	0	42
0.31	0	32
0.318	0	44
0.331	0	59
0.356	0	44
0.398	0	51
0.424	0	57
0.424	0	50
0.444	0	41
0.46	0	57
0.474	0	54
0.5	0	57
0.517	0	57
0.561	0	53
0.594	0	59
0.623	0	54
0.627	0	54
0.627	0	54
