#CO2 emission (Mt)	#PP Capacity(MW)
-0.565	83
-0.564	83
-0.564	83
-0.563	83
-0.562	83
-0.561	83
-0.56	83
-0.559	83
-0.558	83
-0.557	83
-0.556	83
-0.555	83
-0.554	83
-0.553	84
-0.552	83
-0.55	84
-0.549	84
-0.548	84
-0.546	84
-0.545	84
-0.543	84
-0.542	84
-0.541	84
-0.54	84
-0.539	84
-0.538	84
-0.536	84
-0.534	84
-0.532	86
-0.531	84
-0.529	86
-0.528	84
-0.527	89
-0.526	86
-0.525	86
-0.523	85
-0.521	86
-0.519	86
-0.516	86
-0.514	128
-0.511	88
-0.509	90
-0.506	90
-0.506	90
-0.501	93
-0.5	92
-0.499	105
-0.493	96
-0.492	99
-0.489	99
-0.487	129
-0.486	116
-0.485	125
-0.484	99
-0.482	129
-0.479	117
-0.476	104
-0.472	129
-0.469	105
-0.465	134
-0.463	104
-0.456	130
-0.455	106
-0.452	147
-0.445	110
-0.443	147
-0.441	130
-0.438	136
-0.438	120
-0.434	150
-0.43	147
-0.425	183
-0.421	153
-0.421	177
-0.413	182
-0.41	170
-0.409	183
-0.406	191
-0.4	192
-0.399	190
-0.398	182
-0.392	192
-0.389	192
-0.389	192
-0.385	192
-0.382	192
-0.376	192
-0.374	193
-0.372	198
-0.366	193
-0.364	200
-0.36	192
-0.356	200
-0.351	193
-0.342	201
-0.332	205
-0.328	204
-0.321	224
-0.303	237
-0.302	237
-0.29	226
-0.279	206
-0.277	228
-0.266	226
-0.259	222
-0.257	228
-0.253	224
-0.249	227
-0.242	215
-0.239	224
-0.238	227
-0.235	224
-0.232	228
-0.227	224
-0.217	214
-0.207	224
-0.205	226
-0.19	229
-0.182	227
-0.169	229
-0.158	227
-0.157	225
-0.15	229
-0.143	225
-0.131	230
-0.126	228
-0.119	229
-0.102	226
-0.098	229
-0.093	233
-0.09	230
-0.075	231
-0.075	231
-0.066	240
-0.055	247
-0.046	249
-0.035	235
-0.031	251
-0.029	250
-0.005	244
-0.002	247
0.001	250
0.011	245
0.023	241
0.03	249
0.031	247
0.036	243
0.045	251
0.053	236
0.054	240
0.055	251
0.063	250
0.072	240
0.076	252
0.097	255
0.097	255
0.115	253
0.124	245
0.125	252
0.129	257
0.144	253
0.148	250
0.148	256
0.157	250
0.167	246
0.177	254
0.19	255
0.197	258
0.203	245
0.209	241
0.212	250
0.215	249
0.219	250
0.229	252
0.24	251
0.242	245
0.243	253
0.248	251
0.263	255
0.27	250
0.271	248
0.275	255
0.279	252
0.289	240
0.296	244
0.301	244
0.313	246
0.315	255
0.327	241
0.333	237
0.339	244
0.34	256
0.34	256
0.356	240
0.364	253
0.368	244
0.37	246
0.38	244
0.394	252
0.408	259
0.417	255
0.421	257
0.431	252
0.433	245
0.446	248
0.449	257
0.449	246
0.461	261
0.474	245
0.476	253
0.481	257
0.486	250
0.489	259
0.499	251
0.503	253
0.518	261
0.522	260
0.53	251
0.535	247
0.538	262
0.544	249
0.545	251
0.556	257
0.568	253
0.578	261
0.583	263
0.585	256
0.588	263
0.595	267
0.603	275
0.609	278
0.619	284
0.619	284
0.619	284
0.619	284
0.621	284
