#OnShaore Wind Cap (MW)	#OnShaore wind production (TWh)	#OffShaore Wind Cap (MW)	#OffShaore wind production (TWh)
1498	0.64	1474	2.2
1498	0.64	1474	2.2
1496	0.65	1425	2.18
1496	0.65	1425	2.18
1499	0.65	1425	2.18
1499	0.65	1425	2.18
1495	0.67	1362	2.17
1496	0.66	1400	2.18
1495	0.7	1224	2.12
1495	0.7	1224	2.12
1491	0.71	1207	2.12
1491	0.71	1207	2.12
1498	0.77	1006	2.03
1498	0.77	1006	2.04
1498	0.78	971	2.02
1425	0.78	937	2
1493	0.85	821	1.93
1498	0.87	770	1.9
1498	0.88	762	1.89
1484	0.9	709	1.85
1486	0.94	648	1.8
1498	0.98	594	1.75
1499	1.01	558	1.71
1498	1.08	488	1.62
1453	1.05	510	1.65
1498	1.04	507	1.62
1454	1.19	412	1.47
1421	1.18	412	1.47
1474	1.19	382	1.38
1100	0.95	519	1.65
1047	0.93	519	1.65
1047	0.93	526	1.66
1208	1.03	380	1.35
928	0.92	515	1.67
928	0.92	515	1.67
883	0.91	515	1.68
754	0.84	515	1.68
710	0.81	519	1.69
762	0.85	504	1.66
793	1.08	348	1.31
785	1.03	377	1.4
710	0.93	348	1.28
451	0.6	507	1.58
612	0.84	382	1.38
519	0.81	382	1.41
519	0.78	382	1.38
454	0.79	333	1.25
491	0.81	354	1.31
503	0.86	352	1.32
453	0.82	333	1.25
510	0.95	291	1.11
450	0.86	307	1.17
445	0.86	307	1.17
369	0.74	325	1.23
344	0.7	327	1.24
329	0.68	327	1.24
234	0.47	381	1.41
347	0.74	317	1.21
329	0.73	291	1.11
339	0.77	291	1.11
234	0.54	315	1.2
214	0.51	309	1.18
214	0.51	309	1.18
339	0.82	238	0.91
98	0.24	356	1.35
102	0.25	345	1.32
40	0.1	377	1.43
99	0.24	356	1.36
40	0.1	378	1.44
32	0.08	378	1.44
39	0.1	350	1.34
18	0.05	356	1.36
100	0.25	295	1.13
8	0.02	334	1.28
1	0	332	1.27
5	0.01	317	1.21
0	0	309	1.18
28	0.07	260	1
0	0	264	1.01
0	0	242	0.93
2	0.01	235	0.9
0	0	206	0.79
0	0	200	0.77
54	0.14	150	0.57
95	0.24	121	0.46
60	0.15	137	0.52
95	0.24	99	0.38
6	0.02	133	0.51
7	0.02	115	0.44
7	0.02	115	0.44
60	0.15	69	0.26
4	0.01	97	0.37
40	0.1	62	0.24
4	0.01	73	0.28
1	0	65	0.25
0	0	38	0.15
1	0	19	0.07
0	0	2	0.01
0	0	0	0
0	0	0	0
