#CO2 emission (Mt)	#PP Capacity(MW)
-0.569	132
-0.569	132
-0.568	259
-0.568	213
-0.567	311
-0.567	252
-0.566	350
-0.565	123
-0.564	163
-0.564	250
-0.562	276
-0.561	138
-0.56	564
-0.559	343
-0.557	248
-0.555	125
-0.554	153
-0.553	301
-0.552	256
-0.55	253
-0.548	253
-0.545	256
-0.543	921
-0.54	279
-0.538	241
-0.532	263
-0.529	890
-0.525	890
-0.518	353
-0.516	263
-0.511	263
-0.502	261
-0.496	993
-0.491	394
-0.491	255
-0.48	376
-0.472	255
-0.464	278
-0.457	114
-0.452	250
-0.437	381
-0.424	127
-0.407	177
-0.402	111
-0.39	368
-0.379	110
-0.36	177
-0.349	248
-0.337	128
-0.324	211
-0.32	163
-0.307	775
-0.303	775
-0.277	252
-0.265	275
-0.256	246
-0.243	108
-0.224	246
-0.223	246
-0.196	119
-0.185	332
-0.159	291
-0.157	193
-0.132	119
-0.115	403
-0.105	397
-0.092	329
-0.075	798
-0.051	329
-0.044	249
-0.001	940
0.01	798
0.021	804
0.059	270
0.068	299
0.091	195
0.11	209
0.153	274
0.184	281
0.221	355
0.232	816
0.281	270
0.292	281
0.31	353
0.318	134
0.331	821
0.356	138
0.398	265
0.424	265
0.424	265
0.444	818
0.46	195
0.474	294
0.5	195
0.517	198
0.561	350
0.594	280
0.623	168
0.627	270
0.627	168
