CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
0 61 284 0 3 3 0 0.00 0.00 0.52 1.42 0.00 0.01 0.00 0.00 0.00 0.00 0.619 2837 
0 61 284 0 3 3 0 0.00 0.00 0.52 1.42 0.00 0.01 0.00 0.00 0.00 0.00 0.619 2837 
0 61 256 31 3 3 0 0.00 0.00 0.52 1.34 0.08 0.01 0.00 0.00 0.00 0.00 0.585 2860 
0 43 224 478 354 7 40 0.00 0.00 0.52 0.12 0.84 1.32 0.00 0.00 0.00 0.86 -0.321 3554 
54 0 84 1449 540 243 196 0.01 0.02 0.00 0.00 1.08 1.73 0.05 0.13 0.00 1.22 -0.531 4649 
23 26 153 687 371 197 109 0.01 0.02 0.43 0.04 0.93 1.37 0.09 0.04 0.00 1.01 -0.421 3843 
0 50 252 1 328 1 32 0.00 0.00 0.52 0.57 0.00 1.26 0.00 0.00 0.00 0.39 0.076 3178 
0 42 250 2 284 0 58 0.00 0.00 0.52 0.62 0.01 1.09 0.00 0.00 0.00 0.28 0.148 3133 
0 11 192 705 372 10 161 0.00 0.00 0.23 0.07 1.01 1.39 0.00 0.15 0.00 0.98 -0.400 3778 
61 0 84 1494 746 515 196 0.01 0.02 0.00 0.00 0.93 1.94 0.06 0.11 0.00 1.26 -0.548 5007 
0 50 244 30 357 1 32 0.00 0.00 0.52 0.48 0.08 1.37 0.00 0.00 0.00 0.49 -0.005 3230 
0 42 236 88 284 0 56 0.00 0.00 0.52 0.50 0.22 1.09 0.00 0.00 0.00 0.37 0.053 3195 
63 0 83 1498 983 517 196 0.01 0.01 0.00 0.00 0.82 2.09 0.06 0.09 0.00 1.27 -0.555 5258 
61 0 83 1498 1167 681 196 0.01 0.01 0.00 0.00 0.75 2.17 0.06 0.08 0.00 1.28 -0.560 5513 
44 1 130 689 377 203 197 0.02 0.03 0.03 0.02 1.01 1.41 0.09 0.24 0.00 1.03 -0.441 3927 
