CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
0 52 250 33 16 0 25 0.00 0.00 0.52 1.29 0.08 0.06 0.00 0.00 0.00 0.00 0.562 2874 
0 64 247 39 92 3 0 0.00 0.00 0.52 0.98 0.10 0.35 0.00 0.00 0.00 0.00 0.428 2960 
0 69 247 46 19 2 0 0.00 0.00 0.52 1.24 0.12 0.07 0.00 0.00 0.00 0.00 0.542 2890 
0 47 228 266 342 17 31 0.00 0.00 0.52 0.22 0.58 1.30 0.01 0.00 0.00 0.68 -0.201 3391 
4 55 239 66 217 16 10 0.01 0.02 0.51 0.58 0.17 0.83 0.01 0.00 0.00 0.18 0.177 3125 
0 45 245 46 141 16 50 0.00 0.00 0.52 0.80 0.12 0.54 0.01 0.00 0.00 0.04 0.334 3021 
36 0 98 986 540 197 196 0.01 0.02 0.00 0.01 0.96 1.74 0.06 0.16 0.00 1.15 -0.498 4282 
1 51 227 369 315 89 13 0.00 0.00 0.52 0.17 0.77 1.20 0.06 0.00 0.00 0.76 -0.259 3468 
1 63 239 121 108 5 0 0.00 0.01 0.52 0.75 0.31 0.41 0.00 0.00 0.00 0.04 0.307 3041 
50 0 96 1045 379 336 196 0.02 0.03 0.00 0.01 1.19 1.41 0.10 0.20 0.00 1.14 -0.491 4236 
39 0 89 1303 557 373 196 0.01 0.02 0.00 0.01 1.03 1.76 0.07 0.14 0.00 1.21 -0.527 4598 
5 51 192 539 391 5 17 0.00 0.01 0.52 0.09 0.82 1.42 0.00 0.00 0.00 0.91 -0.359 3645 
0 55 243 91 74 16 14 0.00 0.00 0.52 0.92 0.23 0.28 0.01 0.00 0.00 0.01 0.397 2983 
0 64 226 268 293 3 0 0.00 0.00 0.52 0.27 0.64 1.12 0.00 0.00 0.00 0.60 -0.145 3338 
1 54 238 118 231 6 8 0.00 0.00 0.52 0.51 0.30 0.88 0.00 0.00 0.00 0.27 0.106 3165 
0 64 245 57 114 7 0 0.00 0.00 0.52 0.86 0.14 0.44 0.00 0.00 0.00 0.02 0.370 2998 
1 54 247 33 224 16 17 0.00 0.00 0.52 0.64 0.08 0.86 0.01 0.00 0.00 0.16 0.208 3101 
41 0 84 1494 556 354 196 0.01 0.01 0.00 0.01 1.07 1.75 0.06 0.13 0.00 1.23 -0.536 4728 
41 0 102 883 444 238 196 0.02 0.02 0.00 0.01 1.01 1.58 0.08 0.20 0.00 1.11 -0.480 4137 
67 0 83 1490 918 513 196 0.01 0.01 0.00 0.00 0.84 2.06 0.06 0.09 0.00 1.27 -0.553 5188 
1 46 227 318 334 16 34 0.00 0.00 0.52 0.19 0.68 1.27 0.01 0.00 0.00 0.72 -0.228 3422 
3 64 244 35 170 14 0 0.01 0.01 0.51 0.73 0.09 0.65 0.01 0.00 0.00 0.07 0.291 3052 
61 0 83 1497 1144 473 196 0.01 0.01 0.00 0.00 0.76 2.17 0.05 0.09 0.00 1.28 -0.558 5405 
0 52 242 100 92 16 25 0.00 0.00 0.52 0.84 0.25 0.35 0.01 0.00 0.00 0.02 0.357 3009 
0 66 239 77 329 12 0 0.00 0.00 0.52 0.44 0.19 1.26 0.01 0.00 0.00 0.47 -0.013 3241 
39 0 89 1301 551 184 196 0.01 0.02 0.00 0.01 1.04 1.75 0.04 0.14 0.00 1.20 -0.521 4515 
0 51 239 115 240 23 13 0.00 0.00 0.52 0.50 0.29 0.92 0.02 0.00 0.00 0.30 0.091 3176 
0 51 244 70 177 23 28 0.00 0.00 0.52 0.67 0.18 0.68 0.02 0.00 0.00 0.10 0.245 3079 
0 45 239 47 401 16 34 0.00 0.00 0.52 0.37 0.11 1.51 0.01 0.00 0.00 0.58 -0.089 3293 
1 55 227 352 315 92 2 0.00 0.00 0.52 0.17 0.75 1.20 0.06 0.00 0.00 0.75 -0.250 3457 
1 44 192 557 375 124 42 0.00 0.00 0.52 0.08 0.84 1.38 0.06 0.00 0.00 0.94 -0.374 3683 
6 1 192 696 329 61 197 0.00 0.01 0.03 0.06 1.14 1.25 0.03 0.28 0.00 0.98 -0.403 3786 
1 63 246 36 101 5 0 0.00 0.01 0.52 0.95 0.09 0.39 0.00 0.00 0.00 0.00 0.412 2972 
41 0 105 886 459 59 196 0.02 0.03 0.00 0.02 1.01 1.62 0.02 0.19 0.00 1.09 -0.471 4083 
5 64 245 20 217 6 0 0.01 0.02 0.51 0.66 0.05 0.83 0.00 0.00 0.00 0.14 0.228 3092 
1 47 244 50 174 21 42 0.00 0.00 0.52 0.70 0.13 0.67 0.01 0.00 0.00 0.08 0.270 3063 
0 64 192 690 393 8 0 0.00 0.00 0.52 0.08 0.91 1.42 0.00 0.00 0.00 0.98 -0.393 3753 
