CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
0 57 287 0 0 0 3 0.00 0.00 0.52 1.43 0.00 0.00 0.00 0.00 0.00 0.00 0.625 2832 
0 57 287 0 0 0 3 0.00 0.00 0.52 1.43 0.00 0.00 0.00 0.00 0.00 0.00 0.625 2832 
1 43 221 474 395 6 43 0.00 0.00 0.52 0.11 0.76 1.44 0.00 0.00 0.00 0.88 -0.339 3598 
0 41 192 540 431 8 43 0.00 0.00 0.52 0.09 0.77 1.51 0.00 0.00 0.00 0.94 -0.370 3683 
78 0 83 1497 739 433 196 0.01 0.02 0.00 0.00 0.93 1.93 0.06 0.11 0.00 1.25 -0.547 4988 
4 17 164 662 358 212 139 0.00 0.01 0.34 0.06 0.96 1.34 0.10 0.10 0.00 1.00 -0.412 3809 
1 38 245 1 145 1 74 0.01 0.01 0.50 0.87 0.00 0.56 0.00 0.01 0.00 0.02 0.372 2997 
0 64 259 13 16 0 0 0.00 0.00 0.52 1.34 0.04 0.06 0.00 0.00 0.00 0.00 0.583 2861 
0 1 128 1138 627 215 193 0.00 0.00 0.03 0.02 0.93 1.84 0.05 0.14 0.00 1.19 -0.511 4444 
0 62 257 9 177 2 0 0.00 0.00 0.52 0.79 0.02 0.68 0.00 0.00 0.00 0.06 0.317 3028 
0 56 226 446 346 0 0 0.00 0.00 0.52 0.14 0.82 1.30 0.00 0.00 0.00 0.83 -0.302 3521 
0 58 228 193 349 2 0 0.00 0.00 0.52 0.27 0.45 1.33 0.00 0.00 0.00 0.62 -0.150 3341 
55 0 83 1497 1086 532 196 0.01 0.01 0.00 0.00 0.78 2.14 0.06 0.09 0.00 1.28 -0.557 5364 
0 57 253 21 40 0 7 0.00 0.00 0.52 1.23 0.05 0.15 0.00 0.00 0.00 0.00 0.535 2890 
0 57 278 9 0 0 3 0.00 0.00 0.52 1.41 0.03 0.00 0.00 0.00 0.00 0.00 0.614 2840 
59 0 83 1496 932 564 196 0.01 0.01 0.00 0.00 0.84 2.06 0.06 0.09 0.00 1.27 -0.554 5221 
20 0 106 1499 629 629 196 0.01 0.01 0.00 0.01 1.00 1.84 0.08 0.12 0.00 1.25 -0.542 4896 
0 57 228 204 362 72 1 0.00 0.00 0.52 0.23 0.45 1.37 0.05 0.00 0.00 0.67 -0.191 3390 
0 42 229 263 253 0 34 0.00 0.00 0.52 0.32 0.65 0.97 0.00 0.00 0.00 0.51 -0.084 3290 
0 41 244 28 292 0 57 0.00 0.00 0.52 0.57 0.07 1.12 0.00 0.00 0.00 0.33 0.105 3161 
2 58 224 271 268 2 0 0.00 0.01 0.52 0.28 0.67 1.03 0.00 0.00 0.00 0.56 -0.119 3320 
68 0 83 1472 938 419 196 0.01 0.02 0.00 0.00 0.83 2.07 0.05 0.09 0.00 1.27 -0.552 5159 
60 0 84 1497 733 686 196 0.01 0.02 0.00 0.00 0.93 1.93 0.07 0.10 0.00 1.26 -0.549 5065 
72 0 129 971 506 183 193 0.02 0.03 0.03 0.01 0.98 1.69 0.06 0.16 0.00 1.14 -0.494 4270 
0 58 243 83 113 0 3 0.00 0.00 0.52 0.81 0.21 0.43 0.00 0.00 0.00 0.03 0.344 3013 
33 0 95 1237 470 159 196 0.01 0.02 0.00 0.01 1.11 1.63 0.04 0.16 0.00 1.17 -0.508 4373 
0 52 190 735 359 16 7 0.00 0.00 0.52 0.08 0.99 1.33 0.01 0.00 0.00 0.98 -0.393 3752 
20 0 107 1231 629 233 196 0.01 0.01 0.00 0.01 0.96 1.84 0.05 0.14 0.00 1.21 -0.522 4546 
1 0 130 950 517 162 196 0.00 0.00 0.00 0.03 0.97 1.71 0.05 0.18 0.00 1.14 -0.484 4182 
0 57 228 202 362 0 1 0.00 0.00 0.52 0.25 0.45 1.37 0.00 0.00 0.00 0.64 -0.170 3360 
0 62 245 51 177 40 0 0.00 0.00 0.52 0.69 0.13 0.68 0.03 0.00 0.00 0.10 0.258 3075 
0 64 254 13 225 0 0 0.00 0.00 0.52 0.68 0.04 0.87 0.00 0.00 0.00 0.15 0.232 3081 
30 0 97 1105 430 115 196 0.01 0.02 0.00 0.01 1.14 1.55 0.04 0.18 0.00 1.14 -0.491 4221 
1 47 244 24 319 1 29 0.00 0.01 0.52 0.53 0.06 1.22 0.00 0.00 0.00 0.40 0.060 3190 
0 48 256 0 88 0 35 0.00 0.00 0.52 1.09 0.00 0.34 0.00 0.00 0.00 0.00 0.475 2927 
0 58 253 3 357 0 1 0.00 0.00 0.52 0.52 0.01 1.37 0.00 0.00 0.00 0.46 0.025 3209 
64 0 84 1489 544 471 196 0.01 0.02 0.00 0.00 1.08 1.74 0.07 0.12 0.00 1.24 -0.538 4782 
45 0 83 1497 1090 690 196 0.01 0.01 0.00 0.00 0.78 2.14 0.06 0.09 0.00 1.28 -0.558 5421 
23 0 107 785 415 193 200 0.01 0.02 0.00 0.03 1.01 1.52 0.07 0.23 0.00 1.08 -0.459 4005 
0 37 246 5 209 0 75 0.00 0.00 0.51 0.72 0.01 0.80 0.00 0.01 0.00 0.11 0.268 3059 
0 58 258 7 115 0 3 0.00 0.00 0.52 0.98 0.02 0.44 0.00 0.00 0.00 0.00 0.425 2959 
0 58 237 274 115 0 0 0.00 0.00 0.52 0.52 0.69 0.44 0.00 0.00 0.00 0.23 0.130 3154 
0 40 226 393 348 0 56 0.00 0.00 0.52 0.16 0.76 1.31 0.00 0.00 0.00 0.79 -0.278 3485 
55 0 83 1499 871 434 196 0.01 0.01 0.00 0.00 0.87 2.03 0.05 0.10 0.00 1.26 -0.551 5103 
23 0 130 785 381 167 197 0.01 0.02 0.03 0.03 1.07 1.42 0.07 0.23 0.00 1.06 -0.449 3958 
0 62 260 0 195 2 0 0.00 0.00 0.52 0.76 0.00 0.75 0.00 0.00 0.00 0.08 0.297 3040 
2 57 247 24 181 2 1 0.01 0.01 0.51 0.73 0.06 0.69 0.00 0.00 0.00 0.07 0.288 3049 
23 41 155 785 389 167 49 0.01 0.02 0.51 0.04 0.94 1.40 0.07 0.00 0.00 1.04 -0.436 3911 
0 57 239 280 73 0 0 0.00 0.00 0.52 0.61 0.71 0.28 0.00 0.00 0.00 0.17 0.194 3113 
0 55 206 478 308 7 0 0.00 0.00 0.52 0.14 0.92 1.17 0.00 0.00 0.00 0.81 -0.292 3507 
0 47 248 31 88 0 39 0.00 0.00 0.52 1.01 0.08 0.34 0.00 0.00 0.00 0.00 0.441 2950 
3 0 134 971 382 188 193 0.00 0.00 0.03 0.03 1.16 1.42 0.07 0.21 0.00 1.11 -0.469 4074 
33 0 100 965 395 218 196 0.01 0.02 0.00 0.02 1.13 1.46 0.07 0.21 0.00 1.11 -0.480 4131 
0 57 241 105 91 0 7 0.00 0.00 0.52 0.83 0.27 0.35 0.00 0.00 0.00 0.02 0.355 3006 
0 40 228 393 316 0 56 0.00 0.00 0.52 0.17 0.81 1.21 0.00 0.00 0.00 0.76 -0.254 3453 
33 0 102 965 418 115 196 0.01 0.02 0.00 0.02 1.10 1.52 0.04 0.20 0.00 1.11 -0.476 4113 
0 58 227 280 368 0 0 0.00 0.00 0.52 0.20 0.57 1.38 0.00 0.00 0.00 0.72 -0.227 3423 
0 58 237 269 113 0 0 0.00 0.00 0.52 0.53 0.68 0.43 0.00 0.00 0.00 0.22 0.139 3148 
0 40 228 393 316 0 56 0.00 0.00 0.52 0.17 0.81 1.21 0.00 0.00 0.00 0.76 -0.254 3453 
0 57 255 17 65 0 7 0.00 0.00 0.52 1.14 0.04 0.25 0.00 0.00 0.00 0.00 0.498 2913 
0 58 227 269 357 0 0 0.00 0.00 0.52 0.21 0.57 1.34 0.00 0.00 0.00 0.70 -0.212 3404 
0 48 252 0 321 0 20 0.00 0.00 0.52 0.58 0.00 1.23 0.00 0.00 0.00 0.38 0.087 3169 
1 41 241 52 38 6 60 0.00 0.01 0.51 1.14 0.13 0.15 0.00 0.01 0.00 0.00 0.497 2920 
55 0 83 1497 1354 691 196 0.01 0.01 0.00 0.00 0.70 2.24 0.06 0.08 0.00 1.29 -0.563 5706 
23 0 107 785 389 164 200 0.01 0.02 0.00 0.03 1.06 1.44 0.07 0.24 0.00 1.06 -0.452 3968 
0 57 254 17 87 0 7 0.00 0.00 0.52 1.06 0.04 0.33 0.00 0.00 0.00 0.00 0.461 2936 
0 40 230 259 311 8 53 0.00 0.00 0.52 0.26 0.61 1.19 0.01 0.00 0.00 0.63 -0.161 3351 
8 48 243 0 321 1 30 0.02 0.03 0.50 0.54 0.00 1.23 0.00 0.00 0.00 0.38 0.073 3189 
0 63 229 260 265 2 0 0.00 0.00 0.52 0.31 0.64 1.01 0.00 0.00 0.00 0.53 -0.098 3302 
0 2 164 849 372 16 193 0.00 0.00 0.05 0.05 1.13 1.40 0.01 0.23 0.00 1.04 -0.433 3905 
0 56 228 279 344 0 4 0.00 0.00 0.52 0.22 0.60 1.30 0.00 0.00 0.00 0.69 -0.207 3397 
1 41 203 542 324 8 38 0.00 0.00 0.52 0.11 0.95 1.23 0.00 0.00 0.00 0.87 -0.328 3573 
60 0 83 1498 1473 1281 196 0.01 0.01 0.00 0.00 0.67 2.28 0.07 0.07 0.00 1.30 -0.567 6074 
60 0 82 1499 1473 1281 196 0.01 0.01 0.00 0.00 0.67 2.28 0.07 0.07 0.00 1.30 -0.567 6074 
0 49 256 2 128 2 32 0.00 0.00 0.52 0.95 0.01 0.49 0.00 0.00 0.00 0.01 0.409 2969 
0 54 248 32 260 1 17 0.00 0.00 0.52 0.61 0.08 1.00 0.00 0.00 0.00 0.25 0.154 3130 
0 33 241 9 147 1 89 0.00 0.00 0.49 0.86 0.03 0.56 0.00 0.03 0.00 0.03 0.365 3001 
0 48 230 132 372 10 24 0.00 0.00 0.52 0.30 0.31 1.41 0.01 0.00 0.00 0.60 -0.128 3323 
57 0 83 1498 1498 658 196 0.01 0.01 0.00 0.00 0.67 2.28 0.05 0.07 0.00 1.30 -0.565 5848 
0 45 244 16 422 0 28 0.00 0.00 0.52 0.40 0.04 1.58 0.00 0.00 0.00 0.58 -0.081 3287 
0 54 261 2 30 2 17 0.00 0.00 0.52 1.31 0.01 0.11 0.00 0.00 0.00 0.00 0.572 2866 
60 0 84 1499 680 577 196 0.01 0.02 0.00 0.00 0.97 1.89 0.07 0.11 0.00 1.25 -0.546 4968 
0 60 252 19 201 1 0 0.00 0.00 0.52 0.71 0.05 0.77 0.00 0.00 0.00 0.10 0.265 3060 
0 27 236 11 244 1 111 0.00 0.00 0.46 0.65 0.03 0.93 0.00 0.06 0.00 0.19 0.197 3112 
32 0 84 1498 808 514 196 0.01 0.01 0.00 0.01 0.90 1.99 0.06 0.10 0.00 1.26 -0.548 5045 
0 54 275 3 9 0 17 0.00 0.00 0.52 1.39 0.01 0.04 0.00 0.00 0.00 0.00 0.605 2846 
0 60 245 56 128 1 0 0.00 0.00 0.52 0.83 0.14 0.49 0.00 0.00 0.00 0.03 0.349 3009 
0 59 258 5 191 7 0 0.00 0.00 0.52 0.76 0.01 0.74 0.00 0.00 0.00 0.08 0.297 3040 
0 54 253 3 344 1 17 0.00 0.00 0.52 0.54 0.01 1.32 0.00 0.00 0.00 0.44 0.047 3196 
60 0 84 1470 634 586 196 0.01 0.02 0.00 0.00 1.00 1.84 0.07 0.11 0.00 1.25 -0.543 4902 
59 0 83 1498 1473 951 196 0.01 0.01 0.00 0.00 0.68 2.28 0.06 0.07 0.00 1.30 -0.566 5939 
0 51 252 11 263 2 28 0.00 0.00 0.52 0.63 0.03 1.01 0.00 0.00 0.00 0.24 0.173 3117 
36 0 103 861 472 196 196 0.02 0.02 0.00 0.02 0.97 1.64 0.07 0.19 0.00 1.11 -0.479 4129 
60 0 84 1498 597 469 196 0.01 0.02 0.00 0.00 1.03 1.80 0.07 0.12 0.00 1.24 -0.541 4839 
0 46 255 2 180 5 43 0.00 0.00 0.52 0.80 0.01 0.69 0.00 0.00 0.00 0.06 0.320 3026 
60 0 84 1499 536 247 196 0.01 0.02 0.00 0.00 1.09 1.73 0.05 0.13 0.00 1.23 -0.533 4689 
