CHP3_C HP3_C PP_Cap Wind_C OffShoreWind_C PV_C Boiler3_C Anl_CHP3_heat_P Anl_CHP_elec_P Anl_HP3_heat_P Anl_PP_P Anl_Wind_P Anl_OffShoreWind_P Anl_PV_P Anl_Boiler_P Import Export CO2Emission Annual_Cost
(MW) (MW) (MW) (MW) (MW) (MW) (MJ) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (TWh) (Mton) (DKK)
80 0 132 1498 1474 979 178 0.06 0.10 0.00 0.00 0.64 2.20 0.06 0.06 0.00 1.30 -0.569 6001 
0 54 270 0 0 0 17 0.00 0.00 0.53 1.44 0.00 0.00 0.00 0.00 0.00 0.00 0.627 2832 
0 54 168 0 0 0 17 0.00 0.00 0.53 1.26 0.00 0.00 0.00 0.00 0.17 0.00 0.627 2832 
80 0 132 1498 1474 979 178 0.06 0.10 0.00 0.00 0.64 2.20 0.06 0.06 0.00 1.30 -0.569 6001 
0 53 350 0 38 7 21 0.00 0.00 0.53 1.28 0.00 0.15 0.00 0.00 0.00 0.00 0.561 2875 
0 59 280 1 19 0 0 0.00 0.00 0.53 1.36 0.00 0.07 0.00 0.00 0.00 0.00 0.594 2853 
0 57 198 1 65 0 7 0.00 0.00 0.53 1.17 0.00 0.25 0.00 0.00 0.02 0.00 0.517 2901 
0 55 816 2 235 0 14 0.00 0.00 0.53 0.69 0.01 0.90 0.00 0.00 0.00 0.16 0.232 3080 
0 39 270 0 206 0 71 0.00 0.00 0.53 0.74 0.00 0.79 0.00 0.01 0.00 0.10 0.281 3051 
1 4 381 785 377 15 179 0.06 0.09 0.09 0.04 1.03 1.40 0.01 0.18 0.00 1.04 -0.437 3887 
0 55 940 39 350 0 14 0.00 0.00 0.53 0.48 0.10 1.34 0.00 0.00 0.00 0.48 -0.001 3228 
75 0 564 1498 1006 653 190 0.07 0.10 0.00 0.00 0.77 2.03 0.06 0.08 0.00 1.28 -0.560 5379 
0 55 274 28 260 27 14 0.00 0.00 0.53 0.60 0.07 1.00 0.02 0.00 0.00 0.25 0.153 3137 
22 0 376 883 515 30 190 0.06 0.10 0.00 0.02 0.91 1.68 0.01 0.17 0.00 1.12 -0.480 4130 
0 46 249 32 378 15 29 0.00 0.00 0.53 0.43 0.08 1.44 0.01 0.00 0.00 0.53 -0.044 3257 
0 45 804 100 295 6 36 0.00 0.00 0.53 0.46 0.25 1.13 0.00 0.00 0.00 0.42 0.021 3217 
0 39 281 0 264 1 70 0.00 0.00 0.53 0.65 0.00 1.01 0.00 0.01 0.00 0.23 0.184 3112 
54 0 125 1425 937 546 190 0.06 0.10 0.00 0.00 0.78 2.00 0.06 0.09 0.00 1.27 -0.555 5190 
1 2 250 793 348 196 186 0.06 0.09 0.04 0.03 1.08 1.31 0.08 0.21 0.00 1.07 -0.452 3941 
52 0 123 1496 1400 482 190 0.06 0.10 0.00 0.00 0.66 2.18 0.05 0.07 0.00 1.30 -0.565 5696 
1 56 127 710 348 196 0 0.06 0.09 0.48 0.05 0.93 1.28 0.09 0.00 0.00 1.02 -0.424 3829 
0 57 195 4 73 0 7 0.00 0.00 0.53 1.13 0.01 0.28 0.00 0.00 0.02 0.00 0.500 2912 
52 0 248 1498 971 531 190 0.06 0.10 0.00 0.00 0.78 2.02 0.06 0.08 0.00 1.28 -0.557 5270 
0 40 119 339 238 4 56 0.00 0.00 0.53 0.24 0.82 0.91 0.00 0.01 0.03 0.57 -0.132 3332 
94 0 350 1495 1362 614 190 0.07 0.10 0.00 0.00 0.67 2.17 0.05 0.07 0.00 1.30 -0.566 5751 
0 45 798 99 356 6 32 0.00 0.00 0.53 0.37 0.24 1.36 0.00 0.00 0.00 0.54 -0.075 3280 
1 64 177 451 507 211 0 0.06 0.09 0.48 0.06 0.60 1.58 0.09 0.00 0.00 1.00 -0.407 3816 
0 57 195 5 317 0 3 0.00 0.00 0.53 0.57 0.01 1.21 0.00 0.00 0.01 0.37 0.091 3168 
0 40 119 339 291 4 56 0.00 0.00 0.53 0.20 0.77 1.11 0.00 0.01 0.02 0.67 -0.196 3387 
1 46 332 234 315 15 34 0.06 0.09 0.48 0.22 0.54 1.20 0.01 0.00 0.00 0.65 -0.185 3375 
58 0 253 1486 648 533 190 0.07 0.10 0.00 0.00 0.94 1.80 0.07 0.10 0.00 1.26 -0.548 4934 
57 0 890 1454 412 327 190 0.07 0.10 0.00 0.01 1.19 1.47 0.07 0.14 0.00 1.22 -0.529 4588 
58 0 253 1484 709 533 190 0.07 0.10 0.00 0.00 0.90 1.85 0.06 0.10 0.00 1.26 -0.550 4996 
0 57 209 0 309 0 3 0.00 0.00 0.53 0.59 0.00 1.18 0.00 0.00 0.00 0.34 0.110 3156 
2 39 111 612 382 79 53 0.06 0.09 0.47 0.06 0.84 1.38 0.04 0.00 0.00 0.98 -0.402 3748 
1 3 114 762 504 0 183 0.06 0.09 0.07 0.04 0.85 1.66 0.00 0.16 0.00 1.08 -0.457 3992 
98 0 138 1491 1207 374 190 0.07 0.10 0.00 0.00 0.71 2.12 0.04 0.07 0.00 1.29 -0.561 5495 
56 9 353 1474 382 177 157 0.07 0.10 0.18 0.01 1.19 1.38 0.05 0.08 0.00 1.19 -0.518 4497 
99 0 921 1499 558 425 190 0.07 0.10 0.00 0.00 1.01 1.71 0.06 0.11 0.00 1.25 -0.543 4850 
57 0 890 1421 412 257 190 0.07 0.10 0.00 0.01 1.18 1.47 0.06 0.14 0.00 1.21 -0.525 4537 
1 57 775 445 307 0 0 0.06 0.09 0.48 0.12 0.86 1.17 0.00 0.00 0.00 0.82 -0.303 3515 
0 41 818 60 69 0 64 0.00 0.00 0.52 1.02 0.15 0.26 0.00 0.01 0.00 0.00 0.444 2951 
1 46 108 234 381 22 34 0.06 0.09 0.48 0.15 0.47 1.41 0.01 0.00 0.02 0.73 -0.243 3447 
55 3 263 1100 519 335 179 0.07 0.10 0.07 0.01 0.95 1.65 0.07 0.11 0.00 1.19 -0.516 4438 
22 0 255 754 515 116 194 0.06 0.10 0.00 0.02 0.84 1.68 0.04 0.18 0.00 1.11 -0.472 4074 
0 27 128 503 352 38 113 0.00 0.00 0.47 0.10 0.86 1.32 0.02 0.05 0.00 0.88 -0.337 3597 
62 0 343 1498 1006 549 190 0.06 0.10 0.00 0.00 0.77 2.04 0.06 0.08 0.00 1.28 -0.559 5324 
57 0 276 1491 1207 483 190 0.06 0.10 0.00 0.00 0.71 2.12 0.05 0.07 0.00 1.29 -0.562 5497 
5 52 252 369 325 0 10 0.06 0.09 0.48 0.15 0.74 1.23 0.00 0.00 0.00 0.78 -0.277 3482 
76 0 163 1495 1224 648 190 0.07 0.10 0.00 0.00 0.70 2.12 0.05 0.07 0.00 1.29 -0.564 5603 
0 54 168 0 2 0 17 0.00 0.00 0.53 1.26 0.00 0.01 0.00 0.00 0.17 0.00 0.623 2835 
