PV_Cap NGas_CHP_Cap HP_Cap Oil_boiler_Cap Ngas_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualNGasBoilerheat AnnualBiomassBoilerheat AnnualmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption NgasConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
6032 17 2574 3 197 12187 6.46 0.08 8.00 0.01 0.41 25.24 0.05 25.59 29.80 2.12 24.83 33.66 0.61 2078.0 1904.0 1178.0 1919.0 7151.0 530.0 5544.0 1342.0 22.494 14567.0 0.72 
14999 16458 1 3 13 59 16.07 73.05 0.00 0.01 0.03 0.12 51.14 0.01 3.22 66.12 24.83 0.16 146.13 2078.0 1904.0 6.0 -3696.0 12880.0 2380.0 4694.0 7344.0 0.315 27298.0 1.57 
5685 70 863 2 11603 8916 6.09 0.31 2.68 0.0 24.03 18.47 0.22 8.58 24.65 2.15 24.83 24.62 27.33 2077.0 1904.0 862.0 1592.0 8806.0 617.0 4979.0 1334.0 24.981 15736.0 0.61 
14999 16458 1 3 13 59 16.07 73.05 0.00 0.01 0.03 0.12 51.14 0.01 3.22 66.12 24.83 0.16 146.13 2078.0 1904.0 6.0 -3696.0 12880.0 2380.0 4694.0 7344.0 0.315 27298.0 1.57 
5568 3609 403 15 5217 12185 5.96 16.02 1.25 0.03 10.81 25.24 11.21 4.01 11.12 5.63 24.86 33.65 44.05 2082.0 1904.0 1178.0 525.0 9498.0 969.0 4827.0 2316.0 18.659 17610.0 0.38 
14992 10106 48 7 26 9347 16.06 44.85 0.15 0.01 0.05 19.36 31.4 0.47 4.31 38.86 24.84 25.82 89.77 2079.0 1904.0 903.0 -1920.0 10708.0 1784.0 4709.0 5560.0 5.052 22761.0 0.98 
5595 497 2359 1 3488 9208 5.99 2.21 7.33 0.0 7.23 19.07 1.55 23.46 27.31 1.96 24.82 25.43 12.44 2077.0 1904.0 890.0 1770.0 7731.0 577.0 5473.0 1415.0 23.575 15196.0 0.66 
14927 5945 914 3 1 11460 15.99 26.39 2.84 0.01 0.0 23.74 18.47 9.09 6.36 19.67 24.83 31.65 52.77 2077.0 1904.0 1107.0 -589.0 9059.0 1348.0 4997.0 4369.0 9.659 19773.0 0.59 
14967 9255 2 3 202 10670 16.03 41.08 0.01 0.01 0.42 22.1 28.75 0.02 4.48 35.37 24.83 29.47 82.62 2078.0 1904.0 1031.0 -1690.0 10449.0 1706.0 4694.0 5319.0 5.688 22168.0 0.9 
14517 5055 1068 0 18 12042 15.55 22.44 3.32 0.0 0.04 24.94 15.71 10.62 7.64 16.09 24.82 33.26 44.91 2077.0 1904.0 1164.0 -287.0 8741.0 1249.0 5047.0 4055.0 10.841 19092.0 0.54 
14992 9636 1 3 3 10302 16.06 42.77 0.00 0.01 0.01 21.34 29.94 0.01 4.40 37.01 24.83 28.45 85.55 2078.0 1904.0 996.0 -1798.0 10558.0 1742.0 4694.0 5429.0 5.299 22423.0 0.94 
5573 471 2369 17 1633 11041 5.97 2.09 7.36 0.03 3.38 22.87 1.46 23.55 27.46 1.94 24.86 30.49 7.94 2083.0 1904.0 1067.0 1780.0 7538.0 574.0 5476.0 1404.0 22.763 14992.0 0.67 
14995 8349 79 9 58 11798 16.06 37.06 0.25 0.02 0.12 24.44 25.94 0.79 4.72 31.37 24.84 32.58 74.25 2080.0 1904.0 1140.0 -1425.0 10106.0 1618.0 4721.0 5067.0 6.405 21512.0 0.82 
12962 5180 1074 12 341 11488 13.89 22.99 3.34 0.03 0.71 23.79 16.09 10.68 7.63 14.95 24.85 31.73 46.77 2081.0 1904.0 1110.0 -227.0 8911.0 1229.0 5049.0 3857.0 11.875 19046.0 0.51 
14990 14822 0 3 10 2521 16.06 65.79 0.00 0.01 0.02 5.22 46.05 0.0 3.47 59.10 24.83 6.96 131.60 2077.0 1904.0 244.0 -3241.0 12323.0 2227.0 4694.0 6884.0 1.512 26128.0 1.42 
14967 14594 2 3 28 2836 16.03 64.77 0.01 0.01 0.06 5.87 45.34 0.02 3.51 58.09 24.83 7.83 129.61 2078.0 1904.0 274.0 -3175.0 12248.0 2205.0 4694.0 6816.0 1.706 25963.0 1.39 
14982 11867 22 0 40 6818 16.05 52.67 0.07 0.0 0.08 14.12 36.87 0.22 3.97 46.41 24.82 18.83 105.44 2077.0 1904.0 659.0 -2414.0 11315.0 1950.0 4700.0 6053.0 3.729 24018.0 1.14 
14988 12152 3 13 45 6465 16.06 53.94 0.01 0.03 0.09 13.39 37.76 0.03 3.92 47.68 24.85 17.85 107.98 2081.0 1904.0 625.0 -2497.0 11420.0 1977.0 4696.0 6134.0 3.493 24227.0 1.17 
14997 8867 1 3 0 11460 16.07 39.35 0.00 0.01 0.0 23.74 27.55 0.01 4.57 33.77 24.83 31.65 78.71 2078.0 1904.0 1107.0 -1584.0 10295.0 1670.0 4694.0 5214.0 5.856 21873.0 0.87 
14883 12454 11 0 22 6012 15.94 55.28 0.03 0.0 0.05 12.45 38.69 0.11 3.87 48.84 24.82 16.60 110.61 2077.0 1904.0 581.0 -2574.0 11522.0 2003.0 4697.0 6203.0 3.331 24425.0 1.19 
13176 2513 2484 0 2 9071 14.12 11.16 7.72 0.0 0.0 18.79 7.81 24.7 17.28 8.61 24.82 25.05 22.32 2077.0 1904.0 877.0 776.0 7574.0 911.0 5515.0 3118.0 16.034 17118.0 0.59 
14980 14049 1 1 4 3683 16.05 62.35 0.00 0.0 0.01 7.63 43.65 0.01 3.60 55.78 24.82 10.17 124.72 2077.0 1904.0 356.0 -3025.0 12059.0 2154.0 4694.0 6665.0 2.082 25572.0 1.34 
14987 12706 6 1 60 5616 16.06 56.40 0.02 0.0 0.12 11.63 39.48 0.06 3.82 50.03 24.82 15.51 112.93 2077.0 1904.0 543.0 -2651.0 11606.0 2029.0 4697.0 6290.0 3.094 24622.0 1.22 
14392 280 2522 8 302 11932 15.42 1.24 7.84 0.02 0.62 24.71 0.87 25.08 25.90 8.50 24.84 32.95 3.18 2079.0 1904.0 1153.0 1332.0 6763.0 724.0 5527.0 2674.0 17.133 15688.0 0.78 
14979 15913 1 5 7 881 16.05 70.63 0.00 0.01 0.01 1.83 49.44 0.01 3.30 63.75 24.83 2.43 141.27 2079.0 1904.0 85.0 -3543.0 12695.0 2329.0 4695.0 7188.0 0.725 26907.0 1.52 
14981 14420 51 0 12 2879 16.05 64.01 0.16 0.0 0.02 5.96 44.8 0.51 3.54 57.22 24.82 7.95 128.04 2077.0 1904.0 278.0 -3119.0 12173.0 2187.0 4711.0 6769.0 1.902 25840.0 1.38 
14995 7243 339 3 201 12073 16.06 32.15 1.05 0.01 0.42 25.01 22.5 3.37 5.16 26.10 24.83 33.34 64.76 2077.0 1904.0 1167.0 -1067.0 9672.0 1501.0 4806.0 4753.0 7.739 20732.0 0.71 
14995 6122 704 3 51 12153 16.06 27.17 2.19 0.01 0.11 25.17 19.02 6.99 6.04 20.87 24.83 33.56 54.46 2078.0 1904.0 1174.0 -684.0 9177.0 1377.0 4926.0 4433.0 9.137 19913.0 0.61 
12389 2355 2152 1 1571 9333 13.27 10.45 6.69 0.0 3.25 19.33 7.32 21.39 17.15 7.97 24.82 25.78 24.52 2077.0 1904.0 902.0 803.0 7816.0 897.0 5404.0 2961.0 16.778 17078.0 0.57 
14982 5504 912 5 761 11369 16.05 24.43 2.83 0.01 1.58 23.55 17.1 9.06 6.84 18.26 24.83 31.40 50.61 2078.0 1904.0 1099.0 -470.0 8984.0 1308.0 4996.0 4254.0 10.302 19542.0 0.57 
12962 4574 1263 12 3 11825 13.89 20.30 3.93 0.03 0.01 24.49 14.21 12.56 8.84 12.89 24.85 32.66 40.61 2081.0 1904.0 1143.0 -22.0 8620.0 1163.0 5111.0 3684.0 12.496 18578.0 0.49 
14814 3609 403 11 5393 12012 15.87 16.02 1.25 0.02 11.17 24.88 11.21 4.01 9.32 13.73 24.85 33.17 44.45 2081.0 1904.0 1161.0 -32.0 8957.0 1154.0 4828.0 3706.0 13.065 18645.0 0.52 
14983 10442 5 1 33 9047 16.05 46.35 0.01 0.0 0.07 18.74 32.44 0.05 4.24 40.40 24.82 24.99 92.77 2077.0 1904.0 874.0 -2021.0 10834.0 1817.0 4696.0 5655.0 4.735 23002.0 1.01 
6171 1978 843 3 7827 9924 6.61 8.78 2.62 0.01 16.21 20.56 6.15 8.38 16.84 3.39 24.83 27.41 35.58 2078.0 1904.0 959.0 1028.0 9049.0 806.0 4972.0 1942.0 21.480 16769.0 0.46 
14979 7626 410 3 13 11346 16.05 33.85 1.27 0.01 0.03 23.5 23.69 4.08 5.02 27.42 24.83 31.33 67.72 2078.0 1904.0 1096.0 -1158.0 9765.0 1533.0 4830.0 4857.0 7.508 20985.0 0.73 
14976 8627 11 3 9 11761 16.04 38.29 0.03 0.01 0.02 24.36 26.8 0.11 4.63 32.71 24.83 32.48 76.60 2077.0 1904.0 1137.0 -1514.0 10213.0 1647.0 4697.0 5143.0 6.067 21700.0 0.85 
5734 531 561 0 12163 9114 6.14 2.36 1.74 0.0 25.19 18.88 1.65 5.58 21.87 2.40 24.82 25.17 32.71 2077.0 1904.0 881.0 1402.0 9097.0 677.0 4880.0 1475.0 24.339 16129.0 0.55 
12962 4914 1074 8 556 11678 13.89 21.81 3.34 0.02 1.15 24.19 15.27 10.67 8.03 14.18 24.84 32.25 44.90 2079.0 1904.0 1129.0 -153.0 8842.0 1204.0 5048.0 3782.0 12.166 18876.0 0.5 
14967 14200 2 3 28 3426 16.03 63.03 0.01 0.01 0.06 7.1 44.12 0.02 3.57 56.41 24.83 9.46 126.12 2078.0 1904.0 331.0 -3066.0 12114.0 2168.0 4694.0 6705.0 1.993 25681.0 1.36 
14999 15370 11 0 9 1652 16.07 68.22 0.03 0.0 0.02 3.42 47.75 0.11 3.39 61.42 24.82 4.56 136.46 2077.0 1904.0 160.0 -3392.0 12506.0 2278.0 4698.0 7038.0 1.123 26520.0 1.47 
14983 6396 628 1 6 12152 16.05 28.39 1.95 0.0 0.01 25.17 19.87 6.24 5.78 22.05 24.82 33.56 56.79 2077.0 1904.0 1174.0 -774.0 9287.0 1407.0 4901.0 4509.0 8.787 20104.0 0.63 
14995 13615 1 0 3 4336 16.06 60.43 0.00 0.0 0.01 8.98 42.3 0.01 3.67 53.94 24.82 11.97 120.87 2077.0 1904.0 419.0 -2905.0 11911.0 2114.0 4694.0 6546.0 2.389 25265.0 1.3 
