PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;
14405;787;2369;25;851;11341;356;270;3834.0;15.43;3.49;7.36;6.38;0.05;1.76;23.49;2.44;23.55;26.77;5.74;3.56;31.32;8.94;301.0;268.0;1096.0;1547.0;4002.0;780.0;6153.0;6445;8801.0;10.017;23677.0;0.64;0.3;
11790;4344;1230;55;713;11579;543;411;3506.0;12.63;19.28;3.82;5.83;0.11;1.48;23.98;13.5;12.23;12.01;8.05;5.45;31.98;40.20;464.0;408.0;1119.0;460.0;5930.0;1119.0;5719.0;5894;8879.0;11.005;25251.0;0.4;0.44;
11134;3872;1383;17;910;11396;834;632;2994.0;11.93;17.19;4.30;4.98;0.03;1.89;23.6;12.03;13.75;13.14;6.76;8.21;31.47;36.47;689.0;627.0;1101.0;609.0;6184.0;1054.0;5680.0;5033;7776.0;11.802;23772.0;0.4;0.44;
6944;422;2408;70;659;11847;2294;1738;428.0;7.44;1.87;7.48;0.71;0.15;1.37;24.54;1.31;23.94;27.62;2.52;22.64;32.72;5.26;1904.0;1724.0;1145.0;1762.0;7009.0;594.0;5564.0;719;1858.0;15.679;15465.0;0.67;0.42;
12795;4323;1357;33;418;11320;11;8;4441.0;13.71;19.19;4.22;7.39;0.07;0.87;23.45;13.43;13.49;12.85;7.92;0.19;31.26;39.34;21.0;9.0;1094.0;524.0;5052.0;1131.0;5928.0;7465;10611.0;9.781;27287.0;0.4;0.4;
12933;2123;1825;32;1189;11602;1582;1199;1679.0;13.86;9.42;5.67;2.79;0.07;2.46;24.03;6.6;18.14;18.41;7.01;15.57;32.04;21.59;1307.0;1189.0;1121.0;940.0;6436.0;904.0;5593.0;2822;5323.0;12.428;19982.0;0.54;0.43;
5953;4072;1378;31;124;11892;690;523;3247.0;6.38;18.08;4.28;5.40;0.06;0.26;24.63;12.65;13.7;15.03;3.58;6.84;32.84;36.44;577.0;519.0;1149.0;889.0;6289.0;969.0;5724.0;5458;7520.0;13.183;23840.0;0.38;0.45;
10512;4107;1414;33;545;11240;1802;1366;1292.0;11.26;18.23;4.39;2.15;0.07;1.13;23.28;12.76;14.06;11.32;8.05;17.74;31.04;37.71;1489.0;1354.0;1086.0;415.0;7609.0;1062.0;5389.0;2172;4905.0;13.482;20293.0;0.42;0.51;
14071;1716;2141;10;490;11415;801;607;3052.0;15.07;7.61;6.65;5.08;0.02;1.02;23.64;5.33;21.29;21.75;6.49;7.87;31.53;16.36;659.0;602.0;1103.0;1185.0;4978.0;872.0;5939.0;5130;7721.0;10.670;22647.0;0.57;0.35;
