PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;
12595;332;1798;13;3530;12096;22;17;4421.0;13.49;1.47;5.59;7.35;0.03;7.31;25.05;1.03;17.88;28.22;4.03;0.25;33.41;11.07;24.0;16.0;1169.0;1730.0;3913.0;731.0;6068.0;7432;9257.0;10.675;24514.0;0.56;0.3;0.03422549593952929;8.123014788371997;33.40610978611796;0.09117225806451613;0.1266668131868132;
5565;1;3447;0;0;8219;2537;1923;0.0;5.96;0.00;10.71;0.00;0.0;0.0;17.02;0.0;34.27;32.75;1.79;24.84;22.70;0.01;2078.0;1905.0;794.0;2121.0;6921.0;473.0;5831.0;0;835.0;17.206;14060.0;0.63;0.44;0.0;3.798551968199431E-4;22.699658509020257;10.513819032258064;14.328251868131867;
5565;2004;2091;0;80;11645;2537;1923;0.0;5.96;8.90;6.50;0.00;0.0;0.17;24.12;6.23;20.79;20.34;2.48;24.84;32.16;17.98;2078.0;1905.0;1125.0;1300.0;7976.0;731.0;5385.0;0;1415.0;16.351;15507.0;0.45;0.48;0.0;0.18350061504417772;32.15933878029028;10.513819032258064;14.328251868131867;
7040;3;2613;0;10;12212;2288;1734;438.0;7.54;0.01;8.12;0.73;0.0;0.02;25.3;0.01;25.97;30.00;2.48;22.40;33.73;0.05;1874.0;1719.0;1180.0;1914.0;6711.0;546.0;5634.0;736;1807.0;15.382;15148.0;0.61;0.4;1.9808903686985714E-4;0.023926611557039127;33.727285950771176;9.481914838709677;12.920014945054943;
5565;0;2617;0;11;12192;2537;1923;0.0;5.96;0.00;8.13;0.00;0.0;0.02;25.25;0.0;26.02;30.23;1.85;24.84;33.67;0.03;2078.0;1905.0;1178.0;1960.0;7145.0;516.0;5557.0;0;848.0;16.321;14066.0;0.61;0.42;0.0;0.026045617371625314;33.671025651599074;10.513819032258064;14.328251868131867;
5565;1;2848;0;3;11091;2537;1923;0.0;5.96;0.00;8.85;0.00;0.0;0.01;22.97;0.0;28.32;30.93;1.83;24.84;30.63;0.01;2078.0;1905.0;1072.0;2005.0;7082.0;504.0;5633.0;0;845.0;16.565;14064.0;0.62;0.43;1.1288386261375263E-4;0.005784771858804486;30.631669665803454;10.513819032258064;14.328251868131867;
5565;0;3499;0;0;7971;2537;1923;0.0;5.96;0.00;10.87;0.00;0.0;0.0;16.51;0.0;34.79;32.91;1.78;24.84;22.01;0.00;2078.0;1905.0;770.0;2132.0;6907.0;470.0;5849.0;0;834.0;17.261;14060.0;0.63;0.44;0.0;0.0;22.0139344117073;10.513819032258064;14.328251868131867;
12664;18;2709;0;0;11735;2534;1921;5.0;13.57;0.08;8.42;0.01;0.0;0.0;24.31;0.06;26.93;27.92;6.92;24.81;32.41;0.16;2075.0;1904.0;1134.0;1546.0;6694.0;655.0;5590.0;8;1928.0;13.790;14872.0;0.66;0.4;0.0;5.168400249621524E-4;32.410192163720176;10.501386451612904;14.313349890109889;
6885;3;2639;0;0;12094;2537;1923;0.0;7.38;0.01;8.20;0.00;0.0;0.0;25.05;0.01;26.24;29.67;2.63;24.84;33.40;0.02;2078.0;1905.0;1169.0;1884.0;7060.0;542.0;5566.0;0;1048.0;15.852;14216.0;0.62;0.42;0.0;0.0;33.399984894717534;10.513819032258064;14.328251868131867;
5565;1;3406;0;0;8418;2537;1923;0.0;5.96;0.00;10.58;0.00;0.0;0.0;17.44;0.0;33.86;32.62;1.79;24.84;23.25;0.01;2078.0;1905.0;814.0;2113.0;6932.0;475.0;5817.0;0;836.0;17.162;14060.0;0.63;0.44;0.0;0.0;23.248963509264982;10.513819032258064;14.328251868131867;
5565;10;2594;0;73;12230;2537;1923;0.0;5.96;0.04;8.06;0.00;0.0;0.15;25.33;0.03;25.79;30.12;1.85;24.84;33.78;0.25;2078.0;1905.0;1182.0;1953.0;7161.0;518.0;5549.0;0;848.0;16.328;14076.0;0.61;0.42;0.0;0.1673536595496134;33.77628594680416;10.513819032258064;14.328251868131867;
5565;0;2623;0;5;12170;2537;1923;0.0;5.96;0.00;8.15;0.00;0.0;0.01;25.21;0.0;26.08;30.25;1.85;24.84;33.61;0.01;2078.0;1905.0;1176.0;1961.0;7143.0;516.0;5559.0;0;848.0;16.325;14066.0;0.61;0.42;0.0;0.01055083008452803;33.60911742932932;10.513819032258064;14.328251868131867;
5621;2;2611;0;1;12232;2537;1923;0.0;6.02;0.01;8.11;0.00;0.0;0.0;25.34;0.01;25.95;30.18;1.88;24.84;33.78;0.02;2078.0;1905.0;1182.0;1955.0;7143.0;518.0;5556.0;0;858.0;16.289;14075.0;0.61;0.42;0.0;0.001484741373101886;33.78286054946044;10.513819032258064;14.328251868131867;
5603;4;2606;0;8;12245;2537;1923;0.0;6.00;0.02;8.10;0.00;0.0;0.02;25.36;0.01;25.91;30.16;1.87;24.84;33.82;0.05;2078.0;1905.0;1183.0;1954.0;7147.0;518.0;5554.0;0;855.0;16.295;14074.0;0.61;0.42;0.0;0.01837238311361948;33.81687010513611;10.513819032258064;14.328251868131867;
5565;1;3406;0;0;8418;2537;1923;0.0;5.96;0.00;10.58;0.00;0.0;0.0;17.44;0.0;33.86;32.62;1.79;24.84;23.25;0.01;2078.0;1905.0;814.0;2113.0;6932.0;475.0;5817.0;0;836.0;17.162;14060.0;0.63;0.44;0.0;0.0;23.248963509264982;10.513819032258064;14.328251868131867;
5565;1;3445;0;0;8230;2537;1923;0.0;5.96;0.00;10.70;0.00;0.0;0.0;17.05;0.0;34.25;32.74;1.79;24.84;22.73;0.01;2078.0;1905.0;795.0;2121.0;6922.0;473.0;5830.0;0;835.0;17.204;14060.0;0.63;0.44;0.0;0.0;22.73003724360822;10.513819032258064;14.328251868131867;
5566;0;2855;0;2;11062;2537;1923;0.0;5.96;0.00;8.87;0.00;0.0;0.0;22.91;0.0;28.38;30.95;1.83;24.84;30.55;0.01;2078.0;1905.0;1069.0;2006.0;7080.0;504.0;5635.0;0;845.0;16.571;14064.0;0.62;0.43;0.0;0.003651263709361234;30.551046666096884;10.513819032258064;14.328251868131867;
9520;6;2637;0;2;12098;2537;1923;0.0;10.20;0.03;8.19;0.00;0.0;0.0;25.06;0.02;26.22;28.65;4.47;24.84;33.41;0.06;2078.0;1905.0;1169.0;1724.0;6903.0;595.0;5564.0;0;1444.0;14.878;14506.0;0.63;0.41;0.0;0.0044550804378936425;33.4112447602655;10.513819032258064;14.328251868131867;
