PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
11829;1608;2237;16;627;10974;757;574;3129.0;12.67;7.14;6.95;5.20;0.03;1.3;22.73;5.0;22.24;25.33;6.76;7.46;30.31;15.72;627.0;569.0;1061.0;1352.0;4981.0;812.0;5986.0;5260;7474.0;11.573;22469.0;0.57;0.37;0.041227568473970175;1.4438394397620875;30.307104923195254;5.0;22.24;3.14;4.28;
10306;4112;1673;222;618;9730;140;106;4214.0;11.04;18.25;5.20;7.01;0.46;1.28;20.15;12.78;16.63;16.32;7.19;1.94;26.87;37.93;198.0;105.0;940.0;738.0;5264.0;1045.0;5990.0;7084;9770.0;11.404;26401.0;0.42;0.43;0.573753553049734;1.4212537419355724;26.872519413899933;12.78;16.63;.58;.79;
8784;3369;1594;3;827;11232;1751;1327;1382.0;9.41;14.96;4.95;2.30;0.01;1.71;23.26;10.47;15.85;14.81;5.71;17.16;31.02;31.82;1435.0;1316.0;1085.0;758.0;7352.0;949.0;5464.0;2323;4573.0;14.139;19759.0;0.4;0.49;0.008149147153653533;1.9042886241761037;31.01943672478836;10.47;15.85;7.26;9.89;
13526;2553;1836;93;94;11937;160;121;4179.0;14.49;11.33;5.70;6.95;0.19;0.2;24.73;7.93;18.25;21.86;8.81;1.80;32.97;22.88;165.0;120.0;1154.0;1006.0;4434.0;955.0;6038.0;7025;9790.0;9.648;25513.0;0.54;0.36;0.23960267024101153;0.2173915122835174;32.967737288070715;7.93;18.25;.66;.9;
10839;3151;1617;7;105;12168;1031;781;2648.0;11.61;13.99;5.02;4.41;0.01;0.22;25.2;9.79;16.07;17.05;7.00;10.11;33.61;28.21;847.0;774.0;1176.0;817.0;6061.0;969.0;5696.0;4451;6988.0;11.880;22436.0;0.45;0.42;0.018029851605536558;0.240764421003307;33.6061597087008;9.79;16.07;4.27;5.82;
10454;4398;1831;46;375;8959;46;35;4379.0;11.20;19.52;5.69;7.28;0.09;0.78;18.56;13.67;18.2;15.97;7.50;0.57;24.74;39.91;55.0;34.0;866.0;696.0;5104.0;1066.0;6072.0;7361;10169.0;11.219;26912.0;0.41;0.43;0.11833728860742224;0.8637830390762871;24.743715769479554;13.67;18.2;.19;.26;
12175;291;2562;27;82;11925;2354;1784;322.0;13.04;1.29;7.96;0.54;0.06;0.17;24.7;0.9;25.47;26.99;6.61;23.12;32.93;2.77;1937.0;1769.0;1152.0;1500.0;6619.0;679.0;5596.0;541;2460.0;13.666;15685.0;0.64;0.4;0.06985370531458224;0.18878015111054278;32.9335597873097;0.9;25.47;9.76;13.29;
8902;4654;1635;31;303;9602;487;369;3604.0;9.54;20.66;5.08;6.00;0.06;0.63;19.89;14.46;16.26;13.85;6.75;4.85;26.52;42.01;410.0;366.0;928.0;608.0;5947.0;1069.0;5871.0;6058;8712.0;12.299;25304.0;0.37;0.46;0.07980556444179207;0.698157565913777;26.5179110794638;14.46;16.26;2.02;2.75;
14195;4184;1585;6;108;10768;1;1;4458.0;15.21;18.57;4.93;7.42;0.01;0.22;22.3;13.0;15.76;15.68;10.89;0.03;29.74;37.39;4.0;0.0;1041.0;489.0;4771.0;1134.0;6006.0;7494;10825.0;9.289;27319.0;0.47;0.41;0.015846017478776814;0.2487543267013563;29.737727006771397;13.0;15.76;0;.01;
6480;863;2329;1;363;11930;1054;799;2607.0;6.94;3.83;7.24;4.34;0.0;0.75;24.71;2.68;23.15;29.51;2.48;10.32;32.95;8.49;863.0;792.0;1153.0;1851.0;5411.0;630.0;5925.0;4382;5596.0;13.768;20242.0;0.57;0.37;0.003727172352214865;0.8351330415272661;32.948416300757565;2.68;23.15;4.37;5.95;
13666;461;2607;119;1146;10297;872;661;2927.0;14.64;2.05;8.10;4.87;0.25;2.37;21.33;1.43;25.92;30.37;7.87;8.85;28.44;6.73;760.0;654.0;995.0;1614.0;4623.0;722.0;6072.0;4920;7050.0;11.461;21476.0;0.67;0.35;0.30846752729190086;2.6370950294687336;28.43652443530632;1.43;25.92;3.61;4.93;
11209;2507;1741;12;512;12125;1927;1460;1073.0;12.01;11.13;5.41;1.79;0.03;1.06;25.11;7.79;17.31;17.30;7.02;18.90;33.49;23.43;1582.0;1449.0;1172.0;852.0;7091.0;909.0;5459.0;1804;4190.0;13.291;18752.0;0.47;0.46;0.03229329914335692;1.1794299826303782;33.48540395234033;7.79;17.31;7.99;10.88;
12756;3472;2178;26;32;9045;261;198;4001.0;13.67;15.41;6.77;6.66;0.05;0.07;18.74;10.79;21.66;19.10;8.53;2.63;24.98;30.90;224.0;196.0;874.0;847.0;4820.0;1008.0;6121.0;6726;9633.0;10.642;25695.0;0.48;0.4;0.06709907803990184;0.07399862481398482;24.980355012202434;10.79;21.66;1.08;1.48;
11028;2017;2157;14;34;11341;1588;1203;1669.0;11.81;8.95;6.70;2.78;0.03;0.07;23.49;6.27;21.44;21.25;6.31;15.58;31.32;17.98;1305.0;1193.0;1096.0;1135.0;6297.0;838.0;5701.0;2806;5047.0;12.911;19599.0;0.51;0.42;0.036464306632805775;0.07912483367078575;31.320774193547933;6.27;21.44;6.58;8.96;
