PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
8288;336;2297;229;1286;11722;363;275;3822.0;8.88;1.49;7.14;6.36;0.47;2.66;24.28;1.04;22.84;32.97;3.63;4.14;32.37;5.94;383.0;272.0;1133.0;1995.0;4315.0;619.0;6128.0;6425;7703.0;12.426;22694.0;0.63;0.33;0.5923998456659064;2.958830416269533;32.373209343644994;1.04;22.84;1.5;2.05;
12720;2366;1948;87;473;11308;1772;1343;1345.0;13.63;10.50;6.05;2.24;0.18;0.98;23.42;7.35;19.37;18.48;8.09;17.58;31.23;22.09;1484.0;1331.0;1093.0;866.0;6694.0;916.0;5576.0;2261;4831.0;12.704;19400.0;0.51;0.44;0.22505568785463928;1.0880969458842138;31.229971025409398;7.35;19.37;7.34;10.01;
13816;3870;1228;57;803;12206;144;109;4207.0;14.80;17.18;3.82;7.00;0.12;1.66;25.28;12.02;12.21;15.54;10.48;1.56;33.71;36.20;139.0;109.0;1180.0;507.0;5069.0;1116.0;5844.0;7072;10224.0;9.543;26578.0;0.47;0.41;0.1463346401592175;1.847199266979123;33.710266067073675;12.02;12.21;.6;.81;
14133;1946;1846;147;765;12073;1138;863;2459.0;15.14;8.64;5.74;4.09;0.3;1.58;25.01;6.05;18.36;21.31;9.04;11.53;33.34;19.04;988.0;856.0;1167.0;981.0;5649.0;910.0;5739.0;4134;6780.0;11.145;21606.0;0.56;0.4;0.38056293633872834;1.761039399387537;33.34313846334528;6.05;18.36;4.72;6.43;
6495;174;2468;228;440;11992;2292;1737;431.0;6.96;0.77;7.67;0.72;0.47;0.91;24.84;0.54;24.54;29.29;2.41;23.03;33.12;2.56;1962.0;1722.0;1159.0;1867.0;6951.0;559.0;5586.0;725;1729.0;15.840;15268.0;0.6;0.42;0.589189766201664;1.0124785313341287;33.119192301020895;0.54;24.54;9.5;12.94;
8714;1680;1997;129;905;11626;1329;1007;2124.0;9.34;7.46;6.21;3.53;0.27;1.87;24.08;5.22;19.86;23.49;4.32;13.35;32.11;16.99;1136.0;999.0;1124.0;1380.0;6121.0;769.0;5730.0;3570;5320.0;13.586;20123.0;0.52;0.41;0.3352394710971894;2.083315357653164;32.107647120206366;5.22;19.86;5.51;7.5;
13050;1992;2687;12;208;8662;2520;1910;30.0;13.98;8.84;8.35;0.05;0.02;0.43;17.94;6.19;26.71;19.84;8.05;24.70;23.92;18.16;2068.0;1893.0;837.0;971.0;7352.0;849.0;5586.0;50;2571.0;14.260;16389.0;0.53;0.48;0.030754287703863386;0.4797456179857682;23.921230466379026;6.19;26.71;10.44;14.23;
11881;4897;893;898;589;11648;406;308;3746.0;12.73;21.74;2.77;6.23;1.86;1.22;24.13;15.22;8.88;11.52;10.76;6.29;32.17;44.83;669.0;305.0;1126.0;229.0;6206.0;1191.0;5651.0;6297;9419.0;11.065;26318.0;0.42;0.48;2.3241297635293385;1.355786534989473;32.16740733529874;15.22;8.88;1.68;2.29;
12973;1406;2043;0;1513;11339;1788;1355;1317.0;13.90;6.24;6.35;2.19;0.0;3.13;23.49;4.37;20.31;22.37;7.75;17.51;31.32;15.96;1465.0;1343.0;1096.0;1133.0;6431.0;826.0;5601.0;2214;4501.0;12.899;18713.0;0.57;0.43;7.979729544194291E-4;3.4820820315169434;31.316306123684416;4.37;20.31;7.41;10.1;
14226;4089;1218;9;1121;11657;588;446;3426.0;15.24;18.15;3.79;5.70;0.02;2.32;24.14;12.7;12.11;13.59;11.27;5.78;32.19;38.87;485.0;442.0;1126.0;347.0;5765.0;1145.0;5702.0;5759;9019.0;10.252;25153.0;0.46;0.45;0.02240143420449861;2.579308584157721;32.192978039268304;12.7;12.11;2.44;3.32;
9787;3891;1232;32;1521;11462;130;99;4231.0;10.48;17.27;3.83;7.04;0.07;3.15;23.74;12.09;12.25;16.16;6.83;1.36;31.65;38.05;119.0;98.0;1108.0;746.0;5365.0;1037.0;5848.0;7112;9628.0;11.343;26227.0;0.42;0.43;0.0840098202667454;3.5006418951122265;31.6541501531543;12.09;12.25;.54;.74;
7908;2216;1762;147;765;12074;570;432;3458.0;8.47;9.83;5.47;5.75;0.3;1.58;25.01;6.88;17.52;23.08;3.94;5.96;33.34;21.43;522.0;428.0;1167.0;1357.0;5338.0;815.0;5886.0;5813;7601.0;12.544;23195.0;0.49;0.39;0.3807180981568684;1.7609014777714125;33.343907403306844;6.88;17.52;2.36;3.22;
11829;704;2540;22;1519;9978;2481;1881;98.0;12.67;3.12;7.89;0.16;0.05;3.15;20.67;2.19;25.25;24.95;6.47;24.36;27.56;9.74;2041.0;1864.0;964.0;1381.0;7110.0;712.0;5549.0;165;2073.0;14.758;15545.0;0.6;0.45;0.05813851201020349;3.495346722611786;27.556826320114325;2.19;25.25;10.28;14.02;
14105;1116;2179;43;1033;11559;1314;996;2150.0;15.11;4.95;6.77;3.58;0.09;2.14;23.94;3.47;21.66;25.06;8.55;12.98;31.92;12.28;1092.0;988.0;1117.0;1249.0;5525.0;814.0;5794.0;3614;6010.0;11.609;20353.0;0.62;0.39;0.11173536742611007;2.376986224365429;31.923977875355277;3.47;21.66;5.45;7.42;
10828;707;2226;411;1127;11485;255;194;4011.0;11.60;3.14;6.92;6.67;0.85;2.34;23.79;2.2;22.13;30.72;5.65;3.58;31.72;8.87;365.0;192.0;1110.0;1743.0;4193.0;708.0;6138.0;6742;8506.0;11.400;23668.0;0.63;0.33;1.0651692176898453;2.594785891981647;31.718317971558452;2.2;22.13;1.06;1.45;
8047;5654;739;61;888;11789;14;10;4436.0;8.62;25.10;2.30;7.38;0.13;1.84;24.42;17.57;7.35;11.12;8.95;0.29;32.56;52.24;33.0;11.0;1139.0;284.0;5981.0;1193.0;5722.0;7457;10245.0;11.490;27701.0;0.37;0.49;0.1575856373779267;2.044152600182332;32.55701092406522;17.57;7.35;.06;.07;
6895;965;2543;6;1197;9912;2045;1550;865.0;7.39;4.28;7.90;1.44;0.01;2.48;20.53;3.0;25.28;26.66;2.77;20.04;27.37;11.32;1677.0;1536.0;958.0;1677.0;6843.0;637.0;5687.0;1454;2711.0;15.813;16767.0;0.55;0.44;0.01538454258468369;2.7550308435266655;27.373544121438332;3.0;25.28;8.47;11.55;
14358;3302;1423;2;971;12012;1471;1115;1874.0;15.38;14.66;4.42;3.12;0.0;2.01;24.88;10.26;14.14;14.30;10.58;14.42;33.17;31.55;1206.0;1106.0;1161.0;453.0;6660.0;1063.0;5495.0;3150;6216.0;11.506;21360.0;0.48;0.46;0.005050754933281962;2.234962025387796;33.17390409140144;10.26;14.14;6.1;8.31;
10990;134;2454;56;859;11873;1145;868;2447.0;11.77;0.59;7.62;4.07;0.12;1.78;24.59;0.42;24.4;31.15;5.61;11.37;32.79;3.17;959.0;861.0;1147.0;1791.0;5053.0;646.0;5935.0;4113;5769.0;12.445;19918.0;0.66;0.35;0.14529898635231872;1.977861748106273;32.78937014598099;0.42;24.4;4.75;6.47;
11011;4105;1232;32;853;11808;2493;1890;77.0;11.80;18.22;3.83;0.13;0.07;1.77;24.46;12.75;12.25;10.08;9.92;24.49;32.61;38.40;2054.0;1873.0;1141.0;227.0;8619.0;1081.0;5115.0;129;2925.0;14.323;17819.0;0.42;0.56;0.0840098202667454;1.9639140492791236;32.61156163369957;12.75;12.25;10.33;14.08;
10917;952;2225;31;891;11736;2406;1824;230.0;11.70;4.23;6.91;0.38;0.06;1.85;24.31;2.96;22.12;23.47;5.88;23.64;32.41;10.50;1982.0;1808.0;1134.0;1318.0;7166.0;733.0;5470.0;387;2264.0;14.419;15869.0;0.57;0.44;0.07899614302904902;2.0508337437223982;32.41106617145061;2.96;22.12;9.97;13.59;
6668;906;2347;17;849;11275;783;593;3084.0;7.14;4.02;7.29;5.13;0.04;1.76;23.35;2.81;23.34;30.09;2.61;7.70;31.14;9.99;647.0;587.0;1090.0;1875.0;5081.0;637.0;6014.0;5184;6412.0;13.545;21314.0;0.58;0.37;0.04454696469286097;1.9531902246009305;31.138528592072337;2.81;23.34;3.24;4.42;
