PV_Cap;NGas_CHP_Cap;HP_Cap;Oil_boiler_Cap;Ngas_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NgasConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;ngasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
59469;2957;2333;33;1042;8060;2452;1859;149.0;63.71;13.13;7.25;0.25;0.07;2.16;16.69;9.19;23.19;11.50;56.27;24.09;22.26;28.65;2021.0;1842.0;779.0;-2258.0;4868.0;1887.0;5316.0;250;9981.0;-3.278;22205.0;1.3548580567772892;0.48633694674994965;0.08480164922491489;2.3975123210000375;22.258530282471728;9.19;23.19;10.16;13.85;
51996;4112;1742;600;403;9233;29;22;4409.0;55.70;18.25;5.41;7.33;1.24;0.83;19.12;12.77;17.32;13.18;49.81;1.83;25.50;37.43;249.0;22.0;892.0;-1849.0;2554.0;1876.0;5874.0;7412;16356.0;-4.521;31192.0;1.139884183858125;0.4357892801621124;1.5538867685820634;0.9275809233917404;25.498651569318728;12.77;17.32;.12;.16;
38432;416;2568;32;1288;10497;2507;1900;53.0;41.17;1.85;7.98;0.09;0.07;2.67;21.74;1.29;25.53;21.49;31.87;24.63;28.99;6.66;2065.0;1884.0;1014.0;-248.0;5310.0;1216.0;5376.0;89;5928.0;4.241;17884.0;1.0547539039335836;0.5045298284584049;0.08377856376420874;2.9647591253525163;28.99029951039026;1.29;25.53;10.39;14.16;
43361;4446;2179;61;490;7089;35;27;4398.0;46.45;19.73;6.77;7.32;0.13;1.02;14.68;13.81;21.66;13.29;40.82;0.51;19.58;40.59;52.0;27.0;685.0;-1338.0;2939.0;1711.0;6015.0;7393;15193.0;-1.081;30379.0;0.9558381911323088;0.44299432701737257;0.1582570381013005;1.1281429842549027;19.578114023310235;13.81;21.66;.15;.2;
46246;2511;1800;72;181;12110;1421;1077;1962.0;49.54;11.14;5.59;3.26;0.15;0.37;25.08;7.8;17.89;14.70;41.97;14.10;33.44;22.70;1190.0;1068.0;1170.0;-1273.0;4129.0;1608.0;5458.0;3298;10968.0;-1.074;24180.0;1.103173058205178;0.43954803107699003;0.18530476170384733;0.41570480723142816;33.44390198291818;7.8;17.89;5.89;8.02;
52739;2995;1710;26;612;11429;56;42;4362.0;56.50;13.29;5.31;7.26;0.05;1.27;23.67;9.31;17.0;16.52;49.17;0.61;31.56;28.00;55.0;42.0;1105.0;-1594.0;2037.0;1788.0;5854.0;7333;16095.0;-5.394;30258.0;1.1924124160464693;0.4237418890009615;0.0680183617321105;1.4079804087412122;31.564584397833187;9.31;17.0;.23;.31;
8823;505;2542;34;1257;10516;2491;1888;81.0;9.45;2.24;7.90;0.13;0.07;2.6;21.78;1.57;25.28;25.22;4.31;24.48;29.04;7.37;2053.0;1871.0;1016.0;1509.0;7105.0;633.0;5372.0;136;1549.0;15.145;14742.0;0.5841740850642927;0.5403020458644511;0.0883598449559389;2.892274740798916;29.042887923136018;1.57;25.28;10.32;14.07;
5626;2445;1690;141;1048;11801;2469;1871;120.0;6.03;10.85;5.25;0.20;0.29;2.17;24.44;7.6;16.8;16.34;3.20;24.54;32.59;24.11;2074.0;1855.0;1140.0;999.0;8164.0;794.0;5098.0;202;1698.0;15.896;15877.0;0.40733791953304144;0.4955400982366799;0.36608795249422077;2.411734604948101;32.59034792006768;7.6;16.8;10.23;13.94;
12670;3733;1708;21;19;10928;2056;1558;846.0;13.57;16.57;5.31;1.41;0.04;0.04;22.64;11.6;16.98;11.30;10.16;20.18;30.18;33.18;1691.0;1545.0;1056.0;288.0;7455.0;1055.0;5232.0;1422;4399.0;12.464;19011.0;0.4358245329000812;0.4561495842355041;0.05471098087083189;0.04327940388015797;30.180829906348347;11.6;16.98;8.52;11.61;
59795;2241;2113;17;1283;9964;42;32;4386.0;64.06;9.95;6.56;7.30;0.03;2.66;20.64;6.96;21.01;19.90;55.47;0.45;27.52;22.84;41.0;31.0;963.0;-1728.0;1293.0;1838.0;5993.0;7373;16943.0;-7.494;30576.0;1.3368215679318907;0.44650703771901734;0.043720913726336796;2.9523512857948195;27.518318908390473;6.96;21.01;.17;.24;
60960;4000;1338;17;944;11383;72;54;4334.0;65.31;17.75;4.16;7.21;0.04;1.95;23.58;12.43;13.31;12.40;59.52;0.74;31.44;37.68;64.0;54.0;1100.0;-2443.0;2037.0;2066.0;5727.0;7285;17555.0;-8.375;31840.0;1.3345704212284284;0.4222978960164347;0.0438756863176908;2.1717136560954455;31.437778953386495;12.43;13.31;.3;.4;
51725;3815;1323;591;233;11869;1011;766;2683.0;55.41;16.93;4.11;4.46;1.22;0.48;24.59;11.85;13.15;10.61;49.81;11.43;32.78;34.40;1050.0;760.0;1147.0;-1992.0;3945.0;1865.0;5429.0;4510;13347.0;-3.506;27344.0;1.1826189078097475;0.433732753775062;1.53067485387673;0.5371249702179038;32.78009332957681;11.85;13.15;4.19;5.71;
37981;2003;2270;61;842;9966;2533;1920;7.0;40.69;8.89;7.05;0.01;0.13;1.74;20.64;6.22;22.57;14.99;32.93;24.97;27.52;19.72;2098.0;1904.0;963.0;-724.0;5957.0;1371.0;5270.0;12;6254.0;4.384;18859.0;0.9665187575635338;0.4844074027073917;0.15706128583457285;1.937422901544451;27.522189065416224;6.22;22.57;10.5;14.31;
12622;4813;1267;42;262;11162;1006;763;2691.0;13.52;21.36;3.94;4.48;0.09;0.54;23.12;14.95;12.6;9.99;11.89;9.97;30.83;43.33;841.0;756.0;1079.0;76.0;6499.0;1178.0;5412.0;4524;7789.0;10.804;23644.0;0.4295249312917158;0.43601555673933673;0.10748154633845232;0.6021097358845351;30.826300256424872;14.95;12.6;4.17;5.69;
6309;4793;2055;9;476;7227;374;283;3803.0;6.76;21.27;6.39;6.33;0.02;0.99;14.97;14.89;20.44;14.05;4.80;3.68;19.96;43.64;309.0;281.0;698.0;718.0;5782.0;1009.0;5869.0;6393;8716.0;13.067;25285.0;0.3412382331643737;0.45224907195134767;0.02313081278410516;1.0947364014010463;19.959561564958328;14.89;20.44;1.55;2.11;
51927;3734;1844;90;399;9824;2502;1896;62.0;55.63;16.58;5.73;0.10;0.19;0.83;20.35;11.6;18.34;8.48;50.28;24.73;27.13;34.07;2083.0;1880.0;949.0;-2124.0;5740.0;1834.0;5139.0;104;8958.0;-0.980;21735.0;1.2153050672182004;0.4703056591514239;0.23382059131615793;0.9174768281761929;27.130200046355146;11.6;18.34;10.37;14.13;
14369;1421;2010;112;1444;11434;2503;1897;60.0;15.39;6.31;6.24;0.10;0.23;2.99;23.68;4.41;19.98;18.74;9.53;24.79;31.58;15.93;2091.0;1880.0;1105.0;814.0;7282.0;857.0;5192.0;101;2599.0;12.938;15992.0;0.5785918952108062;0.5035787337562254;0.2911388413474826;3.322310578943142;31.57825659041005;4.41;19.98;10.37;14.13;
59986;3645;1746;60;602;10258;120;91;4249.0;64.26;16.18;5.42;7.07;0.13;1.25;21.25;11.32;17.36;14.16;57.54;1.34;28.33;33.74;121.0;91.0;991.0;-2214.0;1912.0;1992.0;5846.0;7143;17176.0;-7.731;31294.0;1.303399381930558;0.42832959107763396;0.15646946640755865;1.3865050690910248;28.329474126675084;11.32;17.36;.5;.68;
20799;4607;1741;63;857;8582;290;220;3950.0;22.28;20.45;5.41;6.57;0.13;1.77;17.78;14.31;17.31;12.25;18.43;3.00;23.70;42.87;261.0;218.0;829.0;-150.0;4866.0;1298.0;5792.0;6640;11037.0;7.405;27053.0;0.5629357798165138;0.4403363914973117;0.1627448117989715;1.9715814392315612;23.700447363979077;14.31;17.31;1.2;1.64;
47252;5917;2179;61;490;4882;35;27;4398.0;50.62;26.26;6.77;7.32;0.13;1.02;10.11;18.39;21.66;9.47;47.70;0.51;13.48;53.66;52.0;27.0;472.0;-1981.0;3206.0;1927.0;6015.0;7393;16307.0;-2.107;31976.0;1.0098922451863628;0.4576371224981449;0.1582570381013005;1.1281429842549027;13.481948444314874;18.39;21.66;.15;.2;
44525;3626;1684;72;1308;9867;191;145;4124.0;47.70;16.09;5.23;6.86;0.15;2.71;20.44;11.26;16.74;14.26;41.39;2.06;27.25;35.20;184.0;143.0;954.0;-1301.0;3027.0;1684.0;5803.0;6932;14598.0;-1.639;29351.0;1.019044131111518;0.43930578335438697;0.18608228153542253;3.010859781725657;27.251201034259243;11.26;16.74;.79;1.08;
56925;2899;1784;49;1013;10790;27;21;4412.0;60.98;12.87;5.54;7.34;0.1;2.1;22.35;9.01;17.74;16.99;53.39;0.40;29.80;28.07;42.0;20.0;1043.0;-1800.0;1740.0;1859.0;5887.0;7417;16758.0;-6.727;30779.0;1.2703971119133572;0.43233135346016144;0.12773251494700522;2.3321336113761326;29.80050640054583;9.01;17.74;.11;.16;
44070;2515;2091;141;311;10504;2535;1921;4.0;47.21;11.16;6.50;0.01;0.29;0.64;21.76;7.81;20.79;12.61;39.91;25.18;29.01;23.04;2128.0;1905.0;1015.0;-1268.0;5783.0;1550.0;5209.0;7;7335.0;1.892;19881.0;1.0711809096471547;0.470563495628829;0.3645602274182562;0.7163259542709494;29.009140223019145;7.81;20.79;10.51;14.31;
10513;3794;1349;59;1094;11447;2496;1892;72.0;11.26;16.84;4.19;0.12;0.12;2.27;23.71;11.79;13.41;10.04;9.26;24.59;31.61;36.19;2067.0;1875.0;1106.0;259.0;8441.0;1036.0;4977.0;121;2737.0;14.112;17265.0;0.4121289771513986;0.47549731455694466;0.153526059824875;2.517791479453427;31.613404880205618;11.79;13.41;10.34;14.1;
52739;2859;1784;49;456;11409;56;42;4362.0;56.50;12.69;5.54;7.26;0.1;0.94;23.63;8.88;17.74;17.15;48.96;0.67;31.51;26.43;63.0;42.0;1103.0;-1541.0;1961.0;1771.0;5880.0;7333;16063.0;-5.410;30159.0;1.1950469992769341;0.42379051827916253;0.12773251494700522;1.0494654410567412;31.5078059444896;8.88;17.74;.23;.31;
38432;2623;1850;32;1122;10797;180;136;4144.0;41.17;11.64;5.75;6.89;0.07;2.32;22.36;8.15;18.39;18.24;33.84;1.84;29.82;25.87;159.0;136.0;1043.0;-621.0;2963.0;1460.0;5862.0;6966;13444.0;0.380;27989.0;0.9441624365482233;0.4405281318299361;0.08334886330777683;2.58296243945564;29.819273586590214;8.15;18.39;.75;1.01;
56866;4327;1929;37;111;8868;2501;1896;63.0;60.92;19.20;5.99;0.10;0.08;0.23;18.37;13.44;19.18;7.29;56.74;24.59;24.49;38.66;2063.0;1878.0;857.0;-2569.0;5576.0;1984.0;5167.0;106;9885.0;-2.722;22677.0;1.3172186792840979;0.47583857180219086;0.09662741975808652;0.2561664499104315;24.490359102459234;13.44;19.18;10.36;14.13;
8900;4203;1690;141;353;9859;2462;1866;132.0;9.53;18.65;5.25;0.22;0.29;0.73;20.42;13.06;16.8;9.99;8.14;24.47;27.23;38.12;2069.0;1849.0;953.0;314.0;8485.0;1024.0;5099.0;222;2739.0;14.840;17483.0;0.3777870389664514;0.477722399246541;0.36608795249422077;0.8120410065326593;27.22811229985476;13.06;16.8;10.2;13.9;
36700;1595;2483;141;1496;8820;144;109;4207.0;39.32;7.08;7.71;7.00;0.29;3.1;18.27;4.95;24.68;23.77;30.88;1.78;24.36;17.60;171.0;109.0;852.0;-102.0;2565.0;1296.0;6083.0;7072;12965.0;1.604;27234.0;0.9549187489079153;0.47483302552266377;0.36608795249422077;3.4424745436476623;24.35936338655608;4.95;24.68;.6;.81;
54270;2923;1836;42;208;11320;2433;1844;183.0;58.14;12.97;5.70;0.30;0.09;0.43;23.45;9.08;18.25;10.73;51.26;23.93;31.26;26.43;2008.0;1827.0;1094.0;-2029.0;5194.0;1805.0;5157.0;308;9299.0;-2.314;21643.0;1.2776174773289364;0.4581043421113577;0.10747758443854019;0.478485909957625;31.26385109731608;9.08;18.25;10.08;13.74;
36573;3709;2102;32;2100;6983;71;54;4335.0;39.18;16.46;6.53;7.21;0.07;4.35;14.46;11.52;20.9;15.53;32.87;0.77;19.28;37.76;70.0;53.0;675.0;-745.0;3321.0;1511.0;5978.0;7287;13783.0;1.929;29049.0;0.8602915037326696;0.46389211230527644;0.08336200068618312;4.832980362215619;19.284557713831983;11.52;20.9;.29;.4;
