PV_Cap NGas_CHP_Cap HP_Cap Oil_boiler_Cap Ngas_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualNGasBoilerheat AnnualBiomassBoilerheat AnnualmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption NgasConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity ESD 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro   
10016 4078 1246 12 690 11969 10.73 18.10 3.87 0.02 1.43 24.79 12.67 12.39 10.27 9.01 24.85 33.05 37.79 2081.0 1904.0 1157.0 290.0 8703.0 1058.0 5105.0 2647.0 14.670 17513.0 0.44 0.5578850715433469 
12347 903 2223 1 1224 11518 13.23 4.01 6.91 0.0 2.54 23.86 2.81 22.1 22.96 7.07 24.82 31.81 10.83 2077.0 1904.0 1113.0 1224.0 7270.0 757.0 5428.0 2064.0 14.209 15519.0 0.68 0.44846583518249294 
14737 294 2366 18 903 12047 15.79 1.30 7.35 0.04 1.87 24.95 0.91 23.53 25.32 8.84 24.87 33.27 4.69 2083.0 1904.0 1164.0 1277.0 6853.0 741.0 5475.0 2265.0 13.170 15334.0 0.77 0.419925013390466 
9164 2291 1832 2 809 11728 9.82 10.17 5.69 0.0 1.68 24.29 7.12 18.21 17.30 5.38 24.83 32.39 22.20 2077.0 1904.0 1133.0 953.0 7998.0 844.0 5299.0 2002.0 15.161 16143.0 0.51 0.4922335297268345 
14692 90 2552 0 269 12115 15.74 0.40 7.93 0.0 0.56 25.09 0.28 25.37 26.70 8.69 24.82 33.46 1.42 2077.0 1904.0 1171.0 1373.0 6667.0 711.0 5537.0 2233.0 13.018 15148.0 0.8 0.4050807253806718 
14043 465 2322 5 735 12183 15.04 2.06 7.22 0.01 1.52 25.24 1.44 23.09 24.64 8.31 24.83 33.65 5.82 2078.0 1904.0 1177.0 1263.0 6943.0 745.0 5460.0 2219.0 13.339 15367.0 0.75 0.4230622082791338 
13187 4131 1259 2 362 12161 14.13 18.34 3.91 0.0 0.75 25.19 12.84 12.52 9.68 12.01 24.82 33.59 37.51 2077.0 1904.0 1175.0 87.0 8490.0 1126.0 5111.0 3156.0 13.366 17883.0 0.49 0.5509985461779784 
12132 1897 1916 1 478 12243 13.00 8.42 5.95 0.0 0.99 25.36 5.9 19.05 18.30 7.54 24.82 33.81 17.94 2077.0 1904.0 1183.0 900.0 7628.0 862.0 5327.0 2355.0 13.889 16172.0 0.59 0.46721248756599587 
14659 2288 1793 1 478 12248 15.70 10.15 5.57 0.0 0.99 25.37 7.11 17.83 16.08 10.15 24.82 33.82 21.41 2077.0 1904.0 1184.0 615.0 7642.0 955.0 5285.0 2846.0 12.932 16728.0 0.59 0.47677710612900753 
5684 927 2243 11 353 12248 6.09 4.11 6.97 0.02 0.73 25.37 2.88 22.3 25.11 2.12 24.85 33.82 9.04 2081.0 1904.0 1184.0 1622.0 7589.0 625.0 5435.0 1114.0 16.298 14763.0 0.62 0.4514499961741526 
12290 4125 1245 16 495 12090 13.17 18.31 3.87 0.03 1.03 25.04 12.82 12.38 9.80 11.18 24.86 33.39 37.76 2083.0 1904.0 1168.0 140.0 8563.0 1108.0 5106.0 3013.0 13.754 17790.0 0.47 0.5541357410666463 
13891 1417 2089 70 430 12113 14.88 6.29 6.49 0.15 0.89 25.09 4.4 20.77 20.23 8.70 25.00 33.45 13.57 2103.0 1904.0 1171.0 961.0 7327.0 843.0 5383.0 2480.0 13.313 16033.0 0.65 0.4499196572040707 
14035 878 2231 1 826 11914 15.04 3.90 6.93 0.0 1.71 24.68 2.73 22.18 22.72 8.50 24.82 32.90 9.70 2077.0 1904.0 1151.0 1130.0 7117.0 788.0 5431.0 2332.0 13.400 15668.0 0.71 0.4379830132374321 
6139 42 2581 12 358 11947 6.58 0.19 8.02 0.03 0.74 24.75 0.13 25.66 29.66 2.18 24.85 32.99 1.19 2081.0 1904.0 1155.0 1907.0 7170.0 534.0 5547.0 927.0 16.247 14178.0 0.72 0.4261994031678017 
12209 1380 2078 388 581 11754 13.08 6.13 6.45 0.8 1.2 24.35 4.29 20.66 20.69 7.23 25.83 32.46 13.59 2222.0 1904.0 1136.0 1071.0 7523.0 807.0 5379.0 2192.0 14.200 15901.0 0.63 0.459943377458107 
7925 1434 2064 1 707 12004 8.49 6.36 6.41 0.0 1.46 24.86 4.45 20.52 21.60 3.82 24.82 33.15 14.36 2077.0 1904.0 1160.0 1311.0 7707.0 726.0 5375.0 1577.0 15.579 15385.0 0.58 0.46507001300788126 
13381 286 2170 458 1610 11852 14.34 1.27 6.74 0.95 3.34 24.55 0.89 21.58 25.08 7.72 26.01 32.73 6.25 2248.0 1904.0 1145.0 1323.0 7179.0 723.0 5411.0 2002.0 14.090 15315.0 0.74 0.43874818272247307 
9971 3410 1564 12 695 11438 10.68 15.13 4.86 0.02 1.44 23.69 10.59 15.55 12.58 7.32 24.85 31.59 31.87 2081.0 1904.0 1105.0 541.0 8393.0 978.0 5209.0 2447.0 14.843 17027.0 0.45 0.5302624531333692 
7935 4212 1237 12 433 12065 8.50 18.70 3.84 0.02 0.9 24.99 13.09 12.3 10.39 7.53 24.85 33.32 38.39 2081.0 1904.0 1166.0 377.0 8850.0 1030.0 5102.0 2386.0 15.347 17368.0 0.41 0.5633942918356416 
14845 3715 1351 4 522 12185 15.90 16.49 4.20 0.01 1.08 25.24 11.54 13.43 10.56 12.54 24.83 33.65 34.18 2078.0 1904.0 1178.0 121.0 8241.0 1115.0 5139.0 3279.0 12.812 17774.0 0.52 0.5323284107429795 
14675 1885 1972 1 538 11936 15.72 8.37 6.13 0.0 1.12 24.72 5.86 19.6 18.01 9.75 24.82 32.97 17.97 2077.0 1904.0 1154.0 761.0 7462.0 909.0 5345.0 2729.0 13.033 16445.0 0.63 0.46522304690488947 
5570 2113 1860 1 1009 11661 5.97 9.38 5.78 0.0 2.09 24.15 6.57 18.49 19.28 2.63 24.82 32.21 21.08 2077.0 1904.0 1127.0 1224.0 8166.0 753.0 5308.0 1401.0 16.564 15628.0 0.5 0.4987374703496825 
6000 607 2313 4 728 12022 6.43 2.69 7.19 0.01 1.51 24.9 1.89 23.0 26.51 2.23 24.83 33.20 7.06 2078.0 1904.0 1162.0 1706.0 7478.0 598.0 5457.0 1050.0 16.339 14583.0 0.65 0.44685897926390694 
13801 361 2328 8 1110 11933 14.78 1.60 7.23 0.02 2.3 24.72 1.12 23.14 25.13 8.07 24.84 32.96 5.76 2080.0 1904.0 1153.0 1307.0 6961.0 730.0 5461.0 2134.0 13.584 15286.0 0.75 0.426428954013314 
9248 3898 1283 0 1276 11487 9.91 17.30 3.98 0.0 2.64 23.79 12.11 12.75 10.90 7.90 24.82 31.73 37.54 2077.0 1904.0 1110.0 394.0 8734.0 1024.0 5118.0 2450.0 15.210 17326.0 0.43 0.5605631647409901 
