PV_Cap NGas_CHP_Cap HP_Cap Oil_boiler_Cap Ngas_boiler_Cap Biomass_boiler_Cap AnnualPV AnnualCHPelec AnnualHPelec AnnualOilBoilerheat AnnualNGasBoilerheat AnnualBiomassBoilerheat AnnualmCHPheat AnnualHPheat AnnualImport AnnualExport OilConsumption BiomassConsumption NgasConsuption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity ESD oilBoilerFuelDemand ngasBoilerFuelDemand biomassBoilerFuelDemand AnnualmCHPheat AnnualHPheat 
KWe KWe KWe KWth KWth KWth GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro   GWh GWh GWh GWh GWh 
6448 4477 1254 0 38 11993 6.91;19.87;3.90;0.0;0.08;24.84;13.91;12.47;10.24;6.91;24.82;33.12;39.83;2077.0;1904.0;1159.0;396.0;8982.0;1024.0;5107.0;2258.0;15.796;17371.0;0.36;0.5730354273471574;0.0011986871304947996;0.0884555362305785;33.12260050740187;13.91;12.47;
13497 3492 1637 0 260 11411 14.46;15.50;5.09;0.0;0.54;23.64;10.85;16.28;11.86;10.51;24.82;31.52;31.60;2077.0;1904.0;1103.0;320.0;8142.0;1053.0;5235.0;3023.0;13.428;17453.0;0.45;0.5224577243859515;4.722958756502006E-4;0.5979841362254367;31.515128756367236;10.85;16.28;
6133 1611 2305 3 245 11037 6.57;7.15;7.16;0.01;0.51;22.86;5.0;22.92;22.26;2.60;24.83;30.48;14.86;2078.0;1904.0;1067.0;1417.0;7764.0;695.0;5455.0;1378.0;16.335;15292.0;0.48;0.4740224959828602;0.00858085903308872;0.5627731484355919;30.481906707600093;5.0;22.92;
10313 163 2649 11 196 11601 11.05;0.72;8.23;0.02;0.41;24.03;0.51;26.33;27.78;5.10;24.85;32.04;1.90;2081.0;1904.0;1121.0;1635.0;6925.0;625.0;5569.0;1597.0;14.735;14716.0;0.63;0.4172469201928227;0.02870036122057887;0.4519477160265536;32.03969248404247;0.51;26.33;
5858 5103 2767 4 209 3618 6.28;22.65;8.60;0.01;0.43;7.49;15.86;27.51;11.40;5.51;24.83;9.99;45.78;2078.0;1904.0;350.0;552.0;8842.0;991.0;5608.0;2537.0;17.894;17978.0;0.32;0.627515494682072;0.011075390379128016;0.4806036778715226;9.993123062986166;15.86;27.51;
12833 3823 1405 2 124 12163 13.75;16.97;4.36;0.0;0.26;25.19;11.88;13.97;10.66;10.79;24.83;33.59;34.22;2077.0;1904.0;1175.0;223.0;8344.0;1082.0;5158.0;3027.0;13.455;17611.0;0.44;0.5333996480220369;0.005520465627367986;0.2851037923630657;33.59182511717223;11.88;13.97;
7160 1826 2194 5 19 11472 7.67;8.11;6.82;0.01;0.04;23.76;5.67;21.81;20.67;3.41;24.83;31.68;16.26;2078.0;1904.0;1109.0;1273.0;7784.0;741.0;5419.0;1606.0;15.792;15550.0;0.47;0.4725686739612825;0.013279395893256444;0.043698022893814435;31.681633535802302;5.67;21.81;
10826 970 2393 9 34 11781 11.60;4.30;7.44;0.02;0.07;24.4;3.01;23.8;23.55;5.79;24.84;32.54;8.69;2080.0;1904.0;1138.0;1330.0;7220.0;724.0;5485.0;1913.0;14.420;15342.0;0.57;0.4367587420613666;0.02244163478128407;0.07821186517008756;32.535587416331964;3.01;23.8;
5782 297 2498 1 191 12138 6.19;1.32;7.76;0.0;0.4;25.14;0.92;24.84;28.49;2.02;24.82;33.52;3.07;2077.0;1904.0;1173.0;1841.0;7280.0;555.0;5519.0;956.0;16.276;14310.0;0.59;0.43140255566608;0.0025043184218458596;0.43937012214437243;33.52249271870782;0.92;24.84;
13292 891 2339 10 263 11929 14.24;3.96;7.27;0.02;0.55;24.71;2.77;23.26;23.12;7.83;24.85;32.95;8.52;2080.0;1904.0;1153.0;1192.0;7083.0;769.0;5467.0;2251.0;13.536;15570.0;0.6;0.4322442420996251;0.02505326276326178;0.6062565605699183;32.94525911775131;2.77;23.26;
10191 1206 2313 0 24 11830 10.92;5.35;7.19;0.0;0.05;24.5;3.75;23.0;22.53;5.40;24.82;32.67;10.76;2077.0;1904.0;1143.0;1287.0;7357.0;738.0;5457.0;1886.0;14.624;15438.0;0.54;0.44463998775728825;0.0011170101297339028;0.0545011733057269;32.67172156240594;3.75;23.0;
13316 394 2473 0 180 12125 14.27;1.75;7.68;0.0;0.37;25.11;1.23;24.59;25.52;7.63;24.82;33.49;3.91;2077.0;1904.0;1172.0;1355.0;6865.0;716.0;5511.0;2117.0;13.486;15209.0;0.64;0.4151044456347081;5.259166693164209E-4;0.4133059235558079;33.48589138186126;1.23;24.59;
5729 5346 2671 17 4 3904 6.14;23.73;8.30;0.04;0.01;8.09;16.61;26.56;10.73;6.08;24.87;10.78;47.47;2083.0;1904.0;377.0;473.0;8941.0;1017.0;5576.0;2582.0;17.820;18116.0;0.32;0.6356262912235061;0.0450251308369554;0.009215950805619492;10.780498273988215;16.61;26.56;
12589 3509 1528 1 45 12121 13.49;15.58;4.75;0.0;0.09;25.11;10.9;15.2;11.74;9.83;24.82;33.47;31.26;2077.0;1904.0;1171.0;349.0;8210.0;1042.0;5200.0;2904.0;13.552;17356.0;0.44;0.5189379447547632;0.003354461432403313;0.10253648261952575;33.47446349953228;10.9;15.2;
6295 2410 1800 9 489 12010 6.74;10.70;5.59;0.02;1.01;24.88;7.49;17.9;17.68;3.31;24.84;33.17;22.52;2080.0;1904.0;1161.0;1086.0;8189.0;799.0;5288.0;1622.0;16.077;15898.0;0.42;0.4976662330706252;0.02452928830103055;1.1261090680792707;33.169681214716746;7.49;17.9;
14997 5320 925 5 99 12241 16.07;23.61;2.87;0.01;0.2;25.36;16.53;9.2;7.08;17.66;24.83;33.81;47.46;2078.0;1904.0;1183.0;-418.0;8850.0;1291.0;5000.0;3781.0;12.551;18922.0;0.53;0.6073150202769914;0.013273942094452219;0.2269677404103514;33.80737866122062;16.53;9.2;
5877 1936 2060 8 649 11319 6.30;8.59;6.40;0.02;1.34;23.45;6.02;20.48;20.38;2.65;24.84;31.26;18.68;2079.0;1904.0;1094.0;1294.0;7999.0;733.0;5374.0;1413.0;16.450;15519.0;0.46;0.4889433009411585;0.01959672325582392;1.494200474418691;31.26144306086009;6.02;20.48;
14494 590 2420 6 73 12188 15.53;2.62;7.52;0.01;0.15;25.25;1.83;24.06;24.32;8.72;24.84;33.66;5.40;2079.0;1904.0;1178.0;1220.0;6866.0;761.0;5494.0;2356.0;13.002;15477.0;0.64;0.417476471038335;0.015370517582461878;0.16768905863625946;33.66038645731632;1.83;24.06;
14908 1603 2097 1 1447 10850 15.97;7.12;6.51;0.0;3.0;22.47;4.98;20.85;19.35;9.71;24.82;29.96;17.56;2077.0;1904.0;1048.0;850.0;7411.0;880.0;5386.0;2635.0;13.428;16312.0;0.57;0.47233912311577014;0.0022348107906677364;3.3298421839399164;29.96384894242205;4.98;20.85;
10793 555 2553 9 316 11357 11.56;2.46;7.93;0.02;0.65;23.52;1.72;25.38;25.72;5.59;24.84;31.37;5.65;2080.0;1904.0;1098.0;1478.0;7067.0;676.0;5537.0;1774.0;14.619;15054.0;0.6;0.4301017675415104;0.023212099932512387;0.726342317668349;31.366273025954772;1.72;25.38;
6988 2797 1831 5 19 11759 7.49;12.42;5.69;0.01;0.04;24.36;8.69;18.2;16.08;4.07;24.83;32.48;24.88;2078.0;1904.0;1136.0;943.0;8222.0;847.0;5300.0;1859.0;15.738;16228.0;0.4;0.5034050042084321;0.013037268416631135;0.04390538816181825;32.47620247193971;8.69;18.2;
14933 322 2498 1 58 12234 16.00;1.43;7.76;0.0;0.12;25.34;1.0;24.84;25.54;8.99;24.82;33.79;2.99;2077.0;1904.0;1182.0;1283.0;6724.0;740.0;5519.0;2346.0;12.838;15329.0;0.66;0.4082179202693397;0.002388972863160875;0.13242544542266155;33.78593438425769;1.0;24.84;
5647 3947 1365 1 76 12215 6.05;17.52;4.24;0.0;0.16;25.3;12.26;13.58;11.90;5.01;24.82;33.73;35.21;2077.0;1904.0;1180.0;613.0;8824.0;952.0;5145.0;1984.0;16.081;16905.0;0.35;0.5503864105899458;0.00325953209039308;0.17571254693768193;33.733485885357844;12.26;13.58;
