PV_C HP_Heat_P OilBoilerHeat NgasBoilerHeat BiomassBoilerHeat AnlPV_P AnlImport AnlExport AnlOilBoilerFuel AnlNgasBoilerFuel AnlBiomassBoilerFuel AnlOilCost AnlLPGCost AnlBiomassCost AnlElecExchage TotalVariableCost FixedOperationalCost AdditionalCost InvestmentCost CO2Emission AnnualCost LoadFollowingCapacity
(KW) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (GWh) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (KEuro) (Mt) (KEuro)
10000 0.0011651556773990795 1.2359274698782476E-4 1.7511983437733925E-4 26.048536131741237 16.82 1.30 17.83 1.5449093373478095E-4 1.9457759375259915E-4 37.21219447391606 0.0 0.0 2009.0 -852.0 1209.0 814.0 1783.0 1189.211882576205 -9.309 4995.2118825762045 0.9197115384615384 
5329 1.4292207523697244E-4 3.7916636963815625E-4 0.0013211585607287458 26.048156752994398 8.97 2.17 10.84 4.739579620476953E-4 0.0014679539563652731 37.211652504277716 0.0 0.0 2009.0 -425.0 1636.0 697.0 1783.0 0.21188257620497097 -4.883 4116.2118825762045 0.6254807692307692 
5330 0.0010831937461126984 5.021532392809565E-4 1.66189469488959E-4 26.048248463545118 8.97 2.17 10.85 6.276915491011955E-4 1.8465496609884334E-4 37.21178351935017 0.0 0.0 2009.0 -425.0 1635.0 697.0 1783.0 0.21188257620497097 -4.884 4115.2118825762045 0.6259615384615385 
9998 1.3036699349915656E-4 1.236688124985105E-4 1.2140938547981273E-4 26.04962455480852 16.82 1.30 17.82 1.5458601562313813E-4 1.3489931719979192E-4 37.21374936401217 0.0 0.0 2010.0 -852.0 1209.0 814.0 1783.0 1189.211882576205 -9.308 4995.2118825762045 0.9192307692307693 
5329 3.704822494520127E-4 4.7460879841244706E-4 2.03842961038162E-4 26.048951065991098 8.97 2.17 10.84 5.932609980155588E-4 2.264921789312911E-4 37.212787237130144 0.0 0.0 2009.0 -425.0 1636.0 697.0 1783.0 0.21188257620497097 -4.883 4116.2118825762045 0.6254807692307692 
10000 1.3036699349915656E-4 1.236688124985105E-4 1.2140938547981273E-4 26.04962455480852 16.82 1.30 17.83 1.5458601562313813E-4 1.3489931719979192E-4 37.21374936401217 0.0 0.0 2010.0 -852.0 1209.0 814.0 1783.0 1189.211882576205 -9.309 4995.2118825762045 0.9197115384615384 
7275 0.0012854147973265864 2.4438483427564276E-4 1.6551406328885903E-4 26.04830468630511 12.24 1.76 13.70 3.0548104284455345E-4 1.839045147653989E-4 37.211863837578726 0.0 0.0 2009.0 -615.0 1446.0 746.0 1783.0 496.21188257620497 -6.727 4471.2118825762045 0.7432692307692307 
5860 0.0013588090764723977 4.909214830046307E-4 2.7215150247181426E-4 26.04787811793805 9.86 2.05 11.62 6.136518537557884E-4 3.023905583020158E-4 37.21125445419722 0.0 0.0 2009.0 -477.0 1583.0 711.0 1783.0 135.21188257620497 -5.386 4212.2118825762045 0.6572115384615383 
7755 0.004820390923371097 4.043709175540356E-4 0.0012064815602988537 26.043568756598777 13.05 1.67 14.42 5.054636469425445E-4 0.0013405350669987263 37.20509822371254 0.0 0.0 2009.0 -660.0 1401.0 758.0 1783.0 618.3038597641157 -7.181 4560.303859764115 0.7735576923076922 
6895 9.54794367877917E-4 1.1823536067721591E-4 2.3962979080960806E-4 26.048687340480637 11.60 1.83 13.14 1.477942008465199E-4 2.662553231217867E-4 37.21241048640091 0.0 0.0 2009.0 -578.0 1483.0 737.0 1783.0 399.21188257620497 -6.367 4402.2118825762045 0.7197115384615385 
7003 0.004914794021994479 4.5251586154872333E-4 1.1122414260022318E-4 26.044521465973858 11.78 1.81 13.30 5.656448269359041E-4 1.2358238066691464E-4 37.20645923710551 0.0 0.0 2009.0 -589.0 1472.0 739.0 1783.0 426.3038597641157 -6.468 4420.303859764115 0.7264423076923078 
9432 1.218095895183921E-4 2.399922700096407E-4 2.79334685168554E-4 26.049358863455303 15.87 1.38 16.96 2.9999033751205084E-4 3.1037187240950443E-4 37.21336980493615 0.0 0.0 2010.0 -807.0 1254.0 800.0 1783.0 1045.211882576205 -8.771 4882.2118825762045 0.8817307692307692 
9886 8.558910107294565E-4 1.108386788765024E-4 2.239167195175025E-4 26.04880935359088 16.63 1.31 17.65 1.38548348595628E-4 2.487963550194472E-4 37.21258479084412 0.0 0.0 2009.0 -843.0 1218.0 812.0 1783.0 1160.211882576205 -9.201 4973.2118825762045 0.9115384615384614 
6272 0.0011401752874004396 2.8597106927024773E-4 4.585779977731634E-4 26.048115275645557 10.55 1.96 12.22 3.5746383658780964E-4 5.095311086368482E-4 37.21159325092223 0.0 0.0 2009.0 -518.0 1543.0 721.0 1783.0 240.21188257620497 -5.776 4287.2118825762045 0.6817307692307691 
8395 0.0010162686383560465 4.190357151138981E-4 2.563332826889382E-4 26.04830836236384 14.12 1.55 15.38 5.237946438923726E-4 2.8481475854326465E-4 37.2118690890912 0.0 0.0 2009.0 -718.0 1343.0 774.0 1783.0 781.211882576205 -7.788 4681.2118825762045 0.8139423076923077 
7456 0.004747900270624625 3.9803766936947566E-4 0.0012819472428130638 26.04357211481719 12.54 1.72 13.97 4.975470867118445E-4 0.0014243858253478487 37.20510302116742 0.0 0.0 2009.0 -632.0 1429.0 751.0 1783.0 542.3038597641157 -6.897 4505.303859764115 0.7543269230769231 
8615 0.0010075488369166693 8.07408803075336E-4 2.541338885100851E-4 26.047930908471496 14.49 1.52 15.71 0.0010092610038441698 2.8237098723342787E-4 37.211329869245 0.0 0.0 2009.0 -737.0 1323.0 780.0 1783.0 837.211882576205 -7.997 4723.2118825762045 0.8283653846153846 
9945 0.028079998556506693 8.112744120618825E-4 1.5112133785350843E-4 26.02095760569358 16.73 1.31 17.74 0.001014093015077353 1.6791259761500936E-4 37.17279657956226 0.0 0.0 2007.0 -847.0 1212.0 813.0 1783.0 1177.2014910979874 -9.252 4985.201491097987 0.9158653846153845 
6730 0.00565297807625827 4.2220323847291E-4 1.9357592488069907E-4 26.043731242760387 11.32 1.87 12.89 5.277540480911375E-4 2.1508436097855452E-4 37.20533034680056 0.0 0.0 2009.0 -562.0 1498.0 733.0 1783.0 357.4344453642364 -6.210 4371.434445364237 0.7096153846153846 
8784 0.0019482555363211698 1.7012302458722283E-4 0.001215841211764982 26.046665780227325 14.78 1.49 15.97 2.1265378073402852E-4 0.0013509346797388687 37.2095225431819 0.0 0.0 2009.0 -752.0 1309.0 784.0 1783.0 880.211882576205 -8.157 4756.2118825762045 0.8394230769230769 
8465 6.321463576748053E-4 6.284369277115056E-4 2.1724532967354557E-4 26.048522171384942 14.24 1.54 15.49 7.855461596393819E-4 2.4138369963727286E-4 37.212174530549916 0.0 0.0 2009.0 -724.0 1337.0 776.0 1783.0 799.211882576205 -7.855 4695.2118825762045 0.81875 
7680 0.0011472244607905646 9.87817923248577E-5 3.2858185738522525E-4 26.0484254118895 12.92 1.68 14.31 1.2347724040607212E-4 3.650909526502503E-4 37.21203630269929 0.0 0.0 2009.0 -653.0 1408.0 756.0 1783.0 599.211882576205 -7.111 4546.2118825762045 0.7687499999999999 
6667 8.590252213659392E-4 1.7641006395543982E-4 3.2261344866580397E-4 26.048641951266013 11.22 1.88 12.80 2.2051257994429977E-4 3.5845938740644887E-4 37.21234564466574 0.0 0.0 2009.0 -556.0 1505.0 731.0 1783.0 341.21188257620497 -6.151 4360.2118825762045 0.7057692307692307 
6103 0.003961176943520875 3.224881703166178E-4 1.6213044298488268E-4 26.045554204443178 10.27 2.00 11.97 4.031102128957722E-4 1.8014493664986965E-4 37.20793457777597 0.0 0.0 2009.0 -501.0 1559.0 717.0 1783.0 197.25787117016034 -5.616 4256.257871170161 0.6716346153846154 
6022 0.0011985236735049 8.189745200569804E-4 2.4004845429734115E-4 26.047742453352143 10.13 2.02 11.85 0.0010237181500712255 2.6672050477482347E-4 37.21106064764592 0.0 0.0 2009.0 -493.0 1568.0 715.0 1783.0 177.21188257620497 -5.539 4243.2118825762045 0.666826923076923 
8863 1.6989836689472847E-4 1.6325718535493592E-4 1.5822453034361182E-4 26.049508619917408 14.91 1.47 16.09 2.040714816936699E-4 1.7580503371512424E-4 37.213583742739154 0.0 0.0 2010.0 -759.0 1302.0 786.0 1783.0 900.211882576205 -8.232 4771.2118825762045 0.8442307692307691 
9137 9.969468330896733E-4 1.283025870832533E-4 1.2424877287691764E-4 26.048750501806953 15.37 1.43 16.51 1.6037823385406662E-4 1.3805419208546405E-4 37.212500716867076 0.0 0.0 2009.0 -782.0 1278.0 793.0 1783.0 970.211882576205 -8.491 4824.2118825762045 0.8625 
6354 1.671312540612185E-4 6.359238875065529E-4 4.341295645080132E-4 26.048762815293927 10.69 1.94 12.34 7.94904859383191E-4 4.823661827866813E-4 37.21251830756275 0.0 0.0 2009.0 -526.0 1535.0 723.0 1783.0 261.21188257620497 -5.854 4302.2118825762045 0.6865384615384614 
9381 0.050020602929308565 1.2672396946483821E-4 2.53823513817776E-4 25.999598849587407 15.78 1.40 16.87 1.5840496183104776E-4 2.8202612646419556E-4 37.14228407083915 0.0 0.0 2006.0 -802.0 1255.0 799.0 1784.0 1033.9225482377824 -8.714 4871.922548237782 0.8783653846153846 
8915 0.003164838010943036 1.3315870473758462E-4 1.4621654541213146E-4 26.046555786738907 15.00 1.47 16.17 1.6644838092198076E-4 1.624628282357016E-4 37.20936540962701 0.0 0.0 2009.0 -763.0 1297.0 787.0 1783.0 913.2578711701603 -8.281 4780.257871170161 0.8480769230769231 
6195 2.734606030551466E-4 5.917684669716735E-4 4.7732493966757514E-4 26.048657445990305 10.42 1.98 12.11 7.397105837145918E-4 5.303610440750835E-4 37.21236777998615 0.0 0.0 2009.0 -510.0 1551.0 719.0 1783.0 221.21188257620497 -5.703 4274.2118825762045 0.6774038461538461 
5638 0.00427373925347702 6.283470255627062E-4 1.550246016741572E-4 26.044942889119287 9.49 2.10 11.29 7.854337819533827E-4 1.7224955741573022E-4 37.20706127017041 0.0 0.0 2009.0 -456.0 1605.0 705.0 1783.0 79.25787117016034 -5.175 4172.257871170161 0.6437499999999999 
7232 0.0010215303252886839 3.9471206856222374E-4 2.549112993542153E-4 26.048328846306795 12.17 1.77 13.64 4.933900857027796E-4 2.832347770602392E-4 37.21189835186685 0.0 0.0 2009.0 -611.0 1450.0 745.0 1783.0 485.21188257620497 -6.686 4463.2118825762045 0.7408653846153846 
