PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;LPG_boiler_Cap;Biomass_boiler_Cap;NumberOfPetrolCars;NumberOfDieselCars;NumberOfElectricCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualLPGBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;LPGConsuption;DieselCost;PetrolCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;ElecCarInvestmentCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;LPGBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;reducedPetrolDemand;reducedDieselDemand;
KWe;KWe;KWe;KWth;KWth;KWth; ; ; ;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Mt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
26966;7606;1136;117;446;9471;74;56;4726.0;32.98;5.33;3.54;7.86;0.24;0.93;19.66;23.68;11.32;9.13;33.15;1.03;55.80;1.03;105.0;56.0;3013.0;-552.0;2919.0;1692.0;3691.0;7944.4;10063.956496288532;-13.279;31168.4502544902;1.125066524747206;0.16977940930881996;0.30284684348873897;1.0282560510315684;26.20701961748276;23.68;11.32;.31;.42;
5028;6982;1456;279;408;8746;2299;1743;814.0;6.15;4.89;4.53;1.35;0.58;0.85;18.15;21.74;14.51;5.19;7.46;23.24;51.37;0.94;1989.0;1728.0;2774.0;-26.0;6740.0;1187.0;3104.0;1368.33;6113.52799390505;4.993;19349.612614974907;0.3945726762320649;0.24048939216142937;0.7244545985079454;0.9409702273292856;24.200719085186993;21.74;14.51;9.53;12.99;
18330;8432;1437;24;895;6433;602;456;3798.0;22.41;5.91;4.47;6.32;0.05;1.86;13.35;26.25;14.31;7.96;22.60;5.95;50.61;2.06;502.0;451.0;2733.0;-447.0;3784.0;1568.0;3626.0;6384.43;9196.10131626749;-6.407;28462.69024848288;0.826616175277252;0.1881332914225848;0.061198516809253374;2.063763769339083;17.801865708401607;26.25;14.31;2.49;3.4;
32117;13022;1394;221;55;398;2580;1956;320.0;39.27;9.12;4.34;0.53;0.46;0.11;0.83;40.54;13.88;1.80;42.45;25.83;51.77;0.13;2196.0;1938.0;2796.0;-1200.0;5811.0;2208.0;2995.0;537.92;14246.654616409387;-16.476;26127.518349508104;1.4251207729468598;0.21237814830541746;0.5734857091272981;0.12578247900343306;1.1021534864905338;40.54;13.88;10.69;14.57;
41235;8302;1177;106;975;7716;2577;1954;325.0;50.42;5.81;3.66;0.54;0.22;2.02;16.01;25.84;11.72;2.84;52.00;25.51;53.65;2.25;2151.0;1936.0;2897.0;-1147.0;6426.0;2030.0;2923.0;546.32;12867.729704894908;-21.002;25127.138183823292;1.80513495720869;0.2511126846257726;0.27392710981135643;2.2488759906762827;21.34951030757608;25.84;11.72;10.68;14.56;
7998;5464;1295;147;1533;10804;2738;2076;42.0;9.78;3.83;4.03;0.07;0.31;3.18;22.42;17.01;12.9;4.56;11.19;27.20;51.15;3.53;2299.0;2058.0;2762.0;-267.0;7748.0;1136.0;2914.0;70.6;5654.150457513297;4.067;17565.926322482504;0.5201453104359313;0.2819091966553091;0.38236386715189835;3.533901130466221;29.894127968586258;17.01;12.9;11.35;15.47;
5261;151;2190;97;406;15657;2759;2091;6.0;6.43;0.11;6.82;0.01;0.2;0.84;32.49;0.47;21.81;9.68;6.51;27.26;43.91;0.94;2296.0;2072.0;2371.0;324.0;7339.0;616.0;3204.0;10.09;2281.066091304157;9.162;13456.319786299759;0.49045743714026035;0.35630696260391204;0.2524102563058612;0.9370845436889041;43.323085761012145;0.47;21.81;11.43;15.58;
5536;9226;1339;147;1258;5224;2745;2081;30.0;6.77;6.46;4.17;0.05;0.31;2.61;10.84;28.72;13.34;3.16;9.29;27.27;50.36;2.90;2304.0;2063.0;2719.0;-256.0;7575.0;1380.0;2927.0;50.43;7522.540047809772;4.238;19485.80852278778;0.4095394736842105;0.2440527153840784;0.3821453895032431;2.9001795817086524;14.456063317723162;28.72;13.34;11.38;15.51;
32914;9116;1395;76;7;6444;2125;1611;1120.0;40.25;6.38;4.34;1.86;0.16;0.01;13.37;28.38;13.9;3.74;41.28;21.01;53.30;0.02;1769.0;1597.0;2878.0;-982.0;5318.0;1916.0;3138.0;1882.72;12025.247148852379;-15.991;25431.270214697888;1.3903644224830145;0.2145700103887305;0.1966598770263277;0.01655958333903199;17.83208902119428;28.38;13.9;8.81;12;
