CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
2344 833 15000 2465.0 18.36 11.33 39.67 2.61 0.84 0.09 1.05 24.45 27.03 56.78 2416.0 2074.0 3066.0 -1109.0 6533.0 947.0 2414.0 2876.1925007111076 -6.332 12702.192500711108 0.9337239106554376 
994 294 5328 8861.0 6.52 6.01 21.03 4.79 1.54 16.56 3.29 8.82 27.03 50.73 2416.0 2074.0 2739.0 -215.0 7088.0 676.0 2474.0 305.19250071110764 3.921 10504.192500711108 0.4434273160014647 
2344 833 15000 2465.0 18.36 11.33 39.67 2.61 0.84 0.09 1.05 24.45 27.03 56.78 2416.0 2074.0 3066.0 -1109.0 6533.0 947.0 2414.0 2876.1925007111076 -6.332 12702.192500711108 0.9337239106554376 
2344 1628 15000 0.0 18.36 11.33 39.67 2.70 0.87 0.00 1.06 24.43 27.03 56.67 2416.0 2074.0 3060.0 -1107.0 6529.0 952.0 2416.0 3007.1925007111076 -6.316 12825.192500711108 0.9333577444159649 
944 1192 5329 6252.0 6.52 5.74 20.11 16.36 5.28 5.91 6.08 7.62 27.03 36.11 2416.0 2074.0 1950.0 37.0 6549.0 680.0 2793.0 452.19250071110764 6.212 10423.192500711108 0.5016477480776272 
2344 1216 8115 1277.0 9.93 11.33 39.67 2.69 0.87 0.01 1.16 16.11 27.03 56.68 2416.0 2074.0 3061.0 -785.0 6852.0 777.0 2415.0 1186.1925007111076 -1.481 11157.192500711108 0.6323690955693885 
2337 910 12992 2251.0 15.90 11.32 39.62 2.69 0.87 0.06 1.08 21.98 27.03 56.68 2416.0 2074.0 3061.0 -1035.0 6601.0 897.0 2416.0 2378.1925007111076 -4.899 12223.192500711108 0.8443793482240939 
2341 957 8534 2091.0 10.44 11.33 39.65 2.68 0.86 0.05 1.15 16.61 27.03 56.70 2416.0 2074.0 3062.0 -811.0 6826.0 786.0 2415.0 1250.1925007111076 -1.775 11208.192500711108 0.6503112413035518 
2326 953 9212 2156.0 11.27 11.30 39.54 2.78 0.90 0.05 1.15 17.37 27.03 56.55 2416.0 2074.0 3054.0 -849.0 6780.0 803.0 2419.0 1422.1925007111076 -2.214 11355.192500711108 0.6781398755034787 
1347 963 5328 5551.0 6.52 7.84 27.45 11.07 3.57 3.86 3.90 9.24 27.03 44.03 2416.0 2074.0 2378.0 -199.0 6746.0 686.0 2648.0 419.19250071110764 4.030 10445.192500711108 0.48114243866715495 
1191 158 5347 8593.0 6.54 7.04 24.65 2.52 0.81 15.20 2.53 9.85 27.03 54.22 2416.0 2074.0 2928.0 -326.0 7168.0 680.0 2411.0 290.19250071110764 2.893 10509.192500711108 0.45331380446722813 
2304 908 7858 2372.0 9.62 11.25 39.37 2.92 0.94 0.08 1.21 15.68 27.03 56.34 2416.0 2074.0 3042.0 -757.0 6860.0 768.0 2423.0 1069.1925007111076 -1.209 11052.192500711108 0.6184547784694252 
2339 1164 12574 1456.0 15.39 11.32 39.63 2.73 0.88 0.01 1.09 21.47 27.03 56.63 2416.0 2074.0 3058.0 -1018.0 6616.0 888.0 2417.0 2313.1925007111076 -4.601 12162.192500711108 0.8260710362504577 
1062 839 5329 6933.0 6.52 6.36 22.28 11.94 3.85 8.16 4.60 8.18 27.03 42.02 2416.0 2074.0 2269.0 -92.0 6741.0 680.0 2672.0 395.19250071110764 5.038 10440.192500711108 0.46796045404613695 
2339 830 13631 2492.0 16.68 11.32 39.63 2.64 0.85 0.09 1.07 22.77 27.03 56.74 2416.0 2074.0 3064.0 -1060.0 6579.0 913.0 2414.0 2527.1925007111076 -5.359 12365.192500711108 0.872940314902966 
1062 1181 5329 5873.0 6.52 6.36 22.28 15.37 4.96 4.72 5.55 8.03 27.03 37.72 2416.0 2074.0 2037.0 -21.0 6580.0 682.0 2766.0 452.19250071110764 5.674 10428.192500711108 0.49725375320395454 
2331 1638 6238 15.0 7.63 11.31 39.57 2.80 0.90 0.00 1.23 13.82 27.03 56.54 2416.0 2074.0 3053.0 -653.0 6975.0 732.0 2419.0 777.1925007111076 -0.129 10824.192500711108 0.5510801904064446 
2340 927 7402 2187.0 9.06 11.33 39.64 2.67 0.86 0.06 1.18 15.25 27.03 56.70 2416.0 2074.0 3062.0 -737.0 6900.0 757.0 2416.0 957.1925007111076 -0.979 10961.192500711108 0.60161113145368 
2334 837 10692 2487.0 13.09 11.31 39.60 2.68 0.86 0.09 1.11 19.19 27.03 56.68 2416.0 2074.0 3061.0 -933.0 6703.0 839.0 2416.0 1779.1925007111076 -3.282 11669.192500711108 0.7433174661296229 
2343 1218 13225 1275.0 16.19 11.33 39.66 2.70 0.87 0.01 1.08 22.27 27.03 56.67 2416.0 2074.0 3060.0 -1045.0 6591.0 905.0 2417.0 2488.1925007111076 -5.068 12328.192500711108 0.8549981691688028 
2344 1352 11471 856.0 14.04 11.33 39.67 2.70 0.87 0.00 1.10 20.15 27.03 56.68 2416.0 2074.0 3060.0 -972.0 6664.0 862.0 2416.0 2063.1925007111076 -3.838 11930.192500711108 0.7781032588795314 
2340 1365 7532 830.0 9.22 11.33 39.64 2.73 0.88 0.00 1.18 15.39 27.03 56.63 2416.0 2074.0 3058.0 -745.0 6889.0 763.0 2418.0 1062.1925007111076 -1.061 11057.192500711108 0.6067374588062981 
2344 1628 14728 0.0 18.03 11.33 39.67 2.70 0.87 0.00 1.06 24.10 27.03 56.67 2416.0 2074.0 3060.0 -1099.0 6537.0 945.0 2416.0 2938.1925007111076 -6.125 12757.192500711108 0.9212742585133651 
2320 850 14109 2496.0 17.27 11.28 39.49 2.78 0.90 0.09 1.08 23.28 27.03 56.54 2416.0 2074.0 3053.0 -1072.0 6556.0 925.0 2419.0 2651.1925007111076 -5.645 12483.192500711108 0.8919809593555474 
2337 921 11345 2216.0 13.88 11.32 39.62 2.69 0.87 0.06 1.10 19.99 27.03 56.67 2416.0 2074.0 3060.0 -965.0 6671.0 856.0 2415.0 1960.1925007111076 -3.742 11833.192500711108 0.7722445990479678 
1708 186 5385 6696.0 6.59 9.41 32.94 2.12 0.68 7.31 1.71 11.58 27.03 56.20 2416.0 2074.0 3035.0 -485.0 7121.0 691.0 2400.0 312.19250071110764 1.432 10475.192500711108 0.4866349322592457 
2337 790 8893 2623.0 10.88 11.32 39.62 2.63 0.85 0.12 1.14 17.04 27.03 56.74 2416.0 2074.0 3064.0 -834.0 6806.0 794.0 2414.0 1314.1925007111076 -2.030 11261.192500711108 0.6656902233614062 
2327 929 5568 2227.0 6.81 11.30 39.54 2.77 0.89 0.06 1.25 13.02 27.03 56.57 2416.0 2074.0 3055.0 -607.0 7024.0 711.0 2418.0 490.19250071110764 0.341 10574.192500711108 0.5225192237275723 
1802 788 5329 4501.0 6.52 9.76 34.18 6.52 2.10 1.68 2.25 10.98 27.03 50.92 2416.0 2074.0 2750.0 -413.0 6909.0 694.0 2522.0 398.19250071110764 2.084 10465.192500711108 0.48443793482240943 
2337 898 13789 2288.0 16.88 11.32 39.62 2.68 0.87 0.07 1.07 22.95 27.03 56.68 2416.0 2074.0 3061.0 -1065.0 6571.0 917.0 2416.0 2578.1925007111076 -5.459 12414.192500711108 0.8795313072134749 
1372 222 5390 7761.0 6.60 7.96 27.87 3.10 1.00 11.41 2.28 10.39 27.03 54.07 2416.0 2074.0 2920.0 -375.0 7113.0 685.0 2427.0 314.19250071110764 2.442 10495.192500711108 0.463932625411937 
2339 830 12574 2492.0 15.39 11.32 39.63 2.64 0.85 0.09 1.08 21.49 27.03 56.74 2416.0 2074.0 3064.0 -1020.0 6620.0 887.0 2414.0 2258.1925007111076 -4.616 12111.192500711108 0.8264372024899305 
2339 919 5363 2216.0 6.56 11.32 39.63 2.68 0.86 0.06 1.25 12.81 27.03 56.69 2416.0 2074.0 3061.0 -596.0 7041.0 706.0 2416.0 436.19250071110764 0.455 10530.192500711108 0.5148297326986452 
