CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh KEuro KEuro GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
5787 920 15000 13320.0 18.36 7.97 9.96 16.47 5.31 29.35 0.32 15.88 35.99 56.61 3217.0 2761.0 3057.0 -705.0 8411.0 1014.0 2798.0 3199.1925007111076 0.517 15403.192500711108 0.5931893079458074 
491 1591 5328 11898.0 6.52 2.68 3.35 24.90 8.03 27.52 9.31 5.02 35.99 41.11 3217.0 2761.0 2220.0 387.0 8653.0 673.0 3031.0 568.1925007111076 11.902 12900.192500711108 0.5247162211644086 
4655 1676 5328 9836.0 6.52 11.70 14.63 25.20 8.13 15.95 0.38 5.02 35.99 49.20 3217.0 2761.0 2657.0 -226.0 8500.0 754.0 3039.0 786.1925007111076 6.780 13045.192500711108 0.19772976931526912 
491 1591 5328 11898.0 6.52 2.68 3.35 24.90 8.03 27.52 9.31 5.02 35.99 41.11 3217.0 2761.0 2220.0 387.0 8653.0 673.0 3031.0 568.1925007111076 11.902 12900.192500711108 0.5247162211644086 
5787 920 15000 13320.0 18.36 7.97 9.96 16.47 5.31 29.35 0.32 15.88 35.99 56.61 3217.0 2761.0 3057.0 -705.0 8411.0 1014.0 2798.0 3199.1925007111076 0.517 15403.192500711108 0.5931893079458074 
1456 1591 5328 10692.0 6.52 6.64 8.31 24.62 7.94 22.85 5.25 5.02 35.99 45.18 3217.0 2761.0 2440.0 119.0 8615.0 692.0 3022.0 607.1925007111076 9.576 12905.192500711108 0.3760527279384841 
4812 1427 9545 11748.0 11.68 10.25 12.82 23.06 7.44 19.90 0.34 9.39 35.99 50.51 3217.0 2761.0 2728.0 -460.0 8333.0 862.0 2979.0 1841.1925007111076 4.255 13989.192500711108 0.3562797510069572 
5337 1531 11681 11426.0 14.30 10.30 12.88 24.08 7.77 18.82 0.33 11.71 35.99 49.29 3217.0 2761.0 2661.0 -560.0 8167.0 926.0 3008.0 2430.1925007111076 2.916 14504.192500711108 0.4408641523251557 
5552 1477 11202 11593.0 13.71 10.20 12.75 23.57 7.60 19.46 0.33 11.19 35.99 49.83 3217.0 2761.0 2691.0 -540.0 8216.0 918.0 2993.0 2310.1925007111076 3.215 14410.192500711108 0.42182350787257417 
1740 1563 5328 10424.0 6.52 7.59 9.49 24.38 7.86 21.91 4.23 5.03 35.99 46.37 3217.0 2761.0 2504.0 51.0 8613.0 697.0 3015.0 614.1925007111076 8.989 12907.192500711108 0.3390699377517394 
5783 1456 9876 11658.0 12.09 10.30 12.87 23.35 7.53 19.55 0.34 9.74 35.99 50.19 3217.0 2761.0 2710.0 -477.0 8299.0 889.0 2988.0 1982.1925007111076 4.051 14132.192500711108 0.3690955693885024 
713 1580 5330 11655.0 6.52 3.77 4.72 24.60 7.94 26.46 8.12 5.03 35.99 42.51 3217.0 2761.0 2296.0 308.0 8653.0 678.0 3021.0 575.1925007111076 11.219 12901.192500711108 0.48150860490662756 
2446 1637 5328 10006.0 6.52 9.59 11.99 24.99 8.06 18.80 2.43 5.02 35.99 47.48 3217.0 2761.0 2564.0 -72.0 8555.0 711.0 3033.0 661.1925007111076 7.955 12926.192500711108 0.27279384840717685 
2142 1562 5328 10332.0 6.52 8.78 10.98 24.37 7.86 20.43 3.04 5.03 35.99 47.50 3217.0 2761.0 2565.0 -30.0 8597.0 705.0 3015.0 634.1925007111076 8.302 12919.192500711108 0.2954961552544856 
5980 5958 14745 8086.0 18.05 11.06 13.82 27.49 8.87 14.47 0.32 15.10 35.99 45.72 3217.0 2761.0 2469.0 -670.0 7866.0 1039.0 3103.0 4087.1925007111076 0.964 16053.192500711108 0.5646283412669352 
4636 1203 13341 12443.0 16.33 9.11 11.39 20.51 6.62 23.87 0.33 13.70 35.99 52.63 3217.0 2761.0 2842.0 -632.0 8272.0 952.0 2909.0 2760.1925007111076 1.771 14870.192500711108 0.513731233980227 
4859 1795 7708 10100.0 9.43 11.45 14.32 26.00 8.39 15.46 0.35 7.40 35.99 47.95 3217.0 2761.0 2589.0 -357.0 8301.0 818.0 3060.0 1430.1925007111076 5.403 13576.192500711108 0.28377883559135847 
3758 1666 6980 10296.0 8.54 11.08 13.86 25.18 8.12 16.74 0.61 6.66 35.99 48.64 3217.0 2761.0 2627.0 -297.0 8397.0 778.0 3038.0 1161.1925007111076 5.973 13342.192500711108 0.26620285609666794 
5972 4743 14402 8086.0 17.63 11.09 13.86 27.49 8.87 14.43 0.32 14.71 35.99 45.75 3217.0 2761.0 2471.0 -659.0 7879.0 1024.0 3103.0 3758.1925007111076 1.187 15722.192500711108 0.5503478579274992 
3942 1694 7736 10554.0 9.47 11.10 13.87 25.38 8.19 16.52 0.51 7.43 35.99 48.40 3217.0 2761.0 2614.0 -346.0 8335.0 801.0 3045.0 1372.1925007111076 5.471 13522.192500711108 0.29073599414134016 
3602 1408 5961 10906.0 7.30 10.60 13.26 22.83 7.37 19.69 0.58 5.66 35.99 51.12 3217.0 2761.0 2761.0 -244.0 8582.0 748.0 2973.0 849.1925007111076 6.529 13122.192500711108 0.22848773343097767 
1825 1554 5328 10367.0 6.52 7.86 9.82 24.30 7.84 21.66 3.94 5.03 35.99 46.72 3217.0 2761.0 2523.0 31.0 8613.0 699.0 3014.0 616.1925007111076 8.821 12910.192500711108 0.32845111680703043 
4992 1081 13465 12821.0 16.48 8.68 10.84 18.89 6.09 26.04 0.33 13.93 35.99 54.24 3217.0 2761.0 2929.0 -642.0 8349.0 961.0 2865.0 2791.1925007111076 1.636 14945.192500711108 0.5221530574880996 
