CHP_Cap HP_Cap PV_Cap Boiler_Cap AnnualPV AnnualCHPelec AnnualCHPheat AnnualHPheat AnnualHPelec AnnualBiolerHeat AnnualImport AnnualExport OilConsumption BiomassConsumption DieselCost PetrolCost BiomassCost TotalElectricityExchangeCost TotalVariableCost FixedOperationCosts AdditionalCost InvestmentCost CO2-Emission AnnualCost LoadFollowingCapacity 
KW KW KW KW GWh GWh GWh GWh GWh GWh GWh GWh GWh GWh KEuro KEuro KEuro KEuro KEuro KEuro KEuro KEuro Mt KEuro  
1264 929 5331 10140.0 6.52 7.67 26.86 14.23 4.59 14.69 4.23 8.39 35.99 56.74 3217.0 2761.0 3064.0 -128.0 8993.0 685.0 2734.0 460.19250071110764 7.060 12839.192500711108 0.4621017942145735 
1988 2267 15000 3459.0 18.36 11.32 39.60 16.02 5.17 0.16 3.26 22.32 35.99 56.77 3217.0 2761.0 3066.0 -829.0 8302.0 948.0 2785.0 3153.1925007111076 -1.489 15125.192500711108 0.9366532405712193 
1988 2267 15000 3459.0 18.36 11.32 39.60 16.02 5.17 0.16 3.26 22.32 35.99 56.77 3217.0 2761.0 3066.0 -829.0 8302.0 948.0 2785.0 3153.1925007111076 -1.489 15125.192500711108 0.9366532405712193 
1986 5904 13791 1771.0 16.88 11.31 39.57 16.12 5.20 0.09 3.32 20.86 35.99 56.64 3217.0 2761.0 3059.0 -784.0 8339.0 938.0 2787.0 3548.1925007111076 -0.616 15541.192500711108 0.8853899670450385 
1989 2639 10068 2302.0 12.32 11.32 39.62 16.07 5.18 0.09 3.43 16.43 35.99 56.71 3217.0 2761.0 3062.0 -621.0 8506.0 827.0 2787.0 1958.1925007111076 1.983 14010.192500711108 0.7272061515928232 
1315 1361 5328 8623.0 6.52 7.94 27.80 19.01 6.13 8.97 5.33 8.21 35.99 50.92 3217.0 2761.0 2750.0 -46.0 8761.0 688.0 2867.0 531.1925007111076 7.794 12807.192500711108 0.49578908824606377 
1989 5728 8168 1761.0 10.00 11.32 39.62 16.07 5.19 0.08 3.52 14.19 35.99 56.71 3217.0 2761.0 3062.0 -508.0 8619.0 796.0 2787.0 2082.1925007111076 3.317 14213.192500711108 0.6484804101061883 
1985 2398 7747 3063.0 9.48 11.30 39.56 16.11 5.20 0.11 3.55 13.68 35.99 56.65 3217.0 2761.0 3059.0 -479.0 8645.0 767.0 2787.0 1328.1925007111076 3.630 13462.192500711108 0.6309044306114977 
1986 5797 13187 1771.0 16.14 11.31 39.57 16.12 5.20 0.09 3.34 20.13 35.99 56.64 3217.0 2761.0 3059.0 -761.0 8362.0 922.0 2788.0 3373.1925007111076 -0.192 15374.192500711108 0.8593921640424753 
1985 2184 12898 3726.0 15.79 11.30 39.56 16.00 5.16 0.22 3.31 19.79 35.99 56.78 3217.0 2761.0 3066.0 -751.0 8380.0 895.0 2784.0 2604.1925007111076 -0.008 14601.192500711108 0.8458440131819845 
1539 1112 5432 8611.0 6.65 9.12 31.92 14.93 4.82 8.93 3.82 9.32 35.99 56.76 3217.0 2761.0 3065.0 -209.0 8917.0 694.0 2755.0 520.1925007111076 6.289 12846.192500711108 0.48114243866715495 
1989 5606 10262 1761.0 12.56 11.32 39.62 16.07 5.19 0.08 3.42 16.66 35.99 56.71 3217.0 2761.0 3062.0 -631.0 8495.0 848.0 2787.0 2591.1925007111076 1.847 14650.192500711108 0.7352618088612229 
1986 2426 5806 2973.0 7.11 11.31 39.57 16.10 5.19 0.10 3.66 11.43 35.99 56.66 3217.0 2761.0 3060.0 -346.0 8779.0 719.0 2787.0 838.1925007111076 4.989 13058.192500711108 0.5525448553643354 
1989 2390 9825 3074.0 12.02 11.32 39.62 16.05 5.18 0.11 3.43 16.15 35.99 56.74 3217.0 2761.0 3064.0 -608.0 8520.0 819.0 2785.0 1856.1925007111076 2.149 13915.192500711108 0.7169534968875869 
1989 2414 6313 2999.0 7.73 11.32 39.62 16.05 5.18 0.10 3.61 12.03 35.99 56.73 3217.0 2761.0 3063.0 -383.0 8745.0 731.0 2786.0 965.1925007111076 4.616 13162.192500711108 0.572683998535335 
1669 1248 5328 7734.0 6.52 9.80 34.30 15.26 4.92 6.22 3.74 9.69 35.99 56.78 3217.0 2761.0 3066.0 -236.0 8892.0 694.0 2763.0 517.1925007111076 6.032 12822.192500711108 0.4917612596118638 
1989 5606 11114 1761.0 13.60 11.32 39.62 16.07 5.19 0.08 3.39 17.67 35.99 56.71 3217.0 2761.0 3062.0 -674.0 8453.0 869.0 2787.0 2808.1925007111076 1.248 14846.192500711108 0.7711461003295498 
1208 1029 5328 10026.0 6.52 7.38 25.83 15.73 5.07 14.22 4.73 8.11 35.99 54.67 3217.0 2761.0 2952.0 -79.0 8929.0 684.0 2776.0 475.19250071110764 7.510 12830.192500711108 0.4701574514829733 
1984 2254 14043 3513.0 17.19 11.30 39.54 16.07 5.18 0.17 3.30 21.15 35.99 56.70 3217.0 2761.0 3062.0 -793.0 8333.0 924.0 2787.0 2907.1925007111076 -0.797 14888.192500711108 0.8952764555108019 
1989 5239 12394 1761.0 15.17 11.32 39.62 16.07 5.19 0.08 3.35 19.20 35.99 56.71 3217.0 2761.0 3062.0 -731.0 8396.0 899.0 2787.0 3061.1925007111076 0.349 15072.192500711108 0.825704870010985 
1985 2202 6844 3671.0 8.38 11.30 39.56 16.02 5.17 0.20 3.57 12.63 35.99 56.77 3217.0 2761.0 3065.0 -419.0 8711.0 743.0 2785.0 1065.1925007111076 4.247 13242.192500711108 0.5931893079458074 
