#Month	Hydro_production(KWh)	PV_production(kWh)	Biogas_production(kWh)	Demand(kWh)	Total_Production (kWh)
1/1/2013	1082275	173355	275348	2320374	1530978
2/1/2013	678331	226957	252924	2017376	1158211
3/1/2013	933574	370019	252569	2130821	1556161
4/1/2013	1777968	587674	247346	2060892	2612988
5/1/2013	2780877	724221	235011	2045048	3740110
6/1/2013	2542839	867003	212273	1975838	3622116
7/1/2013	2386335	931874	212233	2262435	3530442
8/1/2013	1792746	840269	214867	2372587	2847882
9/1/2013	1243648	624491	200112	2126558	2068252
10/1/2013	1892442	319648	250450	2272973	2462539
11/1/2013	1989212	219326	255011	2139946	2463549
12/1/2013	1348186	226543	229142	2453139	1803871
