SPEA2		SPEA2_SI_Eps	SPEA2		SPEA2_SI_HV	SPEA2		SPEA2_SI_IGD	SPEA2		SPEA2_SI_Spd
1	757.1	366.1	1	0.688842884	0.746434354	1	0.260701999	0.124881009	1	0.766327329	0.657859672
2	708.9333333	335.3	2	0.703144724	0.759313993	2	0.245693354	0.114352284	2	0.81028009	0.76878519
3	646.6	278.7	3	0.71986049	0.775012454	3	0.218625551	0.093928812	3	0.823348688	0.795857103
4	603.9666667	252.9333333	4	0.733560261	0.784910307	4	0.207411249	0.084781818	4	0.831772702	0.795602726
5	554.9333333	226.5666667	5	0.744878865	0.793693783	5	0.199080649	0.072137447	5	0.834624902	0.79034725
6	503.7	195	6	0.756150981	0.800467802	6	0.17663795	0.06283844	6	0.850291331	0.838871583
7	468.9	166	7	0.765748014	0.806714187	7	0.176118041	0.05568563	7	0.853025605	0.848127957
8	452.3333333	158.8333333	8	0.771782833	0.810658074	8	0.172940631	0.051725776	8	0.854895168	0.857684026
9	428.0666667	145.9	9	0.778176968	0.814609874	9	0.17127953	0.046420095	9	0.874897841	0.848052529
10	410.3	136.4333333	10	0.783253275	0.817433228	10	0.167037316	0.042840287	10	0.873157593	0.811299819
11	371.4333333	134.1333333	11	0.789628747	0.819659745	11	0.147376155	0.041567349	11	0.878548853	0.778212569
12	356.8666667	123.7666667	12	0.793489877	0.821828718	12	0.139370502	0.039589828	12	0.893834346	0.743891953
13	342.9333333	120.0666667	13	0.796956356	0.823228351	13	0.134198949	0.038296349	13	0.877513448	0.72641497
14	324.8666667	114.8333333	14	0.800269031	0.82444138	14	0.128484195	0.03592162	14	0.844612628	0.703782025
15	308.0333333	113.2666667	15	0.803299558	0.825332505	15	0.124335793	0.035019331	15	0.825110481	0.689771051
16	279.6	111.5666667	16	0.807294972	0.825940949	16	0.112277801	0.034483124	16	0.812216155	0.679273055
17	275.2666667	106.2	17	0.808711785	0.826699808	17	0.111203285	0.033479557	17	0.80125635	0.670311926
18	260.9666667	104.3333333	18	0.810943786	0.827251162	18	0.102996405	0.03327657	18	0.790372448	0.668494427
19	254	101.2333333	19	0.81264052	0.827721296	19	0.100019156	0.031870215	19	0.778680128	0.664408114
20	244.1666667	98.03333333	20	0.814176647	0.82829727	20	0.097091599	0.030563786	20	0.763769315	0.65519974
21	236.0666667	95.63333333	21	0.815530981	0.828740287	21	0.09358667	0.029963802	21	0.752659778	0.650589884
22	226.7333333	91.96666667	22	0.816820802	0.829128188	22	0.089667038	0.028359916	22	0.736399021	0.652114859
23	221.1	90.33333333	23	0.818116779	0.829511381	23	0.087411761	0.028174266	23	0.727354027	0.643747873
24	212.7666667	83.43333333	24	0.819071746	0.829984676	24	0.083103209	0.025930127	24	0.722982026	0.638425735
25	199.2	81.06666667	25	0.820572922	0.830306824	25	0.075380475	0.025148922	25	0.720489162	0.635876192
26	195.7	79.4	26	0.821335554	0.830615006	26	0.07283177	0.024358049	26	0.717432099	0.625405986
27	187.0666667	78	27	0.822060405	0.83086354	27	0.069804344	0.023920019	27	0.710995875	0.620592811
28	178.5	77.56666667	28	0.823073238	0.831044941	28	0.0658639	0.023854944	28	0.703231814	0.61696652
29	176.5666667	73.43333333	29	0.823393674	0.83136825	29	0.064905166	0.021931287	29	0.695034709	0.61861724
30	174.2333333	72.23333333	30	0.823872043	0.831571003	30	0.063663639	0.021594455	30	0.689069731	0.619991496
31	166.6333333	70.4	31	0.824643705	0.831794883	31	0.061062337	0.021041382	31	0.684777293	0.61903532
32	166.4333333	68.56666667	32	0.824877488	0.831954843	32	0.060974153	0.020514103	32	0.678845449	0.609921378
33	163.2666667	67.5	33	0.825280018	0.832105991	33	0.059697188	0.020248116	33	0.672269181	0.606780908
34	159.8666667	64.4	34	0.825809556	0.832291592	34	0.058235628	0.019312677	34	0.666510654	0.601372284
35	156.9	63.2	35	0.82609773	0.832380446	35	0.057523394	0.019069478	35	0.659830221	0.606666782
36	148.6	60.26666667	36	0.826434838	0.832545864	36	0.053070165	0.018689364	36	0.659602008	0.601798137
37	146.8666667	57.16666667	37	0.826666953	0.832718505	37	0.052148404	0.01767881	37	0.660293899	0.599019435
38	138.6	57	38	0.827314392	0.832803524	38	0.047935879	0.017586942	38	0.660437481	0.595732956
39	134.0333333	55.4	39	0.827827258	0.832941136	39	0.045717478	0.017220322	39	0.654107365	0.594542907
40	127.5333333	53.36666667	40	0.828255227	0.833089437	40	0.04288023	0.016482969	40	0.649956278	0.593729099
41	125.5	50.5	41	0.828552144	0.833217809	41	0.04237756	0.015700469	41	0.644044498	0.592468634
42	122.9	49.46666667	42	0.828752976	0.833273152	42	0.042565972	0.015320087	42	0.640681369	0.591960798
43	115.6666667	45.73333333	43	0.829163706	0.833384895	43	0.04080256	0.014356115	43	0.63750494	0.592892692
44	108.9666667	43.96666667	44	0.829444911	0.833477242	44	0.038901585	0.014019313	44	0.631984665	0.588016897
45	106.5333333	43.73333333	45	0.829722562	0.83356082	45	0.037614529	0.013887223	45	0.630540927	0.586158044
46	98	43.13333333	46	0.830300894	0.83365714	46	0.035281791	0.013706135	46	0.629978317	0.581080154
47	95.53333333	42.16666667	47	0.83046757	0.833730797	47	0.034466553	0.013428926	47	0.626158287	0.572178008
48	94.86666667	41.43333333	48	0.830608762	0.83379931	48	0.033966376	0.013172628	48	0.627342375	0.571335344
49	91.13333333	40.56666667	49	0.830839174	0.833874548	49	0.03210888	0.012673635	49	0.624148151	0.56838327
50	88.23333333	40.5	50	0.831090913	0.833992868	50	0.031206308	0.012600264	50	0.618879029	0.568415437
51	87	40.3	51	0.831171024	0.834089328	51	0.030832355	0.012534374	51	0.612782524	0.565162414
52	75.5	39.46666667	52	0.831542428	0.834156391	52	0.026932382	0.012439634	52	0.611265202	0.562404245
53	74.06666667	38.7	53	0.83161246	0.834162085	53	0.026607947	0.012266137	53	0.609284068	0.562294455
54	73.7	38.7	54	0.831688642	0.834221131	54	0.026603271	0.012211386	54	0.606153384	0.562104031
55	72.96666667	37.93333333	55	0.831793154	0.834250737	55	0.026353743	0.012247025	55	0.603424555	0.563208585
56	71.73333333	36.53333333	56	0.831891439	0.834314753	56	0.02580087	0.01193221	56	0.602550067	0.559193379
57	68.06666667	34.33333333	57	0.832282562	0.834412671	57	0.023430681	0.011278553	57	0.599029871	0.552019064
58	66.26666667	33.96666667	58	0.832396594	0.834440365	58	0.023147046	0.011234938	58	0.596212348	0.551890304
59	65.26666667	33.5	59	0.832474041	0.834482521	59	0.022737615	0.01120767	59	0.593798218	0.552358083
60	64	32.66666667	60	0.832616028	0.834512939	60	0.022375714	0.011121486	60	0.590989217	0.554036857
61	60.93333333	31.16666667	61	0.832739168	0.834561767	61	0.020675406	0.010840839	61	0.590877699	0.551127081
62	59.9	30.1	62	0.832759386	0.834578727	62	0.020422532	0.010761188	62	0.588654517	0.549381423
63	58	29.8	63	0.832899748	0.834610919	63	0.019951577	0.010686435	63	0.582082975	0.547902105
64	56.73333333	29.3	64	0.832973432	0.834658411	64	0.019839471	0.010582557	64	0.585840057	0.545220815
65	55.83333333	29.16666667	65	0.833078878	0.834670052	65	0.019473258	0.01063534	65	0.583075708	0.547042
66	54.23333333	29.06666667	66	0.83316967	0.834661677	66	0.019050085	0.010642554	66	0.579812938	0.550431357
67	50	27.3	67	0.833290086	0.834679274	67	0.018024499	0.010316333	67	0.577133061	0.549644387
68	50	26.86666667	68	0.833337333	0.834682838	68	0.018071919	0.010170419	68	0.578991131	0.547212219
69	49.7	26.33333333	69	0.833406379	0.834734006	69	0.017957824	0.010049071	69	0.575991987	0.544837849
70	49.7	26.33333333	70	0.833406379	0.834734006	70	0.017957824	0.010049071	70	0.575991987	0.544837849
