PV_Cap;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualNgasmCHPheat;AnnualBiomassmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilBoilerSolarInput;NGasBoilerSolarInput;NGasCHPSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;
MWe;1000 units;1000 units;1000 units;MWe;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;MEuro;MEuro;MEuro;MEuro;MEuro;Mt;MEuro;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;TWh;
102;0.17407192344600395;780.4729992117722;0.05060328338661551;1;0.11;0.25;0.80;1.34;1.951819243505147E-4;0.0;1.29;1.47;0.0;0.32;3.2;0.50;0.98;0.49;0.01;2.46;1.35;40;274;393;1230.0559402346594;2017;0.275;3914.0559402346594;0.0013479347022218291;1.3556024008859286;1.8823999871054289;0.0;0.32;3.2;0.50;0.0010329427937285874;6.795085802851075E-4;0.3618149612033399;0.0014561930328295123;0.1748468408859476;0.011120997074737382;0.008855041189874093;
102;0.15213626358017063;780.473082806602;0.07245534842243762;1;0.11;0.19;0.82;1.34;2.794675244001841E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.45;1.27;46;272;395;1234.1247694127665;2027;0.259;3928.1247694127665;0.0019112600230978408;1.3551009180647287;1.8610688175879488;0.0;0.24;3.31;0.46;9.027765880847325E-4;9.694806739003653E-4;0.5856537994121305;0.0029202716049507352;0.037378105257370405;0.003622070771461115;0.03403579428644065;
108;0.10945298488462103;780.4551904861261;0.13303094759406825;1;0.11;0.18;0.83;1.34;5.131136679650806E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.44;1.26;47;270;396;1236.1529242412998;2031;0.255;3933.1529242413;0.0017438440599025033;1.3557232421325496;1.8620025995088243;0.0;0.24;3.31;0.46;6.494940123053412E-4;2.029456561701108E-4;0.6490275897709549;0.0027394053614753578;0.03654422476785924;0.009655355432022573;0.006447510640303194;
105;0.17970941813316413;780.4476237776494;0.07034122282224106;1;0.11;0.24;0.81;1.34;2.71313130547666E-4;0.0;1.29;1.47;0.0;0.3;3.22;0.56;1.00;0.49;0.01;2.46;1.27;41;266;397;1232.0814831421792;2036;0.257;3931.0814831421794;0.0013211629295472678;1.3560533348300439;1.8805938217860838;0.0;0.3;3.22;0.56;0.001066395687202196;4.67650670069145E-4;0.6202818296831204;0.0036085588813819995;0.15900257653015448;3.2532392098878657E-4;0.0018722078528264378;
103;0.1906162017160245;780.4660805421465;0.040977674742114584;1;0.11;0.17;0.83;1.34;1.5805498924781016E-4;0.0;1.29;1.47;0.0;0.21;3.31;0.52;1.07;0.48;0.01;2.43;1.18;48;264;402;1236.1567253283204;2057;0.24;3959.15672532832;9.372260984820253E-4;1.3562419037158793;1.8902649731207941;0.0;0.21;3.31;0.52;0.0011311165409828895;3.1368988881246734E-4;0.987984391378355;0.004517437837716935;0.04388124575264383;0.00118980407611237;0.0019959258214712903;
108;0.10945298488462103;780.4551904861261;0.13303094759406825;1;0.11;0.18;0.83;1.34;5.131136679650806E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.44;1.26;47;270;396;1236.1529242412998;2031;0.255;3933.1529242413;0.0017438440599025033;1.3557232421325496;1.8620025995088243;0.0;0.24;3.31;0.46;6.494940123053412E-4;2.029456561701108E-4;0.6490275897709549;0.0027394053614753578;0.03654422476785924;0.009655355432022573;0.006447510640303194;
101;0.19340312064204443;780.4560883786331;0.04818291932942809;1;0.11;0.18;0.82;1.34;1.8584633814553708E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.49;1.06;0.48;0.01;2.46;1.23;47;268;398;1234.1188376435034;2040;0.249;3940.1188376435034;7.362490713725296E-4;1.356567646195617;1.8679550326960863;0.0;0.23;3.31;0.49;0.0011476541178898915;2.3962886303753603E-4;0.7600056612056486;0.0027036898078198366;0.02521547974520701;0.003989095747105051;0.036731199021882516;
102;0.15213626358017063;780.473082806602;0.07245534842243762;1;0.11;0.19;0.82;1.34;2.794675244001841E-4;0.0;1.29;1.45;0.0;0.24;3.31;0.46;1.06;0.48;0.01;2.45;1.27;46;272;395;1234.1247694127665;2027;0.259;3928.1247694127665;0.0013892801279155854;1.3556112947105472;1.861151331541484;0.0;0.24;3.31;0.46;9.027765880847325E-4;6.823768854832742E-4;0.5858743763579285;0.002883198354169058;0.03737976248530916;0.0036210791642269273;0.03403579428644065;
102;0.17374481172513018;780.4564056885033;0.06752391837626655;1;0.11;0.18;0.82;1.34;2.604465055690977E-4;0.0;1.29;1.46;0.0;0.23;3.31;0.35;1.06;0.48;0.01;2.46;1.37;47;283;390;1234.1189483979776;2005;0.279;3912.118948397978;0.003611676453318212;1.353823717259054;1.8659845936534223;0.0;0.23;3.31;0.35;0.0010310017127769225;0.0017989270659649337;0.3280062600598262;0.0011920017624983553;0.026149493557618662;0.0025430612127761826;0.03180230827547722;
