PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
38180;14299;7007;2;3;5609;42.45653898506453;0.002170244948433074;19.377674716291878;49.87;12.37;31.36;36.25;0.01;0.01;25.27;64.44;160.1;23.97;25.51;165.04;0.02;94.96;0.01;;;-8019;-4305;31876;33731.0;92347;-35.581;2.9331419048000003;153649.0;0.8152918021564263;0.10167746149137193;0.012294922272331657;0.012541869868100727;30.823120314623583;64.44;160.1;23.97;0.01536989174929787;0.011110074699929863;0.011324062402265724;4.119174834990672;37.192137051604014;1.1227929613676488;0.0035740389912788054;0.0035869233017193558;3.755449979445917;19.08523023667562;1.1227929613676606;36287;69405;
38282;17429;6964;2;2;2699;46.09661701537989;0.0023393252106381312;19.37750563602967;50.00;15.20;31.24;36.25;0.01;0.01;12.16;78.54;159.11;25.36;24.13;166.74;0.02;97.07;0.00;;;-8209;-4413;32043;33714.0;92935;-36.366;2.7749021624;154279.0;0.8170804794520548;0.09466845653367888;0.012404710902114362;0.0073114487963560895;14.834145742436434;78.54;159.11;25.36;0.016567335074260312;0.012400444278912995;0.006601511839274492;1.9468815242019812;43.39769044671795;0.7330430883417725;0.003646114743535888;0.0031261405478952777;1.788032507693437;22.827324547249543;0.7330430883417738;35822;69436;
38725;19897;6999;1;16;40;50.62186831670704;0.0020110423592938046;19.377833918881016;50.58;17.47;30.97;36.25;0.01;0.07;0.18;89.67;159.92;28.54;23.10;168.82;0.02;97.25;0.05;;;-8399;-4592;32179;33677.0;93597;-37.153;2.663795688;154861.0;0.8225260360862297;0.08933485604104137;0.005818690784630012;0.07380206973314812;0.22228684833839452;89.67;159.92;28.54;0.014242403092754654;0.005816589642429991;0.04297446558928193;0.009727814645650808;47.67875535933489;2.8845940874947846;0.0029714733056740755;0.021270459632896185;0.00972781464565099;25.618530677991515;2.8845940874948806;35491;69789;
38729;16049;6999;1;4;3900;45.331153942889564;0.0016320478640343453;19.378212913376274;50.59;13.90;30.97;36.25;0.01;0.02;17.58;72.33;159.92;25.18;24.70;166.85;0.02;97.52;0.01;;;-8178;-4365;31978;33678.0;92792;-36.253;2.839262056;154083.0;0.8209402991471305;0.09732120543607134;0.005818690784630012;0.018053655367979704;21.435463183263728;72.33;159.92;25.18;0.011558326177877637;0.005305163975846301;0.015782471263499118;0.922054445262158;41.50323657771038;2.88477528467768;0.002854056865119584;0.006632224167059705;0.9220544452621795;21.368779663853704;2.884775284677756;36035;69791;
38296;14182;7977;7;13;798;3.035701237483952;0.013272622280964059;19.366572338959347;50.02;17.10;35.70;36.23;0.03;0.06;3.6;63.91;182.25;2.96;26.55;166.64;0.12;98.80;0.04;;;-8051;-4168;31743;34355.0;89522;-35.693;3.0833950439999995;151452.0;0.8115862880188203;0.10243358399299142;0.03548106436687788;0.05823692806066752;4.3850764386299375;63.91;182.25;2.96;0.09399803825601556;0.03545330688215088;0.05091061199839471;0.5095502587721232;1.2027328813292453;1.2370541785020377;0.010845242273391772;0.02027111439404326;0.487275757388092;1.2027328813292713;1.2370541785020386;36799;70010;
37516;11607;8329;2;17;1587;3.3088561052110537;0.002823581359965541;19.377021379880343;49.00;14.05;37.12;36.24;0.01;0.08;7.15;52.31;190.3;3.26;28.44;163.02;0.03;86.37;0.05;;;-7714;-4331;31584;34563.0;89409;-34.310;3.2791146912;151225.0;0.7995155969432496;0.11155949324193207;0.012553136275761155;0.078801152224865;8.71943630361381;52.31;190.3;3.26;0.019996885549411956;0.012535683788033955;0.0686402561462063;0.3448366735483036;0.7794379904444434;2.1034055012840667;0.0036529847954351992;0.02709909833456196;0.3448366735483104;0.779437990444454;2.103405501284127;37352;69498;
38038;14411;6985;4;20;5590;39.24765756876801;0.002717776492544308;19.377127184747767;49.68;12.49;31.27;36.24;0.02;0.09;25.19;64.94;159.6;21.27;25.44;164.99;0.03;98.84;0.06;;;-8021;-4149;31876;33718.0;92070;-35.573;2.9381152512;153515.0;0.8151271295265815;0.10132364897085328;0.021653483514053565;0.090971540709897;30.720414547554267;64.94;159.6;21.27;0.019247564897848044;0.01956676211741613;0.08213826284781356;1.046254649592819;37.058002119415676;1.0416957747942859;0.0069705900424294805;0.030912218152613923;1.0462546495928307;19.140362612031577;1.0416957747942885;36259;69335;
39682;5025;7637;0;2;11696;1.8642465514253463;0.001992195405956891;19.37785276583435;51.83;6.12;34.20;36.25;0.0;0.01;52.71;22.64;174.48;1.86;30.18;162.58;0.02;97.62;0.01;;;-7573;-3757;31328;34141.0;88514;-33.766;3.4656343663999998;150226.0;0.8148461278322625;0.12405716250991786;0.0020739158829745827;0.008258379467428361;64.27715648867114;22.64;174.48;1.86;0.014108927084527297;0.0020710736237592154;0.006603744902517696;0.5405697882444654;0.20614128665440268;1.1088606580002014;0.0;0.0031265382757459798;0.5405697882444764;0.20614128665440787;1.1088606580002185;37924;70272;
34888;13351;7987;6;13;1578;3.5462418469519204;0.012334315859688685;19.36751064538062;45.57;16.29;35.59;36.23;0.03;0.06;7.11;60.17;182.48;3.47;27.28;162.21;0.11;97.98;0.04;;;-7745;-3894;31651;34340.0;89218;-34.378;3.1661015744;151315.0;0.7964107090320682;0.10543773313072821;0.03082526984924782;0.05913841171553403;8.671252724375089;60.17;182.48;3.47;0.08735285834990122;0.0032776373770513905;0.052511530595622;1.0007745955136198;0.45021944221133137;2.0394586412542957;0.003269935586327837;0.020416974389010054;0.9585378613436587;0.45021944221133753;2.0394586412543156;36922;68450;
