PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39604;2650;7173;3;19;14993;0.7966651924837567;3.2204828494758947E-4;19.37952291295536;51.73;3.18;32.30;29.25;0.01;0.09;67.57;11.94;176.5;0.75;29.30;162.88;0.01;97.74;0.06;;;-5935;-1711;29589;36794.0;83620;-10.564;1.07512674;148292.0;0.8271854689450352;0.1228877896993496;0.014589301341407462;0.08815928255714206;80.43652682795357;11.94;176.5;0.75;0.0020647481692844805;0.00792124890256166;0.07322529946760817;0.3050556701787274;0.28291259853125694;0.12755037540360248;0.003319628955054022;0.0300929357657315;0.30505567017873475;0.2829125985312574;0.12755037540360292;36378;69900;
39351;5097;7501;3;17;10758;3.3756191872419095;3.2204828494758947E-4;19.37952291295536;51.40;5.45;33.78;29.25;0.01;0.08;48.48;22.97;184.57;3.24;28.79;162.82;0.01;87.88;0.05;;;-5960;-2161;29676;37030.0;84128;-10.602;1.0556740220000003;148673.0;0.8195115692228732;0.11927639989808511;0.014589301341407462;0.07716909056913686;57.716185657184205;22.97;184.57;3.24;0.0020647481692844805;0.007730971734695067;0.06330558536515472;0.07771884367293816;3.094816755807341;0.13204703066178083;0.0032964439758512713;0.026549507699010197;0.07771884367293869;2.9989574774443675;0.13204703066178208;36202;69587;
17633;732;7518;1;20;15028;0.5578883100305687;0.005653378384668941;19.374191582855637;23.03;0.89;33.82;29.24;0.0;0.09;67.73;3.3;184.99;0.55;35.18;136.26;0.04;85.41;0.07;;;-4437;-739;29239;37033.0;82138;-7.981;1.2988757240000002;147671.0;0.7331508723913787;0.14851738923894175;0.004543820788719871;0.0897096054885585;80.62596013029768;3.3;184.99;0.55;0.03624550483762798;0.002626083907242832;0.017473721518576624;0.15836573927346254;0.019493825381015933;0.3599289399502708;0.0;0.01482637704022014;0.15836573927346914;0.01949382538101638;0.35992893995028596;36825;59359;
39846;7089;7420;6;15;9207;1.0767095059774476;8.800680087741528E-4;19.378964893231533;52.05;8.62;33.35;29.25;0.03;0.07;41.49;31.95;182.58;1.03;27.58;165.86;0.03;97.04;0.05;;;-6160;-1965;29778;36962.0;84152;-10.935;1.014894044;148927.0;0.8288627988687977;0.11175492306225111;0.03204342429688543;0.06853010210646163;49.39370340942313;31.95;182.58;1.03;0.005642380024653726;0.02424214124200474;0.050859697700094464;0.1873257074910704;0.3549673878497313;0.4593145716945467;0.010012997372750286;0.02263181061663655;0.18732570749107222;0.3549673878497428;0.45931457169455386;35878;70249;
13467;445;7571;0;20;15029;0.6678055029295378;0.005653378384668941;19.374191582855637;17.59;0.51;34.05;29.24;0.0;0.09;67.73;2.01;186.28;0.67;36.63;131.66;0.04;83.30;0.08;;;-4158;-551;29178;37070.0;81869;-7.501;1.3503393340000003;147566.0;0.7189729568077925;0.1546738611456449;3.5578155807803577E-4;0.09054300648587014;80.6294152349738;2.01;186.28;0.67;0.03624550483762798;2.037876925260864E-4;0.014706353334817185;0.1583725257998545;0.12186240179924769;0.37266043430309237;0.0;0.013394234319634402;0.15837252579985517;0.12186240179924637;0.3726604343030945;36893;57886;
1111;14;8602;1;18;9833;1.0032606488498672;18.7419846270588;0.6378603341815067;1.45;0.01;38.69;0.96;0.01;0.08;44.31;0.06;211.65;1.00;33.90;135.93;120.16;52.17;0.07;;;-4423;15004;26798;33326.0;71595;23.945;33.252563020000004;146723.0;0.8070617307418144;0.3249359942208244;0.006397598606024528;0.08213925250490091;52.75485645883738;0.06;211.65;1.00;120.1604860394621;0.004921058803609309;0.011484554044651062;0.5633118071106015;0.008894620831623883;0.4146486080593816;0.0027555943047675065;0.010938903501736994;0.5633118071106141;0.0083892810159988;0.41464860805938725;31267;53379;
39604;6351;7355;3;20;10297;0.8985541819540264;3.2204828494758947E-4;19.37952291295536;51.73;7.68;33.12;29.25;0.01;0.09;46.4;28.62;180.99;0.85;27.85;165.11;0.01;97.64;0.06;;;-6112;-1891;29747;36924.0;84032;-10.856;1.0226631300000002;148812.0;0.8276217027664594;0.11353505687645025;0.013521778354508516;0.08911897493930374;55.24062703312057;28.62;180.99;0.85;0.0020647481692844805;0.009022819876341707;0.07442854736807515;0.22692182998608515;0.4574055190379836;0.13077546568554077;0.0034261489495395797;0.030217502391633306;0.22692182998608762;0.4574055190379906;0.13077546568554327;35949;70072;
33930;119;7572;3;19;15346;0.8386117118451751;0.0016071930333386056;19.37823776820697;44.32;0.13;34.10;29.25;0.01;0.09;69.16;0.54;186.32;0.81;32.10;153.43;0.02;82.35;0.06;;;-5363;-1801;29375;37078.0;83192;-9.591;1.17943578;147844.0;0.7924230128561056;0.13742063445040323;0.01649475976820381;0.08625690524642178;82.32753308719617;0.54;186.32;0.81;0.010304196694643802;0.011931986820482758;0.04330377045941056;0.6117212139647492;0.042465508260877305;0.1291892323396554;0.0036213434348398425;0.024534794971931166;0.6117212139647495;0.04246550826087821;0.1291892323396581;36942;66957;
39208;9431;7549;2;27;6154;1.4983308410179752;3.23321821258451E-4;19.379521639419053;51.21;11.28;33.98;29.25;0.01;0.12;27.73;42.5;185.75;1.47;26.79;166.27;0.01;95.60;0.09;;;-6220;-2086;29871;37060.0;84400;-11.027;0.9893104220000001;149245.0;0.8250074783128927;0.10688915131014416;0.008350039010350275;0.12063248448071284;33.01619133801823;42.5;185.75;1.47;0.002072913192634307;0.006585782124595765;0.06278597367121351;0.06064046625486967;1.1455615830136716;0.2227570359536247;0.0031233346711486048;0.034031433461789634;0.06064046625487028;1.145561583013695;0.22275703595362517;35614;69968;
