PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
39903;8;7023;0;90;18388;1.5755395571463775;19.339839031915105;0.040005929325203124;19;52.12;0.01;31.65;0.12901912207378008;0.0;0.41;82.86;0.03;172.81;1.57;21.04;181.58;123.99;96.86;0.38;;;-10278;18119;27273;32084.0;73192;20.396;33.87126507199999;150668.0;1.0009385960578965;0.2876022020496167;9.394255269914565E-4;0.40969555193586;98.64770520281273;0.03;172.81;1.57;123.99350998531732;2.620276270172283E-4;0.026416006723047884;1.5345086793484675;0.010837805052743739;0.003515038395101014;0.0;0.026416006723047915;1.5345086793484541;0.007058547578066269;0.0035150383951010507;30016;69914;
39975;3417;7038;12;4;14968;5.1378180897544885;0.002882909020568468;19.376962052219742;9121;52.21;3.55;31.71;62.49070261840866;0.06;0.02;67.45;15.4;173.18;4.82;42.25;126.40;0.08;97.17;0.02;;;-5027;-818;29423;44757.0;81386;-6.641;1.55268105;154748.0;0.8328806360807941;0.15637040765524493;0.06190246924511176;0.02048382866214254;80.30026154027365;15.4;173.18;4.82;0.01848319460357062;0.0017450307227838344;0.005534112916905839;2.3800955648605613;2.7184126882031796;0.03203069305105813;0.0017450307227838593;0.004041833855830075;2.380095564860589;2.3988822083048826;0.03203069305105819;38381;60845;
38910;1555;7023;5;3;16925;5.348535587160516;0.005209679411049374;19.37463528182926;9120;50.82;1.48;31.59;62.48319878389937;0.02;0.01;76.27;7.01;172.8;4.61;43.59;124.43;0.06;95.83;0.01;;;-4801;-652;29326;44733.0;81157;-6.384;1.5951646620000002;154564.0;0.830261402381776;0.16324423076580238;0.02596214594653629;0.01172727752350834;90.80247574295714;7.01;172.8;4.61;0.03340081760806085;2.689252296579652E-4;2.1217708856592006E-4;2.709874416023475;2.298359843358302;0.33982022546051527;2.6892522965796657E-4;2.1217708856592496E-4;2.709874416023515;1.5614946086866222;0.33982022546052193;38776;60359;
39975;15;7041;0;79;18292;0.5549787139590033;10.005651550574239;9.374193410666072;4413;52.21;0.02;31.73;30.231773749398084;0.0;0.36;82.43;0.07;173.25;0.54;31.10;153.06;64.15;97.67;0.30;;;-7625;9130;28229;38210.0;76827;7.491;18.27625398;152396.0;0.909387190756012;0.22673692972719003;0.0010772231457896989;0.36050883665195665;98.13406299819603;0.07;173.25;0.54;64.14923378619662;4.977438115967451E-4;0.0691456483220424;0.46759367280637787;0.008300626220407285;0.00944102279857905;0.0;0.058939744288031136;0.46759367280638614;0.008211417855982924;0.009441022798579375;34422;65551;
39953;9;7040;5;116;18264;0.49485933091594375;2.7878750630795768;16.591969898160734;7810;52.19;0.01;31.66;53.50910292156836;0.02;0.52;82.31;0.04;173.22;0.47;40.28;132.43;17.89;98.00;0.44;;;-5574;2190;28970;42926.0;79674;-2.442;6.313402904;153760.0;0.853141671606402;0.18341304508934994;0.022983598806074767;0.5297267417835596;97.98456100520144;0.04;173.22;0.47;17.87390339192209;0.0023172215837525987;0.11143937473456217;0.0348810300631225;0.009448702572231765;0.3367730019622747;0.002298342193231884;0.0907406933404231;0.03488103006312265;0.007383468175013193;0.33677300196228815;37820;62165;
39921;1;7046;10;78;18274;0.27074752467766594;5.122580340948459;14.25726462029185;6711;52.14;0.00;31.75;45.979678400441216;0.05;0.35;82.35;0.01;173.36;0.22;37.21;138.87;32.88;97.92;0.27;;;-6229;4436;28729;41411.0;78736;0.762;10.161324778;153312.0;0.8694020638917692;0.19708087233945676;0.05145958162442613;0.35357641727338196;98.03649818962158;0.01;173.36;0.22;32.842399339922856;0.021903389669855368;0.12144961310671194;0.10688521248408481;0.001685411248141148;0.018823898168872616;0.01301506197389318;0.08051113549740326;0.10688521248408654;0.0015155552176700441;0.018823898168872647;36727;63226;
39791;11;7021;12;24;18450;0.9760047445409206;4.844089418052207;14.535755543188104;6842;51.97;0.01;31.64;46.877811626781636;0.05;0.11;83.14;0.05;172.75;0.97;37.54;138.01;31.11;97.93;0.10;;;-6147;4156;28760;41574.0;78875;0.353;9.668264771999999;153365.0;0.867256199980239;0.1950401679140293;0.059906587132445795;0.10866783148515574;98.98202230231234;0.05;172.75;0.97;31.056910485958117;0.0017163214817517683;0.0059187615006093455;0.9369484671413394;0.012024508542562732;0.01939668587465723;0.001716321481751791;0.005918761500609553;0.9369484671413447;0.009323687211066177;0.019396685874657003;36836;63039;
39944;24;7045;7;74;18260;0.6322454548493943;8.663352275208723;10.716492686031588;5045;52.17;0.03;31.72;34.56068891245187;0.03;0.33;82.29;0.11;173.35;0.46;32.71;149.11;55.58;97.91;0.22;;;-7242;7843;28367;39086.0;77363;5.632;16.034506678;152659.0;0.8978765432098766;0.21823778394788823;0.0335671664648444;0.3353531920934175;97.96123250377718;0.11;173.35;0.46;55.54335044204568;2.339463434136702E-4;0.28923744915881194;0.16198712945153992;0.013230061416937026;0.1675568684786918;2.3394634341367585E-4;0.11233072173459889;0.16198712945153895;0.013067248260741472;0.16755686847869758;35055;64914;
39801;114;6980;10;8;18586;1.5891800466134636;8.387291534896438;10.992553426343873;5175;51.99;0.11;31.45;35.45098479995899;0.05;0.03;83.76;0.52;171.76;1.51;32.91;148.33;53.82;98.75;0.02;;;-7175;7582;28405;39225.0;77508;5.201;15.532743038;152720.0;0.8962072887306534;0.2156212580603588;0.052467579205243496;0.034627098156365776;99.71063055983117;0.52;171.76;1.51;53.773442217681534;0.006417101555138397;0.033031006933532524;1.3126471386298764;0.17477571390096502;0.06230908559395134;0.006284279513500762;0.010703842494034731;1.3126471386298675;0.11748335965230507;0.06230908559395296;35113;64723;
39723;37;7016;13;110;18362;0.30912551215094963;5.506845641209761;13.87299932003055;6530;51.88;0.04;31.62;44.740422807098525;0.06;0.5;82.75;0.17;172.63;0.21;36.67;139.84;35.35;98.68;0.38;;;-6332;4859;28692;41137.0;78564;1.326;10.823786605999999;153252.0;0.8720849802371541;0.19934607771962118;0.06721133710504924;0.5029971732540011;98.51148797857454;0.17;172.63;0.21;35.30603945948814;0.0302553267349532;0.18149721657086704;0.02604059005277933;0.05814137454223463;0.013191004250115409;0.016725608961356185;0.11795635788324453;0.026040590052779825;0.038787244994728326;0.013191004250115431;36515;63319;
39914;3;7022;1;90;18395;1.0435333008704755;15.810280213161626;3.569564748078684;1681;52.13;0.00;31.65;11.511846312553756;0.0;0.4;82.9;0.02;172.79;1.02;24.62;170.57;101.37;97.59;0.33;;;-9275;14736;27634;34395.0;74552;15.512;27.962795916;151317.0;0.964234550214889;0.26407065046925665;0.002652783307752769;0.4085233514123197;98.6875755782724;0.02;172.79;1.02;101.36444953064314;2.8759678027884906E-4;0.10076171487265281;0.9336773447327791;0.005357521857257891;0.0034491226275068084;0.0;0.07658298012770946;0.9336773447327772;0.003967432784369073;0.0034491226275068826;31678;68258;
39225;67;7034;12;44;18304;0.7240809488715281;11.886241823919093;7.493603137321216;3528;51.23;0.06;31.69;24.16687011786092;0.05;0.2;82.49;0.3;173.07;0.66;29.02;157.87;76.25;98.00;0.16;;;-8101;11012;28032;36970.0;76048;10.141;21.395995836;152062.0;0.9230503284437201;0.23867097972016596;0.061229856484595585;0.20151891660744867;98.1986002179201;0.3;173.07;0.66;76.20626220569248;0.01656778016426862;0.06768936503869243;0.46448891636343215;0.11036556822794563;0.06496931907718931;0.011205195367893344;0.04536353681700089;0.46448891636343914;0.0713006060899725;0.06496931907719015;33520;66082;
39988;28;7045;7;73;18255;0.5762686512676968;13.422943422246709;5.956901538993601;2804;52.23;0.02;31.74;19.21100746325436;0.03;0.33;82.27;0.13;173.35;0.37;27.21;163.32;86.09;97.88;0.22;;;-8597;12436;27879;35972.0;75482;12.201;23.964506778;151769.0;0.9407959707683191;0.24838888155651934;0.035633139964219365;0.3342624358204729;97.93700988790373;0.13;173.35;0.37;86.05851716305033;2.483451442857818E-4;0.2906116037522838;0.1619470753208102;0.06618815994000599;0.05727346711031104;2.4834514428578614E-4;0.11245163735370542;0.16194707532081173;0.03640271824730346;0.05727346711031112;32814;67168;
39810;1193;7019;12;25;17279;3.774688468087612;0.002882909020568468;19.376962052219742;9121;52.00;1.24;31.63;62.49070261840866;0.06;0.11;77.87;5.37;172.7;3.63;43.52;125.23;0.06;96.30;0.09;;;-4858;-681;29316;44744.0;81079;-6.437;1.6096319360000004;154458.0;0.8337038683859493;0.16348574586859171;0.06190246924511176;0.11282840310520513;92.69778911231604;5.37;172.7;3.63;0.01848319460357062;0.044026513339399595;0.02768580056637617;2.747557635636702;0.9481725954701914;0.007245923074943042;0.019461248714495928;0.021049984138032243;2.7475576356367384;0.8366259359815382;0.007245923074943206;38854;60769;
39777;33;7047;14;75;18233;0.6917867551980079;5.9006084607662235;13.479236500474087;6345;51.96;0.03;31.74;43.47053771402893;0.06;0.34;82.17;0.15;173.39;0.64;36.21;140.95;37.89;97.46;0.26;;;-6440;5180;28649;40899.0;78450;1.852;11.457142978;153178.0;0.874777799723484;0.20174079680781495;0.06909206932062156;0.33962098559328585;97.81952922757313;0.15;173.39;0.64;37.83057102451049;0.012097566326036514;0.11578533873822248;0.4580352791635738;0.0333064481436938;0.0725621228264813;0.010103160965920939;0.07738725892928425;0.45803527916358155;0.02671045633162233;0.07256212282648253;36355;63527;
39994;29;7040;5;83;18275;0.1854740424486598;7.4887102837833135;11.891134677456996;5598;52.24;0.03;31.72;38.34890933479881;0.02;0.37;82.36;0.13;173.23;0.14;34.14;145.75;48.04;98.20;0.29;;;-6912;6722;28488;39855.0;77800;4.017;14.091246651999999;152865.0;0.8883456790123456;0.21110871429493247;0.025639034258134578;0.3767888285420683;98.04251443078275;0.13;173.23;0.14;48.01236824241996;7.387570737993846E-4;0.12766580973066072;0.03057850577280508;0.004691136891571966;0.02179983297982265;7.387570737993914E-4;0.08484107823073478;0.030578505772805038;0.004691136891572008;0.021799832979823124;35603;64378;
39996;21;7042;5;83;18273;0.3077308210297425;13.986408717507729;5.393436243732581;2539;52.24;0.03;31.73;17.393831886037574;0.02;0.37;82.35;0.09;173.27;0.27;26.59;165.05;89.70;97.99;0.29;;;-8759;12989;27821;35603.0;75240;12.989;24.917074061999998;151653.0;0.9463236383388476;0.25212243147681007;0.025639034258134578;0.3767888285420683;98.03192024755957;0.09;173.27;0.27;89.6710622105573;7.387570737993846E-4;0.12305780783438176;0.14970553526925892;0.0021849941746830558;0.03204372667761937;7.387570737993914E-4;0.08309468243826917;0.14970553526926175;0.00218499417468308;0.032043726677619504;32548;67437;
39513;141;7019;3;38;18325;2.3389156513701175;14.33277571899167;5.0470692422486385;2376;51.61;0.13;31.63;16.27679830625186;0.01;0.17;82.58;0.64;172.71;2.23;26.20;165.67;91.90;96.66;0.14;;;-8830;13274;27790;35359.0;75207;13.465;25.45896316;151630.0;0.9479274739390345;0.25396620421824206;0.013036696457621877;0.17310963083573405;98.31310720488887;0.64;172.71;2.23;91.8917249671713;0.003315053058656092;0.04761269601198773;2.001361978309402;0.2541912736699689;0.032434650320102405;0.0022416178174232667;0.034593372386187426;2.001361978309452;0.1584682932877306;0.03243465032010293;32340;67373;
39962;34;7040;6;3;18351;0.07384363824062776;14.427076031210111;4.952768930030197;2332;52.20;0.03;31.72;15.972679799347384;0.03;0.01;82.7;0.15;173.22;0.07;26.11;166.35;92.52;98.60;0.01;;;-8882;13414;27775;35315.0;75048;13.543;25.595706798;151552.0;0.9504197530864197;0.2544529653194597;0.03118255883192315;0.01181057035367131;98.45110503160483;0.15;173.22;0.07;92.49631255889739;0.0030373278670550023;0.00117593151415716;0.0314704186229456;0.03628223083173702;0.0018777294047329792;0.0030373278670550344;0.001164387088139239;0.03147041862294623;0.02806218786390892;0.0018777294047330336;32336;67626;
39983;41;7039;3;53;18299;0.5112995109942703;2.403703796022072;16.976141165218237;7991;52.23;0.04;31.72;54.74805525782882;0.02;0.24;82.46;0.19;173.21;0.47;40.79;131.37;15.43;97.97;0.19;;;-5466;1791;29011;43186.0;79831;-3.025;5.624855622;153819.0;0.8501728395061728;0.1807628582624903;0.017592837439257575;0.2418082269034257;98.1692654253715;0.19;173.21;0.47;15.410866147436309;0.0016564462587774463;0.06487468903415336;0.3456806997546885;0.07329198724737156;0.02579568869927938;0.0016564462587774884;0.04785606184870789;0.34568069975469;0.04632860459082104;0.025795688699279222;37993;61978;
39991;166;7024;12;19;18285;0.42766390024093964;7.802868074674758;11.576976886565552;5450;52.24;0.18;31.64;37.3357504591739;0.05;0.09;82.4;0.75;172.82;0.43;33.65;146.77;50.08;98.76;0.08;;;-7017;7018;28464;39640.0;77697;4.399;14.57551757;152819.0;0.8913150874419524;0.2121189886851484;0.05852358905850834;0.08748725916786583;98.09904660328145;0.75;172.82;0.43;50.026528087162276;0.0016766986386364978;0.008625545685321485;0.27180172313287454;0.09496820544627825;0.05059172733782887;0.0016766986386365632;0.008625545685321655;0.2718017231328802;0.0932172168966952;0.050591727337828594;35412;64530;
39299;5;7041;13;93;18274;0.3713189096001684;15.489854334216501;3.889990627023808;1832;51.33;0.00;31.72;12.545219772151782;0.06;0.42;82.35;0.02;173.26;0.37;25.08;168.83;99.37;97.78;0.38;;;-9126;14506;27658;34617.0;74602;15.163;27.455439543999997;151383.0;0.9575802469135803;0.2624914947361589;0.06728878058931878;0.42356906028208907;98.040153760058;0.02;173.26;0.37;99.31010309296225;0.012016989058115936;0.04612602182648016;0.24312295065597034;0.005046611809963092;0.06500633624963888;0.010063824649125419;0.04600289913019892;0.24312295065597406;0.003832871713210233;0.06500633624963846;31843;67812;
39897;42;7039;11;105;18240;0.36408301387987735;12.410424109962372;6.96942085127794;3281;52.11;0.04;31.72;22.476382245371358;0.05;0.47;82.2;0.19;173.2;0.36;28.33;160.18;79.62;97.79;0.44;;;-8304;11484;27983;36631.0;75860;10.857;22.324030394;151958.0;0.9309135802469135;0.24225542138843004;0.056667716746990136;0.47713300083699894;97.85618177087164;0.19;173.2;0.36;79.56695209620176;0.008153012816196945;0.03944654399961308;0.250738042546947;0.03995071122776935;0.025794703289351042;0.007432081154007622;0.03944654399961305;0.2507380425469573;0.03279111148834325;0.025794703289351482;33283;66647;
39983;42;7039;11;100;18245;0.3999524348235959;12.64508268887363;6.7347622723666785;3171;52.23;0.04;31.72;21.719608328382538;0.05;0.45;82.22;0.19;173.2;0.37;28.06;160.98;81.12;97.79;0.42;;;-8378;11701;27960;36481.0;75776;11.168;22.711261307999997;151918.0;0.9335308641975308;0.24369247069796582;0.056667716746990136;0.45613210788680697;97.88093282327722;0.19;173.2;0.37;81.07141864317552;0.007602553164705104;0.03771031396241656;0.25230979236858436;0.07653507203853883;0.025794703289351042;0.007111050424103246;0.03771031396241737;0.25230979236858625;0.047392802740476386;0.025794703289351482;33172;66799;
