PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;
10943;10711;7898;2334;4323;912;9.969547144740417;16.68414275805967;2.5806001707285953;0.11510203245204258;229;14.29;12.25;35.49;5.63;0.4959286170228706;10.52;19.48;4.11;48.27;161.59;5.95;22.93;155.25;139.43;75.62;20.00;;;-12968;12336;30405;26884.0;40933;-4.249;110558.0;0.8710828648252261;0.3313365598444629;12.374145169828585;20.505569362440447;5.139602357419784;48.27;161.59;5.95;130.64184303843464;5.769161127307149;0.4836224948408977;2.549913792218471;0.7144528649093725;0.4523968654645274;3.047437931910538;0.48362249484090786;1.254230105692877;0.7144528649093791;0.45239686546453634;
25098;7440;8636;162;421;6905;22.962969484163402;12.49983596590233;6.290051936575107;0.58995705876287;1174;32.78;7.68;36.41;13.71;2.5418889833857015;0.73;1.9;31.12;33.53;176.7;21.14;25.18;159.65;98.45;77.49;1.45;;;-13178;4728;35404;28426.0;46416;-19.692;114974.0;0.8655115897916179;0.256192467317716;0.8592729475388377;1.9962405333138216;38.89707622012013;33.53;176.7;21.14;97.87746556380502;0.6231587703057871;0.915634269248332;6.27941324208346;3.746384401322704;11.398378801203117;0.24698421580063626;0.5183496144050093;5.2425204073146086;3.7306280859901286;11.398378801203524;
33142;6211;8731;191;5445;2651;15.408470442649747;5.041436609273776;13.796217829659026;0.5421905223075058;1079;43.29;6.89;38.61;30.08;2.3360820844141195;0.86;24.54;11.95;27.99;178.64;9.92;30.13;156.04;40.14;50.57;24.66;;;-12339;-2587;43769;30820.0;52880;-27.544;124882.0;0.8020420472169567;0.23489792336525325;1.0109199378538656;25.82955484390404;14.932721013479538;27.99;178.64;9.92;39.47596108159645;0.8005031815570114;1.1138381391597252;8.874771973716523;1.2574614684578993;3.3618956797585873;0.296635737005116;1.113838139159745;3.8909758052426007;1.2574614684579268;3.361895679758549;
66155;1761;8559;859;168;12494;36.75000985728148;8.796433238988456;9.6463014671741;0.9371102550777525;1864;86.41;1.74;37.88;21.03;4.037633245028005;3.87;0.76;56.3;7.94;175.1;21.38;26.38;197.73;72.97;60.05;0.54;;;-16792;-3456;40444;29842.0;52570;-39.338;119400.0;1.0079607807861832;0.23583791114530755;4.553592362270845;0.7974638699231212;70.37752275160516;7.94;175.1;21.38;68.87871119125131;0.3953216051082803;0.5288627720597036;31.3768302020273;1.331784036054605;3.1172112420315914;0.3953216051082854;0.24215306132427294;16.42493774500828;1.1999428322049852;3.117211242031664;
46762;10294;7844;69;1581;6581;18.70997828497092;0.4253979751524906;17.131909359801814;1.8225376262860067;3625;61.08;11.51;35.32;37.35;7.8525856166158885;0.31;7.12;29.66;46.39;160.49;11.00;30.11;166.99;3.65;94.01;6.97;;;-13414;-8703;50076;32319.0;58526;-44.646;132218.0;0.8348157560355782;0.13700087866570554;0.36630930000335354;7.497655324183672;37.07193841674099;46.39;160.49;11.00;3.3309937648365473;0.04679250380064313;0.500393242260627;16.310928771047692;1.7139830432553727;0.13788072460658463;0.043876600013180306;0.5003932422606316;8.602497668267622;1.7139830432553946;0.13788072460658446;
45545;12473;8166;731;196;3662;17.02831436506511;3.2358135175615654;15.151978357924259;0.992053085754485;1973;59.49;13.03;36.51;33.03;4.274359925281774;3.3;0.88;16.5;56.21;167.08;12.50;26.88;171.65;28.09;91.51;0.93;;;-14187;-6332;46709;31276.0;55677;-42.078;127330.0;0.8521698072713225;0.15360850160400075;3.8766241223289892;0.9311418695708276;20.62802063010625;56.21;167.08;12.50;25.337390586562325;1.7961468243799508;3.9701829604716E-4;8.26689514725846;5.641891705790957;1.3229836693396961;0.9527605164654452;3.9701829604716303E-4;4.585626640852734;5.64189170579097;1.322983669339678;
6139;7066;9150;444;417;4670;18.253747210678455;0.17669836759261234;19.12719538002426;0.07595121362343724;152;8.02;7.89;41.17;41.70;0.3272433990179417;2.0;1.88;21.05;31.84;187.2;8.78;40.99;121.15;3.54;64.03;1.79;;;-7856;-4699;48273;32324.0;55908;-26.242;131806.0;0.6583028826634186;0.1736042239574616;2.3521639969529478;1.976990185814978;26.306423723894163;31.84;187.2;8.78;1.3836012277604326;0.16619867066466495;0.17586925578635196;16.432760451589225;1.2049133034298738;0.274005529208341;0.1661986706646674;0.1758692557863534;6.958840039940226;1.2049133034298734;0.2740055292083409;
19216;3466;9296;686;698;7082;26.268108156742926;8.802808300781086;9.803134612167664;0.7739020482915575;1539;25.10;3.16;40.80;21.37;3.3344343652690047;3.09;3.14;31.92;15.62;190.2;17.80;32.71;141.86;71.39;48.05;3.17;;;-10697;2120;39140;30144.0;49598;-17.848;121002.0;0.7738031914893617;0.257105654624876;3.6360762532959168;3.3104147380455893;39.89555540738474;15.62;190.2;17.80;68.92862983760614;2.2354773971310213;0.13567963161695384;14.172382186560782;4.758708535233606;4.965860406200561;0.9976186798902249;0.13567963161695384;8.365119188533372;3.335521195349607;4.965860406200687;
37422;6173;8733;190;5444;2684;21.66197062204857;5.146566861836874;13.697087965919254;0.5361901334841799;1067;48.88;5.96;38.62;29.86;2.3102288091299377;0.85;24.53;12.1;27.82;178.67;15.10;29.57;160.38;40.96;45.23;22.86;;;-12819;-3281;43777;30789.0;53420;-29.378;124705.0;0.8190677417963864;0.23294354619574875;1.0056844823457405;25.824319916266376;15.121335593626572;27.82;178.67;15.10;40.29916249824127;0.8212618640433429;2.8377662896179663;9.03194059087736;5.615256477787047;3.3557453997228555;0.29548613517193806;2.8151339594438385;3.946135422716782;4.687436952685327;3.3557453997229194;
