PV_Cap;Biomass_CHP_Cap;HP_Cap;Oil_boiler_Cap;NGas_boiler_Cap;Biomass_boiler_Cap;SolarThermal;NumberOfConCars;NumberOfEVCars;NumberOfFCEVCars;Eloctrolyzer_Cap;AnnualPV;AnnualCHPelec;AnnualHPelec;AnnualElecCar;AnnualH2demand;AnnualOilBoilerheat;AnnualNGasBoilerheat;AnnualBiomassBoilerheat;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermalheat;AnnualImport;AnnualExport;OilConsumption;BiomassConsumption;NGasConsuption;DieselCost;BiomassCost;TotalElectricityExchangeCost;TotalVariableCost;FixedOperationCosts;AdditionalCost;InvestmentCost;CO2-Emission;Total Local System Emission;AnnualCost;LoadFollowingCapacity;ESD;oilBoilerFuelDemand;NGasBoilerFuelDemand;biomassBoilerFuelDemand;AnnualmCHPheat;AnnualHPheat;AnnualSolarThermal;transOilDemand;OilSolarInput;NGasSolarInput;BiomassBoilerSolarInput;BiomassCHPSolarInput;HPSolarInput;OilSolarUtilization;nGasSolarUtilization;biomassBoilerSolarUtilization;biomassCHPSolarUtilization;HPSolarUtilization;Annual MaximumImportElectr.;Annual MaximumExportElectr.;
KWe;KWe;KWe;KWth;KWth;KWth;GWh;1000 units;1000 units;1000 units;KWe;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;KEuro;Kt;kt;KEuro;;;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;GWh;KW;KW;
38823;12733;7919;4;63;5383;16.001337946290633;0.0627795526035838;19.24574643125738;0.07131897737934179;142;50.71;12.60;35.51;41.96;0.30728494593663197;0.02;0.28;24.26;57.38;162.03;13.88;29.12;162.12;0.51;98.81;0.21;;;-13033;-9087;49697;31612.0;101028;-45.528;4.681477888;173250.0;0.7938563719385637;0.11620016536661808;0.019365683569536395;0.29809554953739975;30.32431438334129;57.38;162.03;13.88;0.4915827307518422;0.007316268335867202;0.15470157814103175;5.743233286216753;9.272660903128768;0.8234259104682132;0.004738583534772569;0.08137762905936295;4.4837287345327965;8.484418195263533;0.8234259104682233;38650;69569;
29464;152;7885;45;13;18130;4.030262335447913;18.71170370645263;0.5382409690820342;0.12990028570564174;259;38.48;0.15;35.50;1.17;0.5596883709913281;0.2;0.06;81.7;0.68;161.32;3.91;22.19;170.97;146.68;98.54;0.06;;;-14580;11288;28001;26311.0;74722;-12.044;42.518736756;140322.0;0.9653173413293353;0.32365336118279187;0.24048438798461885;0.061765989807054854;102.12751701582714;0.68;161.32;3.91;146.51825353263604;0.18484441490673476;9.010991041801631E-4;3.589427556704826;0.09836728091777043;0.15672198381440144;0.06888024627627876;9.010991041801819E-4;3.589427556704752;0.09347741873186087;0.15672198381440236;29295;65000;
36441;580;7742;14;151;18244;9.060467340577809;9.574485984179052;9.651598116320674;0.15376086074058282;306;47.60;0.65;34.45;21.04;0.6624940445868751;0.07;0.68;82.22;2.61;158.39;9.01;26.68;166.11;75.02;98.03;0.66;;;-13664;1470;38368;28796.0;87034;-27.799;24.245126031999998;155668.0;0.8806413301662708;0.23896879222180836;0.07673890530097095;0.7144177387352979;102.77249360777351;2.61;158.39;9.01;74.97109760191724;0.06868414406172402;0.05604777916830547;6.836052742173571;0.10207493660832939;1.9976077385658773;0.02441179598294114;0.05604777916830641;6.836052742173744;0.1020749366083301;1.9976077385658713;33092;68528;
35412;977;7888;40;12;17295;7.4331389213370045;14.524116116081263;4.854924441569912;8.044035891347936E-4;2;46.25;1.12;35.54;10.58;0.0034658533041461714;0.18;0.06;77.94;4.4;161.39;7.29;23.42;172.23;113.86;95.11;0.04;;;-14583;6224;32808;27452.0;80809;-20.800;33.963959208;147293.0;0.93366738248628;0.28305302271935906;0.21055247349834064;0.058737033865406914;97.4264836675076;4.4;161.39;7.29;113.72818642375111;0.19097487620585243;0.031103917777941848;7.11467120002766;0.06376493135666181;0.032623995968888465;0.06376723398914982;0.01694269901244453;7.114671200027613;0.06376493135666236;0.03262399596888849;29442;67978;
32522;2873;8091;13;54;14466;3.6323269213891223;10.300743703589777;9.062038945326975;0.017062312323556195;34;42.48;3.29;36.40;19.76;0.07351467887727423;0.06;0.24;65.19;12.95;165.53;3.55;26.22;163.30;80.70;97.05;0.19;;;-13434;2482;37514;28779.0;85431;-25.572;25.592985928;154206.0;0.8630629810100643;0.24188583561385957;0.06898667095749693;0.2571693001538017;81.48900472959912;12.95;165.53;3.55;80.65791342221904;0.05661543753259844;0.1045703546201948;3.016142148969479;0.18406182961636527;0.27093715065048485;0.020755285702693235;0.06230278942671357;3.016142148969529;0.18406182961636947;0.2709371506504981;32437;66654;
36752;9487;8257;9;57;7096;6.838148469909004;5.468413831628771;13.61286318062764;0.2985679489838973;594;48.00;10.28;36.96;29.68;1.28640986499202;0.04;0.26;31.98;42.75;168.94;6.77;26.85;164.33;42.85;97.05;0.20;;;-13473;-3239;43505;30366.0;93104;-35.791;15.609416940000001;163736.0;0.8309644890685443;0.1778483410886585;0.04991259206809857;0.2707001809412342;39.97437991685839;42.75;168.94;6.77;42.81932082580276;0.04478844819498809;0.10665347667539007;2.7350267414047953;2.8256205679994078;1.126059235634423;0.014317292396462688;0.06546326655210524;2.7350267414048663;2.8256205679993966;1.126059235634444;35215;68671;
39576;338;7943;4;65;17672;8.061254657885312;4.290439439036372;15.06399633362065;0.025409188583286293;51;51.69;0.33;35.61;32.84;0.10947802992994733;0.02;0.29;79.64;1.52;162.5;7.95;30.90;161.89;33.61;92.99;0.22;;;-12837;-4147;44228;30396.0;93569;-36.019;13.77775916;164046.0;0.8314214248749353;0.190146973970418;0.01923550410555704;0.30927146021014096;99.54728237971949;1.52;162.5;7.95;33.595427939486505;0.008794615014390538;0.15440095720681477;6.794112153700921;0.2798134241959301;0.8241335077672569;0.005215969072128699;0.08290194268173944;6.7941121537008815;0.24267150726201187;0.8241335077672801;37173;69954;
36001;3479;7795;23;18;15228;10.684465615982642;18.684156176249637;0.4787106404776928;0.21697814451298153;432;47.02;3.75;35.13;1.04;0.9348720334486322;0.1;0.08;68.63;15.68;159.48;10.28;19.77;180.68;146.38;96.45;0.08;;;-15769;9975;28470;26313.0;76668;-16.288;42.069477948;141426.0;1.0042585170340683;0.3100712385665191;0.12231696075303794;0.0833948652381732;85.78174416170737;15.68;159.48;10.28;146.3025481068875;0.09401694319138681;0.007908918265819485;9.464006145409284;1.1174547846141536;0.001078824501998613;0.03456571805979101;0.007908918265819633;9.117251954593376;1.117454784614173;0.0010788245019986433;28590;68186;
38284;518;7682;2;48;18694;12.962609271274403;15.177861711242198;4.154448299074902;0.04753495092321144;95;50.01;0.51;34.38;9.06;0.2048090895477488;0.01;0.22;84.24;2.33;157.17;12.51;22.52;176.89;118.85;94.55;0.16;;;-15129;6415;32175;27137.0;80895;-21.359;35.177772047999994;146622.0;0.9639387054672016;0.28776310480967815;0.008651101585991089;0.2280208361343689;105.30287813955955;2.33;157.17;12.51;118.84721055753978;0.007838138804284368;0.12424600085101163;11.36766853794905;0.3764719524930978;1.086384641176958;0.003309727992713299;0.06455375019849786;11.011339849424916;0.344491361165087;1.0863846411769724;29001;69400;
